PitchNo;Date;Time;PAofInning;PitchofPA;Pitcher;PitcherId;PitcherThrows;PitcherTeam;Batter;BatterId;BatterSide;BatterTeam;PitcherSet;Inning;Top/Bottom;Outs;Balls;Strikes;TaggedPitchType;AutoPitchType;PitchCall;KorBB;HitType;PlayResult;OutsOnPlay;RunsScored;Notes;RelSpeed;VertRelAngle;HorzRelAngle;SpinRate;SpinAxis;Tilt;RelHeight;RelSide;Extension;VertBreak;InducedVertBreak;HorzBreak;PlateLocHeight;PlateLocSide;ZoneSpeed;VertApprAngle;HorzApprAngle;ZoneTime;ExitSpeed;Angle;Direction;HitSpinRate;PositionAt110X;PositionAt110Y;PositionAt110Z;Distance;LastTrackedDistance;Bearing;HangTime;pfxx;pfxz;x0;y0;z0;vx0;vy0;vz0;ax0;ay0;az0;HomeTeam;AwayTeam;Stadium;Level;League;GameID;PitchUUID;yt_RelSpeed;yt_RelHeight;yt_RelSide;yt_VertRelAngle;yt_HorzRelAngle;yt_ZoneSpeed;yt_PlateLocHeight;yt_PlateLocSide;yt_VertApprAngle;yt_HorzApprAngle;yt_ZoneTime;yt_HorzBreak;yt_InducedVertBreak;yt_OutOfPlane;yt_FSRI;yt_EffectiveSpin;yt_GyroSpin;yt_Efficiency;yt_SpinComponentX;yt_SpinComponentY;yt_SpinComponentZ;yt_HitVelocityX;yt_HitVelocityY;yt_HitVelocityZ;yt_HitLocationX;yt_HitLocationY;yt_HitLocationZ;yt_GroundLocationX;yt_GroundLocationY;yt_HitBreakX;yt_HitBreakY;yt_HitBreakT;yt_HitSpinComponentX;yt_HitSpinComponentY;yt_HitSpinComponentZ;yt_SessionName;Note;yt_PitchSpinConfidence;yt_PitchReleaseConfidence;yt_HitSpinConfidence;yt_EffectiveBattingSpeed;yt_ReleaseAccuracy;yt_ZoneAccuracy;yt_SeamLat;yt_SeamLong;yt_ReleaseDistance
1;08/22/2021;5:11:02 PM;1;1;Jared Mortensen;;Right;Equipe quebec;Brad Zunica;;Left;Tri-city valleycats;;1;Top;0;0;0;Cutter;;StrikeCalled;;;;0;0;;89.85271262099447;-1.9545996201889515;-1.6610992532982605;2253.100625728966;212.10382570221483;1:00;5.879710771314716;1.1916050087521293;5.999999999999997;-19.7374342852184;14.777147294805566;7.618120693755533;2.422564680411807;0.2870436289540446;81.83040446281319;-5.669854899041786;-0.2209969678759495;0.42283685002784915;;;;;;;;;;;;-4.61751959832315;8.585094548410316;-1.0652859437300766;50.0;5.715243148587427;3.5454629640898534;-130.66023969228763;-5.09224782954891;-7.939751764005879;28.90496454873135;-17.412115579341613;Equipe Quebec;Tri-City ValleyCats;;Independent;Frontier;a9e1890b-f00c-48c8-8586-b500a7503f9b;75208900-038d-11ec-8b56-c1c73e575447;90.04413652443071;5.879484817931377;1.194966704180954;-1.9526748441569255;-1.7013315521540175;81.9873490790074;2.4232073360805617;0.28448745193721947;-5.659322315241928;-0.26061098209694616;0.4227005277922791;7.994784095032922;13.500606038405266;-27.26132316019396;90.89832351605574;2002.8411557160073;-1032.0318476822442;88.89266341879471;-0.752997695687491;-0.45804960324323807;-0.4724246302406776;;;;;;;;;;;;;;;;;0.9966170656526288;0;;;medium;high;8.19150883554982;31.85235570290884;54.5
2;08/22/2021;5:11:12 PM;1;2;Jared Mortensen;;Right;Equipe quebec;Brad Zunica;;Left;Tri-city valleycats;;1;Top;0;0;1;Cutter;;InPlay;;;Out;1;0;;88.99361525689518;-1.717015265810209;-3.7558956171236186;2318.1515230376426;201.11212130536788;12:45;5.788242691583875;2.1131621065046846;6.221160585154816;-20.60142398211908;14.347615500576751;3.812257995303574;2.179883142020065;-0.4543390071650792;79.9229321481569;-6.393581974480664;-1.1452207327057058;0.4254897913243227;;;;;;;;;;;;-3.1715057620270666;8.336276387419561;-1.8341790948965921;50.0;5.649384925099003;8.369954717975384;-129.26317940244127;-4.508769250358516;-5.344557598413491;27.952569432443667;-18.125924609433124;Equipe Quebec;Tri-City ValleyCats;;Independent;Frontier;a9e1890b-f00c-48c8-8586-b500a7503f9b;7b808559-038d-11ec-b99d-e199f324b444;89.17431327407185;5.787760895951665;2.1156033074528886;-1.7117307671656188;-3.7859435410558264;80.07462008827798;2.1809795889409824;-0.45640109467859974;-6.376129846156978;-1.1770223156436619;0.4253457034853416;4.088150899812946;13.08039446724326;-46.46713164725954;75.18076274478679;1596.674560033946;-1680.6120412225266;68.87705761104465;-0.6425384727035967;-0.7249793745234989;-0.2480911477889645;;;;;;;;;;;;;;;;;0.9944240055593004;1;;;high;high;22.33731352969197;79.35202929769679;54.27883941484518
3;08/22/2021;5:11:46 PM;2;1;Jared Mortensen;;Right;Equipe quebec;Carson Mccusker;;Right;Tri-city valleycats;;1;Top;1;0;0;Fastball;;BallCalled;;;;0;0;;92.5658714461863;-2.119649931432703;-5.465251846185523;2235.7115180114433;208.69090326770333;1:00;5.73187061498722;2.205561288303941;6.314898231968973;-19.23322056658861;14.814173266163355;6.453426870979703;2.3911014328556552;-1.1305977876010667;81.99479206400115;-5.557262388574891;-2.0512724646789335;0.4093986156787437;;;;;;;;;;;;-5.087191372263668;8.716329369225953;-1.8082129432306364;50.00000000000002;5.567813483512153;12.634554215143037;-134.11772466429076;-5.530191964224719;-9.228605328522628;30.09834195627134;-16.36187391268669;Equipe Quebec;Tri-City ValleyCats;;Independent;Frontier;a9e1890b-f00c-48c8-8586-b500a7503f9b;8fc5d2c0-038d-11ec-a127-e3f08dba4255;92.75178357480193;5.731944229140557;2.208232949367778;-2.121151456522589;-5.497727646809304;82.15187918901728;2.391689225010028;-1.1328953702235798;-5.547526117222209;-2.086700146813466;0.40926250789557816;6.788417024820936;13.595236034581246;-31.256461520010465;82.81691099344457;1911.2054990311785;-1160.0429010351368;85.48533581519958;-0.7498965116998022;-0.5188696715517834;-0.41040161510916673;;;;;;;;;;;;;;;;;0.9481474086221237;1;;;high;high;15.46478010589986;-35.66772797247384;54.185101768031025
4;08/22/2021;5:12:00 PM;2;2;Jared Mortensen;;Right;Equipe quebec;Carson Mccusker;;Right;Tri-city valleycats;;1;Top;1;1;0;Cutter;;Foul;;;;0;0;;90.87758440620733;-2.069574517287773;-3.977942116302585;2271.7299019399397;210.81739758826885;1:00;5.735343930663847;2.145762677437687;6.231231043655143;-21.238112202627864;13.390985557176766;5.904256191489013;2.1116202760428147;-0.35977975480423247;81.50788158802264;-6.1005097925143765;-1.2943728295784331;0.41669852507717886;79.95356384040979;48.56830368907364;65.36912928892079;;99.26248357330299;47.402102851820246;87.94217893983016;278.7978984316156;;65.01577748332993;4.841894708464272;-4.367327914861371;7.957256535666326;-1.8518510014548009;50.000000000000064;5.570710448124487;8.993100375540969;-131.9440998731368;-5.400032693130189;-7.671565591118526;29.008763982588196;-18.196483296325486;Equipe Quebec;Tri-City ValleyCats;;Independent;Frontier;a9e1890b-f00c-48c8-8586-b500a7503f9b;97da8e8a-038d-11ec-aa9f-5debda80936f;91.05759583861797;5.734851279012965;2.148625734502236;-2.0641344016740515;-4.0133484268608;81.66115583705623;2.1126719995600056;-0.3622740388265549;-6.083879165032162;-1.3324669893655001;0.4165604037612832;6.267193501250121;12.111932923128936;-43.12060876197009;77.52772027759622;1658.1730424872028;-1552.8100040046047;72.99164575292198;-0.6268554492843973;-0.6835363670120226;-0.37393887291168587;48.093454279235395;22.050254412797486;59.94479382402179;0.47547783586186776;2.3043017990676433;2.3312655377527425;252.70914215670268;117.75549940579789;;;;;;;;;0.9977708515865539;1;;34.498592079785055;high;high;20.22505175016337;46.011513460180424;54.26876895634486
5;08/22/2021;5:12:15 PM;2;3;Jared Mortensen;;Right;Equipe quebec;Carson Mccusker;;Right;Tri-city valleycats;;1;Top;1;1;1;Fastball;;BallCalled;;;;0;0;;92.14815295523952;-2.427520638669925;-3.221080038117235;2215.261001101553;211.07816376925064;1:00;5.643916606762075;2.3121443001326023;6.322283744210214;-18.287915801193314;14.177123673210161;6.81387960361878;1.7638419702063302;1.2963499227450812;83.67577210685971;-6.072479588326406;0.3114719730552001;0.4100902935517029;;;;;;;;;;;;-4.671414531282368;8.479178545114905;-2.0802966633199422;49.99999999999996;5.45776534327265;7.324593882577438;-133.88201555898627;-6.248304904029383;-8.443204981539996;30.036724636338544;-16.848618273478824;Equipe Quebec;Tri-City ValleyCats;;Independent;Frontier;a9e1890b-f00c-48c8-8586-b500a7503f9b;a129a87d-038d-11ec-bf29-e389ba9a8a7e;92.33256497588211;5.64377629163119;2.315078088602883;-2.4264858800802016;-3.2561792035601815;83.8309807521658;1.7644780054605738;1.2940058107529286;-6.062172909098366;0.2751880058735535;0.40995287139831094;7.134298910741131;13.033524931983878;-30.70362503075091;87.40442395398715;1904.7256387096143;-1131.1063363997694;85.98199660276946;-0.7364047446840907;-0.5105973227702376;-0.4438450472705819;;;;;;;;;;;;;;;;;0.9973553084317667;1;;;high;high;11.336018441411785;-13.083263224604769;54.17771625578978
6;08/22/2021;5:12:30 PM;2;4;Jared Mortensen;;Right;Equipe quebec;Carson Mccusker;;Right;Tri-city valleycats;;1;Top;1;2;1;Fastball;;BallCalled;;;;0;0;;91.31281754427748;-1.1230347931169657;-2.5936004794742282;2221.739260006798;207.4463575471847;1:00;5.702744296006412;2.1463973401260774;6.245108415790677;-18.31891600685327;14.728108255007264;6.381002753758321;3.23743705520669;0.9618990561891867;83.10718161109229;-4.627084033497686;-0.1333130248546942;0.414213972419344;;;;;;;;;;;;-4.272933262151711;8.472508232889986;-1.956835825750636;49.999999999999936;5.610222916807463;5.816901784117949;-132.80694118104805;-3.171617915323259;-7.5885376385956675;29.936057184415997;-17.127255340910157;Equipe Quebec;Tri-City ValleyCats;;Independent;Frontier;a9e1890b-f00c-48c8-8586-b500a7503f9b;a9b8c694-038d-11ec-9034-b35f55524091;91.50087137269945;5.7027815082783615;2.1491745766383175;-1.1242172180596108;-2.6268909811363317;83.2678243250156;3.2378958565228992;0.9596592794652469;-4.619463266436886;-0.16763342251237678;0.41407000021139545;6.704819810654589;13.519784185197068;-28.196583428730296;90.09515338677045;1958.0890763813657;-1049.7678354815052;88.13316268153692;-0.782131363175701;-0.4724982154198838;-0.40622157397403824;;;;;;;;;;;;;;;;;0.9957925439745818;1;;;high;high;8.914361951906649;53.9925273230016;54.254891584209325
7;08/22/2021;5:12:48 PM;2;5;Jared Mortensen;;Right;Equipe quebec;Carson Mccusker;;Right;Tri-city valleycats;;1;Top;1;3;1;Cutter;;BallCalled;Walk;;;0;0;;89.76571461505951;-0.4265434081618619;-2.5808293325880127;2316.7231317556125;199.27954627005133;12:45;5.757932468775554;2.05768453495348;6.186356310846683;-21.097616332770958;13.202970351217804;3.279772263049713;3.4602427202249992;0.25041565184996256;82.80552843822326;-4.907532434421539;-1.949081718103002;0.4215239901482795;;;;;;;;;;;;-2.539700864814238;7.328188854461142;-1.864916027726426;49.99999999999995;5.7150650370488405;5.784447536032753;-130.57756053391668;-1.6245045703563878;-4.365904931154339;28.607533146850805;-19.57643374100861;Equipe Quebec;Tri-City ValleyCats;;Independent;Frontier;a9e1890b-f00c-48c8-8586-b500a7503f9b;b4d3bb99-038d-11ec-8a9f-5782958a9bc1;89.9484745500508;5.757217210278442;2.06014907282424;-0.4184257922580623;-2.611174003964523;82.96311395922058;3.461255628456648;0.24851436419726217;-4.89130290445683;-1.9784294315255821;0.4213802649380957;3.558072608987262;11.91666534860465;-51.5566921179958;78.98970879830176;1440.399354286748;-1814.5125431866963;62.17399630292522;-0.5868720896163215;-0.7832237345563425;-0.20528451489819716;;;;;;;;;;;;;;;;;0.9946105358470158;1;;;high;high;18.90926208152849;58.52149189713221;54.31364368915332
8;08/22/2021;5:13:49 PM;3;1;Jared Mortensen;;Right;Equipe quebec;Luis Roman;;Left;Tri-city valleycats;;1;Top;1;0;0;Fastball;;BallCalled;;;;0;0;;93.3438709229298;-1.4598854039713127;-3.7233345110640776;2156.214027333823;214.1470319429648;1:15;5.7623747804601235;2.411174160591694;6.169958719364364;-19.42392891907264;13.782052538472843;7.777709961536782;2.8474384939435105;1.3639936785077087;83.10654015585169;-5.206228462386667;0.046471152589943;0.40613495219578766;;;;;;;;;;;;-5.2963055670881625;7.935045222536811;-2.1333399876637693;49.99999999999997;5.642542941782349;8.575269842701617;-135.58607500059742;-4.043899994548756;-9.812598920600134;30.954483876884158;-17.472591144963292;Equipe Quebec;Tri-City ValleyCats;;Independent;Frontier;a9e1890b-f00c-48c8-8586-b500a7503f9b;d8adb66b-038d-11ec-bd8e-39c05693c446;93.53202202681253;5.762237067580575;2.4142753787387043;-1.4588619471797657;-3.760374891606362;83.26352482283549;2.848162038308767;1.361426679100202;-5.1945768216227615;0.007050396352327908;0.4059982504312233;8.149941502566302;12.540796300050799;-26.449284462820156;72.13860449441827;1930.5208680218338;-960.3895614818863;89.5328962500508;-0.7409741135469936;-0.4454054881877455;-0.5025647362733314;;;;;;;;;;;;;;;;;0.996346896080757;1;;;high;high;25.075255955023522;11.441344708888723;54.33004128063563
9;08/22/2021;5:14:11 PM;3;2;Jared Mortensen;;Right;Equipe quebec;Luis Roman;;Left;Tri-city valleycats;;1;Top;1;1;0;Cutter;;BallCalled;;;;0;0;;88.8565237559995;0.3293050903843964;-2.3134437337760505;2251.961627675079;201.80721034966302;12:45;5.755574118352643;2.2218986094653292;6.044089126251772;-21.995064384785156;13.613334686329768;4.174035264618667;3.9433071003091693;1.3816790158849803;80.39569259937606;-4.647954500622307;0.309712406235271;0.4271463535955983;;;;;;;;;;;;-3.0498642077209754;7.427543811316596;-2.04423572881658;50.0;5.769693056236115;5.084330612534124;-129.2426173034573;0.07309100791043308;-5.130694953944792;28.296743391737635;-19.67891571858016;Equipe Quebec;Tri-City ValleyCats;;Independent;Frontier;a9e1890b-f00c-48c8-8586-b500a7503f9b;e5cbe940-038d-11ec-9502-4311bde9d940;89.04154411608106;5.755002971369052;2.2245118274968245;0.3356005608096097;-2.345841488746053;80.5517435063444;3.9444436591673395;1.3794919810000357;-4.62999400003761;0.2762545089571803;0.42699669482874236;4.4995251688901;12.243178534761364;-45.859006184919515;57.76283822893771;1568.325565704432;-1616.0711904117543;69.64264161657002;-0.6465895045864036;-0.71762820935816;-0.2587117424704764;;;;;;;;;;;;;;;;;0.996377848396978;1;;;high;high;38.01344559395608;59.85889455528926;54.45591087374822
10;08/22/2021;5:14:33 PM;3;3;Jared Mortensen;;Right;Equipe quebec;Luis Roman;;Left;Tri-city valleycats;;1;Top;1;2;0;Cutter;;InPlay;;;Out;1;0;;88.79804185918258;-1.8221211778812676;-3.8433036840826014;2194.948235055069;206.85950667258186;1:00;5.826910683173639;2.1540239832784867;6.223820832868181;-22.35117113939661;13.33783590360326;4.7486128961444996;2.0741031354569097;-0.44753216494333575;80.38878545907104;-6.614884323270368;-0.9965491072828881;0.42997059403910776;93.0827058421973;33.340477246650806;4.9085719672808805;3406.40182140879;;;;360.34816723882875;;-2.68026700493751;5.478165174848967;-3.138566371805319;7.976464095875897;-0.767891558732286;49.99999999999997;5.965949884850861;4.091545607948713;-127.86935746593657;-6.041818491428282;-5.1799141910893605;27.148593841167344;-19.009631609656118;Equipe Quebec;Tri-City ValleyCats;;Independent;Frontier;a9e1890b-f00c-48c8-8586-b500a7503f9b;f34744a1-038d-11ec-9c25-a141b50a30c5;88.97784161373619;5.826155762394065;2.15680020392568;-1.8136845161918567;-3.8769691287319006;80.53866234835118;2.0753492397120277;-0.44978255058767663;-6.595122721008167;-1.03139230679269;0.42983539857114755;5.083168395474663;12.006788123082275;-45.098929002868296;50.44571229233262;1549.3806094171732;-1554.7403261424172;70.58848061527524;-0.6297318789661329;-0.7083266481240778;-0.3189218088671462;6.653875177313726;77.47789231241983;51.15947883681808;0.40646970227890505;1.5100615157063313;1.989453437919877;-16.850753971779277;359.9539605601881;-45.99165265218787;23.330202034239452;1.352839161136183;0.8992472086517668;-0.2925451936042296;0.32522571766554653;;;0.9475149823310632;1;0.9874944496094885;51.881391988352725;high;high;44.598858936900605;57.02490821314995;54.276179167131815
