PitchNo;Date;Time;PAofInning;PitchofPA;Pitcher;PitcherId;PitcherThrows;PitcherTeam;Batter;BatterId;BatterSide;BatterTeam;PitcherSet;Inning;Top/Bottom;Outs;Balls;Strikes;TaggedPitchType;AutoPitchType;PitchCall;KorBB;HitType;PlayResult;OutsOnPlay;RunsScored;Notes;RelSpeed;VertRelAngle;HorzRelAngle;SpinRate;SpinAxis;Tilt;RelHeight;RelSide;Extension;VertBreak;InducedVertBreak;HorzBreak;PlateLocHeight;PlateLocSide;ZoneSpeed;VertApprAngle;HorzApprAngle;ZoneTime;ExitSpeed;Angle;Direction;HitSpinRate;PositionAt110X;PositionAt110Y;PositionAt110Z;Distance;LastTrackedDistance;Bearing;HangTime;pfxx;pfxz;x0;y0;z0;vx0;vy0;vz0;ax0;ay0;az0;HomeTeam;AwayTeam;Stadium;Level;League;GameID;PitchUUID;yt_RelSpeed;yt_RelHeight;yt_RelSide;yt_VertRelAngle;yt_HorzRelAngle;yt_ZoneSpeed;yt_PlateLocHeight;yt_PlateLocSide;yt_VertApprAngle;yt_HorzApprAngle;yt_ZoneTime;yt_HorzBreak;yt_InducedVertBreak;yt_OutOfPlane;yt_FSRI;yt_EffectiveSpin;yt_GyroSpin;yt_Efficiency;yt_SpinComponentX;yt_SpinComponentY;yt_SpinComponentZ;yt_HitVelocityX;yt_HitVelocityY;yt_HitVelocityZ;yt_HitLocationX;yt_HitLocationY;yt_HitLocationZ;yt_GroundLocationX;yt_GroundLocationY;yt_HitBreakX;yt_HitBreakY;yt_HitBreakT;yt_HitSpinComponentX;yt_HitSpinComponentY;yt_HitSpinComponentZ;yt_SessionName;Note;yt_PitchSpinConfidence;yt_PitchReleaseConfidence;yt_HitSpinConfidence;yt_EffectiveBattingSpeed;yt_ReleaseAccuracy;yt_ZoneAccuracy;yt_SeamLat;yt_SeamLong;yt_ReleaseDistance
1;09/01/2021;7:09:04 PM;1;1;Miguel Cienfuegos;;Left;Equipe quebec;Jackie Urbaez;;Right;Sussex county miners;;1;Top;0;0;0;Fastball;;BallCalled;;;;0;0;;87.15835669478165;-0.787199378507675;0.9624682650312413;1715.8986711546816;139.3358771520907;10:45;6.33242495375912;-2.255672923019401;6.382702282296738;-25.277176682392298;10.767732034785848;-7.362194834467433;3.565459771243249;-1.772743724493508;80.24297797544045;-5.736572360841261;0.0799910160181149;0.4321091746382182;;;;;;;;;;;;4.32539632913953;6.145968700772676;2.189936757699127;50.00000000000002;6.264055778602429;-1.9199348168919257;-126.9282614441009;-2.4736277941606124;7.025734210728207;27.033904545049012;-22.19116263800248;Equipe Quebec;Sussex County Miners;;Independent;Frontier;6318005d-ae05-46af-90fe-dcd565148f5c;9a60fcd4-0b79-11ec-87bb-59ece42a99b8;87.32785109652718;6.330743876035539;-2.2587801864980457;-0.767141779385741;1.0010061035177618;80.38770790293846;3.5672682513407317;-1.7702347608169264;-5.707982810293414;0.11914114942040482;0.43196626087204887;-7.7124289891675595;9.318043305434339;33.331638729158875;74.8556560585534;1433.6403074901693;942.8593311888548;83.55040606945795;-0.633765351397834;0.5494842714426578;0.5444341234756612;;;;;;;;;;;;;;;;;0.9940665931008251;1;;;high;high;22.62990954730199;-63.27954829387021;54.11729771770326
2;09/01/2021;7:09:15 PM;1;2;Miguel Cienfuegos;;Left;Equipe quebec;Jackie Urbaez;;Right;Sussex county miners;;1;Top;0;1;0;Fastball;;BallCalled;;;;0;0;;88.37806134423599;-2.6396965829304;3.1422068880150267;1921.0324692989518;142.16661930467643;10:45;6.3810042556719955;-1.9394093010670375;6.3807209558374955;-22.71102492018918;12.480813074010104;-7.536508672105301;2.28333889520323;0.8440337281884887;81.30309068592565;-6.366278104591977;2.3151068508699777;0.4240096901475521;;;;;;;;;;;;5.2184461384727925;7.46562215426421;1.7112970772477476;49.99999999999997;5.963900215034407;-8.241583180076253;-129.29795975737005;-5.543656435955097;8.806360465767435;27.75073196964865;-19.57547942792791;Equipe Quebec;Sussex County Miners;;Independent;Frontier;6318005d-ae05-46af-90fe-dcd565148f5c;a110a138-0b79-11ec-8096-b7d83d600f0f;88.54870659679308;6.379916553741399;-1.9424602401565874;-2.6268045545628644;3.1800263700388465;81.4516702990217;2.284656345611397;0.8465853373152783;-6.345555732605429;2.354114475971084;0.42387916816976784;-7.881274476481509;11.165579473040609;30.43749572900777;76.19662976086768;1656.280234101889;973.191417052278;86.21823215233422;-0.6809496979648197;0.5065981094049012;0.5288344394883909;;;;;;;;;;;;;;;;;0.9976524186800199;1;;;high;high;21.423033215219167;-67.65699858323485;54.119279044162504
3;09/01/2021;7:09:28 PM;;;Miguel Cienfuegos;;Left;Equipe quebec;Jackie Urbaez;;Right;Sussex county miners;;1;Top;0;2;0;Fastball;;BallCalled;;;;;;;86.99940931376412;-3.6879336270982326;1.5818525740429104;1897.1965914504615;140.32117936276634;10:45;6.346095026040592;-2.098606669304279;6.389281476209867;-23.551987399530113;12.762778664095137;-8.523037148221936;1.054045242209682;-0.7843140214087375;80.13694074289141;-7.994473701921888;1.0027976669740832;0.4313458707467849;;;;;;;;;;;;5.417807305373465;8.079445328815574;2.300674779138517;50.00000000000004;6.064486110884266;-5.561722463514034;-127.0846750747237;-8.76174127097647;8.831467090603761;26.836158001509993;-19.003895774697472;Equipe Quebec;Sussex County Miners;;Independent;Frontier;6318005d-ae05-46af-90fe-dcd565148f5c;a852d454-0b79-11ec-b347-73ffd7e600ff;87.16533640585999;6.3448509241580275;-2.1017947663464236;-3.673287600936374;1.6212725304045688;80.27972112803296;1.0554999467465813;-0.7816775781652192;-7.971773838253501;1.0433543389860027;0.4312158945459655;-8.881774739238269;11.375351598603823;20.736019582218983;69.98962806999191;1774.299287252026;671.7268387285127;93.52216292437691;-0.7197798810349514;0.3540628534520812;0.5971234534521999;;;;;;;;;;;;;;;;;0.9325036471182669;1;;;high;high;27.009334737007286;-47.0512307094036;54.11071852379013
4;09/01/2021;7:09:40 PM;1;3;Miguel Cienfuegos;;Left;Equipe quebec;Jackie Urbaez;;Right;Sussex county miners;;1;Top;0;2;0;Fastball;;BallCalled;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Equipe Quebec;Sussex County Miners;;Independent;Frontier;6318005d-ae05-46af-90fe-dcd565148f5c;8ad5c199-11a7-4033-ba7c-b814fa97f044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;09/01/2021;7:09:41 PM;1;4;Miguel Cienfuegos;;Left;Equipe quebec;Jackie Urbaez;;Right;Sussex county miners;;1;Top;0;3;0;Fastball;;StrikeCalled;;;;0;0;;86.8250872031912;-1.532840587954954;2.0846320421411657;1895.9774052596729;140.51495743286904;10:45;6.330482538459399;-2.111278929008961;6.362892373926468;-24.029478420604722;12.38430394964752;-8.212599048480394;3.043323095557652;-0.5110585584175539;79.37502049130686;-6.037775756984732;1.5940877456443336;0.43431458964777164;;;;;;;;;;;;5.117037901595101;7.247544105594259;1.9645529859870707;49.99999999999998;6.208397192639639;-4.3618790639283445;-126.33816785904938;-4.0758432285387505;8.232936460274832;26.828407451470138;-20.51328582738159;Equipe Quebec;Sussex County Miners;;Independent;Frontier;6318005d-ae05-46af-90fe-dcd565148f5c;b087ce0c-0b79-11ec-89b7-b91c2534f1f7;86.9976590865885;6.329186098359395;-2.114635877259479;-1.5178655764496725;2.1254200529942793;79.5222128207514;3.044841928970822;-0.5083455130379876;-6.013835833355889;1.6359058372605397;0.4341691311653245;-8.583960149930265;10.96191798860725;27.290036790387212;77.35918575488935;1684.9493794277234;869.296215349711;88.86969722072996;-0.6858879777655128;0.4584950289693206;0.565101752224462;;;;;;;;;;;;;;;;;0.9966520006639241;1;;;high;high;20.37673282059961;-63.23380177630055;54.13710762607353
6;09/01/2021;7:09:52 PM;1;5;Miguel Cienfuegos;;Left;Equipe quebec;Jackie Urbaez;;Right;Sussex county miners;;1;Top;0;3;1;Fastball;;InPlay;;;Out;1;0;;87.84693160885693;-2.5442467545072747;2.392278598622684;1794.634100213458;136.5844411561973;10:30;6.3001443894249896;-2.1312328717382125;6.484472841291805;-23.48486372955965;11.194304515613062;-8.28171548279874;2.146261915228853;-0.23672302109776613;81.21788588151345;-6.835328832158357;1.3870178574110956;0.42839386497145443;94.96240778011159;15.470684906299185;12.638784711552384;;;;;238.7371927281323;;12.61166162630656;2.1933002877028147;5.2907831612804745;6.9363025821840045;1.9671929954566416;49.99999999999996;6.110783932140185;-5.0997397823490305;-127.75156807194789;-6.369508403673737;8.713044357939058;27.178051289430055;-20.751107039242953;Equipe Quebec;Sussex County Miners;;Independent;Frontier;6318005d-ae05-46af-90fe-dcd565148f5c;b7812a66-0b79-11ec-b7e7-459314335ad3;88.01543086790818;6.298587625491477;-2.1345763149118016;-2.5260429120042063;2.4327682750335367;81.36050228136918;2.1478708441509857;-0.23410892117433382;-6.809919972128685;1.4276649689106349;0.42825596715120917;-8.665508549808132;9.85166592063747;27.117720817090305;41.10984765794537;1597.353322661919;818.0305105739614;89.00718661658809;-0.6465375792164032;0.4558202201087469;0.611732854766692;20.02528359936844;89.30396786335207;25.33077638017524;0.1822676203416611;1.1199737814691633;2.0765121911782676;52.126324836103386;232.9770234396311;;;;;;;;;0.9966438598475097;1;;53.98199260500861;high;high;53.00113710784915;-34.701029967230646;54.015527158708196
7;09/01/2021;7:10:29 PM;2;1;Miguel Cienfuegos;;Left;Equipe quebec;Chuck Taylor;1488648;Switch;Sussex county miners;;1;Top;1;0;0;Slider;;BallCalled;;;;0;0;;80.40848774871029;-0.41867221964985163;1.582653388295917;1251.3543611704165;130.4809568895985;10:15;6.367913059834144;-2.105520689454424;6.198033376739794;-34.390748569744915;8.218091573086554;-6.746429385071933;2.9265469904941366;-1.0363459625270617;74.29922393913452;-7.3906032341196655;0.6759557188393314;0.4698090502613618;;;;;;;;;;;;4.133100824657321;4.603786550478207;1.990075433078656;49.99999999999999;6.319051134445438;-3.047627565299018;-117.0554553389111;-1.8067069094087838;5.71959687107489;22.633381841845562;-25.803093670257244;Equipe Quebec;Sussex County Miners;;Independent;Frontier;6318005d-ae05-46af-90fe-dcd565148f5c;cd072bf5-0b79-11ec-8786-a9745e81690a;80.56360706371112;6.364387415322993;-2.108726401860496;-0.37703575145204127;1.6213482670231287;74.42386483134499;2.9298747230930067;-1.0338575468014917;-7.339336272528882;0.7143212487601817;0.4696567651467931;-7.100093698846006;6.402786085267124;37.88335861373063;2.672109587559647;987.6470279308893;768.4016433086948;78.92624651958087;-0.512385467207011;0.6140559917735801;0.6003302190978047;;;;;;;;;;;;;;;;;0.9958373793289592;1;;;high;high;87.59510137119631;31.652417663924375;54.301966623260206
8;09/01/2021;7:10:42 PM;2;2;Miguel Cienfuegos;;Left;Equipe quebec;Chuck Taylor;1488648;Switch;Sussex county miners;;1;Top;1;1;0;Fastball;;BallCalled;;;;0;0;;88.81069929777094;-1.1098206480408168;1.268710458279034;1844.6259885629438;136.95828380333586;10:30;6.291669522783551;-2.0312996346294683;6.426981647175852;-23.246028899144942;11.448538438904205;-8.80090684991924;3.086261450221732;-1.4613161497406553;80.96827837494315;-6.5219547372647035;-0.13092352798236173;0.42393791584200646;;;;;;;;;;;;5.216756039012507;6.627868015618391;1.945116217296683;50.00000000000001;6.20212539368568;-2.607658077142841;-129.31206433557134;-3.1823847691012763;8.787547897056971;28.26666997614777;-21.00950456854822;Equipe Quebec;Sussex County Miners;;Independent;Frontier;6318005d-ae05-46af-90fe-dcd565148f5c;d53001a3-0b79-11ec-831b-fdda42323792;88.98426667221868;6.290352642564786;-2.0346901199019247;-1.094485589796954;1.3100628301615527;81.11195061955235;3.0877934013995167;-1.4586411361475828;-6.497605677271498;-0.08895098302938094;0.4237979721236021;-9.176672605346072;10.065248507837364;23.53610831584811;7.03357694106197;1691.1689619262065;736.6088377824791;91.6808595569941;-0.6700559385222739;0.39932693258666185;0.6257499821509884;;;;;;;;;;;;;;;;;0.9932159261494193;1;;;high;high;96.33021924695578;14.356630760171274;54.07301835282415
9;09/01/2021;7:10:56 PM;2;3;Miguel Cienfuegos;;Left;Equipe quebec;Chuck Taylor;1488648;Switch;Sussex county miners;;1;Top;1;2;0;Fastball;;StrikeCalled;;;;0;0;;89.70014854223157;-2.838631791687935;2.364806780601576;1902.013747315436;139.64253929932937;10:45;6.329538701337967;-2.1028063277246196;6.463438938585793;-21.878481453439317;12.151941970889741;-8.314199452370868;1.9209254539039256;-0.3144549670249561;82.73936580265743;-7.014843021445594;1.2782191333427808;0.41631320776655206;;;;;;;;;;;;5.360062726523948;7.5328351816083075;2.0466592881958183;50.0;6.2218925882453995;-6.294947019255265;-131.49792852733245;-7.480874351191408;9.354477803562636;28.739018480344196;-19.027610243871564;Equipe Quebec;Sussex County Miners;;Independent;Frontier;6318005d-ae05-46af-90fe-dcd565148f5c;dd20989c-0b79-11ec-880f-dfc74203ab4a;89.87342684531025;6.328447481827292;-2.1060709508061133;-2.826195015663616;2.4040395584749863;82.88606846040888;1.9221614032633128;-0.31191259965104384;-6.995235878256699;1.317681487550816;0.4161888788917465;-8.671079628730402;10.867081223910333;23.752420231938157;71.01806801996513;1740.9026540890727;766.1032854403699;91.52944643782094;-0.6974720422445974;0.40278535658413245;0.5927028824027634;;;;;;;;;;;;;;;;;0.9950885633761097;1;;;high;high;26.08373878203138;-39.908983363691014;54.036561061414204
10;09/01/2021;7:11:09 PM;2;4;Miguel Cienfuegos;;Left;Equipe quebec;Chuck Taylor;1488648;Switch;Sussex county miners;;1;Top;1;2;1;Slider;;InPlay;;;Out;1;0;;82.51989319800272;-1.3444200209187598;2.0878239586793463;1467.9200794718051;127.22444231388472;10:15;6.247508662274808;-2.182108111587789;6.2425623273066;-32.121551162804636;8.307414210519156;-7.553163350178479;2.085182798332456;-0.6198250588874243;76.37172446134865;-7.917953805653753;1.281214228659814;0.457633529125621;102.46582949482809;-12.569837652399375;6.579900602649311;;;;;11.83344607583507;;8.564006558440965;0.06043415839177912;4.724408417980849;4.924447733375767;2.0306530072638735;50.00000000000001;6.131568481090576;-4.164976173965236;-120.07394298717169;-3.723083069010996;6.8792876016575235;23.819517710043268;-25.00348149787927;Equipe Quebec;Sussex County Miners;;Independent;Frontier;6318005d-ae05-46af-90fe-dcd565148f5c;e58f798a-0b79-11ec-aa2e-774914be20d7;82.6770042360831;6.244340145980974;-2.185701011251412;-1.3071906693907511;2.130963653496767;76.49924018745345;2.0881709385009852;-0.6170548908046938;-7.8719668075152525;1.3238664644951597;0.45748636960980293;-7.947058716902926;6.610426624613846;40.33515052357838;16.662804817198037;1118.9534669420693;950.1223597699584;76.22713815214635;-0.4611275794718058;0.6472575537707996;0.6069752997751341;11.4599981639897;99.3511110207896;-22.299582845409276;0.7030046224405702;2.963417768914425;2.1627068225441004;1.7621678385018327;11.701504627125786;;;;;;;;;0.9972901401575636;1;;60.55439254749754;high;high;75.00347566452176;39.97292671070312;54.2574376726934
