PitchNo;Date;Time;PAofInning;PitchofPA;Pitcher;PitcherId;PitcherThrows;PitcherTeam;Batter;BatterId;BatterSide;BatterTeam;PitcherSet;Inning;Top/Bottom;Outs;Balls;Strikes;TaggedPitchType;AutoPitchType;PitchCall;KorBB;HitType;PlayResult;OutsOnPlay;RunsScored;Notes;RelSpeed;VertRelAngle;HorzRelAngle;SpinRate;SpinAxis;Tilt;RelHeight;RelSide;Extension;VertBreak;InducedVertBreak;HorzBreak;PlateLocHeight;PlateLocSide;ZoneSpeed;VertApprAngle;HorzApprAngle;ZoneTime;ExitSpeed;Angle;Direction;HitSpinRate;PositionAt110X;PositionAt110Y;PositionAt110Z;Distance;LastTrackedDistance;Bearing;HangTime;pfxx;pfxz;x0;y0;z0;vx0;vy0;vz0;ax0;ay0;az0;HomeTeam;AwayTeam;Stadium;Level;League;GameID;PitchUUID;yt_RelSpeed;yt_RelHeight;yt_RelSide;yt_VertRelAngle;yt_HorzRelAngle;yt_ZoneSpeed;yt_PlateLocHeight;yt_PlateLocSide;yt_VertApprAngle;yt_HorzApprAngle;yt_ZoneTime;yt_HorzBreak;yt_InducedVertBreak;yt_OutOfPlane;yt_FSRI;yt_EffectiveSpin;yt_GyroSpin;yt_Efficiency;yt_SpinComponentX;yt_SpinComponentY;yt_SpinComponentZ;yt_HitVelocityX;yt_HitVelocityY;yt_HitVelocityZ;yt_HitLocationX;yt_HitLocationY;yt_HitLocationZ;yt_GroundLocationX;yt_GroundLocationY;yt_HitBreakX;yt_HitBreakY;yt_HitBreakT;yt_HitSpinComponentX;yt_HitSpinComponentY;yt_HitSpinComponentZ;yt_SessionName;Note;yt_PitchSpinConfidence;yt_PitchReleaseConfidence;yt_HitSpinConfidence;yt_EffectiveBattingSpeed;yt_ReleaseAccuracy;yt_ZoneAccuracy;yt_SeamLat;yt_SeamLong;yt_ReleaseDistance
1;09/02/2021;7:10:22 PM;1;1;Henry Omana;;Right;Equipe quebec;Jackie Urbaez;;Right;Sussex county miners;;1;Top;0;0;0;Fastball;;StrikeCalled;;;;0;0;;84.28002058217153;-3.0714607327617314;-1.1009855202232486;2105.706883603655;190.0015183026204;12:15;6.627375102452425;0.8190140205857529;6.499852223485536;-20.54537049778858;17.965300875456332;2.7726373404941818;2.4897265037573466;0.6532978686883233;76.41833660016981;-6.449936986400972;0.3146269707521641;0.4466445791543977;;;;;;;;;;;;-1.8534740310619102;10.818801690489222;-0.7433634756422408;49.99999999999997;6.403615839400165;2.2804901374560473;-122.58313502570574;-7.137083330215665;-2.805247461644258;25.43555820584121;-15.799708499122497;Equipe Quebec;Sussex County Miners;;Independent;Frontier;050a6c78-6fba-400a-9330-41ade2f242ff;f3357a47-0c42-11ec-857e-9de5d7291d84;84.45536418379821;6.627387749902151;0.8199820580741178;-3.0724597755360628;-1.112947877686583;76.57057914425717;2.490268381005265;0.652470803358682;-6.440906522128239;0.30181936579067786;0.44648756138706575;2.8811267644917216;16.58554945359869;-3.270237577011197;86.21944593662035;2102.2779161000826;-120.12095210125189;99.83715836566464;-0.983199481551195;-0.05704542879951071;-0.17339146037374917;;;;;;;;;;;;;;;;;0.9961223168408656;1;;;high;high;12.40249865704183;33.17628561721658;54.00014777651446
2;09/02/2021;7:10:37 PM;1;2;Henry Omana;;Right;Equipe quebec;Jackie Urbaez;;Right;Sussex county miners;;1;Top;0;0;1;Changeup;;Foul;;;;0;0;;72.25024834066768;0.2220938372073737;-1.1613227312682948;1765.040851051;10.145141954329832;6:15;6.505150155415157;1.1112728626928843;6.515484533362233;-58.10793803969713;-5.796893393462;-3.0191602724117703;1.4382241654859247;0.077952086664835;66.07718324162151;-11.818211518116513;-1.8086808290182854;0.5205569137373857;;;;;;;;;;;;1.3211675720767562;-3.269517650144254;-1.02917777638137;49.99999999999991;6.495149765857762;2.2031692271570984;-105.22524931174344;-0.9407523149705485;1.4705867133632313;19.058901639944043;-35.81333752874809;Equipe Quebec;Sussex County Miners;;Independent;Frontier;050a6c78-6fba-400a-9330-41ade2f242ff;fc563ec7-0c42-11ec-b507-8bfa477d1cdb;72.33260538814088;6.495823520345802;1.115126166477087;0.33816405992220444;-1.2099680571581664;66.1134591334136;1.4464964389597093;0.0749655148888566;-11.693850649763084;-1.854787378561551;0.5204610590584223;-2.5736589424398972;-8.738393850120415;-62.26716351014484;13.948848486798893;821.3606730127041;-1562.2854574971102;46.534938413670254;0.4580735102783927;-0.8851270816575388;0.08196772839135841;;;;;;;;;;;;;;;;;0.9877026785205889;1;;;high;high;77.446036361881;46.12293064183415;53.98451546663777
3;09/02/2021;7:10:53 PM;1;3;Henry Omana;;Right;Equipe quebec;Jackie Urbaez;;Right;Sussex county miners;;1;Top;0;0;2;Fastball;;BallCalled;;;;0;0;;88.55661722636354;-1.3879864990001882;-0.6427707284727696;1960.9341108279316;196.071418669399;12:30;6.619320600368826;0.8425763558772675;6.63721416246836;-19.375139713011265;16.061771746780003;4.120353798118874;3.84121707746143;1.7003123551446833;79.77269815153916;-5.148502155469586;1.9338001717904467;0.42352174229729556;;;;;;;;;;;;-2.473858143204131;9.228110339589836;-0.8009437691802401;50.000000000000014;6.517966297802343;1.3329759424452268;-128.99057884161672;-3.645180754414947;-4.142760896647062;28.35001167181272;-16.72051407515536;Equipe Quebec;Sussex County Miners;;Independent;Frontier;050a6c78-6fba-400a-9330-41ade2f242ff;06325e4a-0c43-11ec-82c6-4ff9ee1369c9;88.73639209865046;6.619313807817411;0.843873533139982;-1.3886395416981239;-0.6588408465713889;79.92868175087713;3.8417604286421825;1.6991756897854677;-5.139543468286826;1.9162198979717933;0.4233749717543848;4.280472010895862;14.745092714455032;0.4333563533002089;55.29155356922444;1960.8780220452873;14.83137445729631;99.99713969060284;-0.9608898845788068;0.007563423153995884;-0.2768274270088153;;;;;;;;;;;;;;;;;0.9971138534159238;1;;;high;high;40.237601787697976;20.93009860987654;53.86278583753164
4;09/02/2021;7:11:13 PM;1;4;Henry Omana;;Right;Equipe quebec;Jackie Urbaez;;Right;Sussex county miners;;1;Top;0;1;2;Fastball;;StrikeSwinging;Strikeout;;;1;0;;86.75480775215208;-3.2273062053871624;-0.8912582322356599;2204.26286003334;194.49866161959247;12:30;6.5471435747540205;0.6810537210482653;6.6676690635902816;-18.76334445957047;17.656507825675412;4.2189798713071305;2.3406548092759394;1.0787366182928912;78.80804231120005;-6.4132642083668845;1.2845291080318781;0.4325388988627628;;;;;;;;;;;;-2.6290785401297847;10.714495744134739;-0.6231746394267748;50.00000000000003;6.323461102164645;1.8484199456682404;-126.20564968992565;-7.616968033287199;-4.216885949778124;27.01190805109684;-14.988634288300716;Equipe Quebec;Sussex County Miners;;Independent;Frontier;050a6c78-6fba-400a-9330-41ade2f242ff;11999640-0c43-11ec-99d4-b180f8ab0ab6;86.93048435949962;6.547383581401831;0.6822553779777659;-3.23101670353765;-0.9061423579654693;78.96156719164497;2.3409406170877918;1.0776985512331196;-6.408243359579608;1.2684618562986747;0.4323898276437512;4.365658458088143;16.354290530755506;6.441816965372455;83.14250539255605;2190.345804462489;247.3055053894525;99.36862994776219;-0.9620408575888991;0.11219419873803614;-0.2487767073082714;;;;;;;;;;;;;;;;;0.9957075408587713;1;;;high;high;15.171745146699553;32.83405357158484;53.83233093640972
5;09/02/2021;7:11:51 PM;2;1;Henry Omana;;Right;Equipe quebec;Chuck Taylor;1488648;Switch;Sussex county miners;;1;Top;1;0;0;Fastball;;BallCalled;;;;0;0;;87.43821274622492;-2.201054009356094;-1.7340576828100651;2162.472022275705;188.84357273695912;12:15;6.583487632246513;0.5996901019756768;6.626046546643448;-18.725111998329346;17.800301732789826;2.401230022165939;3.1558882346765227;0.4359883667638826;78.6380051266206;-5.771646853680522;0.6124286665566003;0.4294017692602946;;;;;;;;;;;;-1.85597592017064;10.434522944372409;-0.48341681525827335;50.0;6.427054120334962;3.786032983039629;-127.25194991695065;-5.385585646499332;-3.0247098664474716;27.600179132865573;-15.168761878057124;Equipe Quebec;Sussex County Miners;;Independent;Frontier;050a6c78-6fba-400a-9330-41ade2f242ff;28a66c00-0c43-11ec-8a78-1fcea2143ab0;87.61902027960643;6.583901264253289;0.6005439433057408;-2.20695967018967;-1.7446408911822164;78.79546342391363;3.1561185406323196;0.4352271086844015;-5.767432870119137;0.6006980554255195;0.4292520150797951;2.508418560347913;16.49552383777145;-4.240719528593391;44.026415434580485;2156.5515537712795;-159.90823322098817;99.72621756751354;-0.9854064754506802;-0.07394696050342732;-0.1533164217302665;;;;;;;;;;;;;;;;;0.9968762642114523;1;;;high;high;50.37622610887768;26.9402780798097;53.87395345335655
6;09/02/2021;7:12:07 PM;2;2;Henry Omana;;Right;Equipe quebec;Chuck Taylor;1488648;Switch;Sussex county miners;;1;Top;1;1;0;Fastball;;StrikeCalled;;;;0;0;;84.29915600225127;-3.391059948961184;-1.244926025030189;2056.6724487313286;195.9073770529108;12:30;6.550601390355638;0.4545039500619077;6.764375507891486;-20.978307661874165;17.125382046162887;4.453827798730403;2.085229050148786;0.3725708518494873;76.27829297036752;-6.616796098445185;0.7951845652334539;0.4442782355373674;;;;;;;;;;;;-2.845634665664322;10.535303591885336;-0.3750575126600888;49.99999999999998;6.321028668474614;2.5505759151142047;-122.62328096769096;-7.8056254974403;-4.311646625607001;25.351103753592913;-16.21117609074995;Equipe Quebec;Sussex County Miners;;Independent;Frontier;050a6c78-6fba-400a-9330-41ade2f242ff;32162a82-0c43-11ec-afba-2b1de15210c6;84.46830410508223;6.5503678066255615;0.4557892355443991;-3.388914740809565;-1.2611199784630147;76.42769694246488;2.085977358708669;0.3714220593960173;-6.604710440744689;0.7774923021483207;0.44412656774962084;4.5996044587889395;15.756700825058944;3.11859686382859;84.93531605685652;2053.626650498008;111.88897056838174;99.85190649900527;-0.9602818041435622;0.05440291215910494;-0.27367714515354397;;;;;;;;;;;;;;;;;0.9962953345678432;1;;;high;high;13.558215548829205;58.772540390409375;53.73562449210851
7;09/02/2021;7:12:19 PM;2;3;Henry Omana;;Right;Equipe quebec;Chuck Taylor;1488648;Switch;Sussex county miners;;1;Top;1;1;1;Changeup;;BallCalled;;;;0;0;;75.87414414899557;-0.096306853520001;-3.272838295251016;1565.4862474124197;203.70248012583153;12:45;6.62504236805811;0.6946976787057961;6.671564378073037;-35.203930655468554;12.66388674624259;3.8749053775096653;3.5401370766942395;-0.8875610391381102;68.92744454217686;-7.175638466468534;-0.24057748071015464;0.4939949336660835;;;;;;;;;;;;-3.1408145555167404;7.170428779288557;-0.4773888397241091;49.99999999999995;6.604623262148181;6.219608290096061;-110.40029899906861;-0.9943317024130873;-3.8636880108559617;20.253856009421604;-23.35331241176218;Equipe Quebec;Sussex County Miners;;Independent;Frontier;050a6c78-6fba-400a-9330-41ade2f242ff;39188f8c-0c43-11ec-b99a-15fcaae9ef72;76.03382519711931;6.622309544115712;0.6974591755837933;-0.06353927740916762;-3.307014166978081;69.05593198199992;3.543270603562758;-0.889877754145873;-7.126997119810339;-0.27636362508599843;0.4938223423156842;4.219981536282435;10.6766040036877;-41.59092362644281;17.63357981933722;1170.8322539601525;-1039.181901268497;74.79032510796004;-0.68481401714748;-0.6638077485421242;-0.300647692314055;;;;;;;;;;;;;;;;;0.9877099155130968;1;;;high;high;74.12977816259648;42.479959670173244;53.828435621926964
8;09/02/2021;7:12:36 PM;2;4;Henry Omana;;Right;Equipe quebec;Chuck Taylor;1488648;Switch;Sussex county miners;;1;Top;1;2;1;Fastball;;StrikeSwinging;;;;0;0;;86.93580694972502;-1.6143496798304462;-1.4186458337831556;2070.5042028400785;192.2813754432624;12:30;6.588131003277368;0.7571472150821399;6.515041567819771;-19.420883042212235;17.10543959999485;3.25481103640869;3.910137228934103;0.4944903807359138;78.64625794387271;-4.76503902528987;0.6486942976247675;0.4326507395410701;;;;;;;;;;;;-2.220519307897674;9.91047651498709;-0.6598881786711249;49.99999999999999;6.4674314815169645;3.0431650658116665;-126.5583871838024;-4.100485753348687;-3.5789435498195523;27.335490931683676;-16.200742858695612;Equipe Quebec;Sussex County Miners;;Independent;Frontier;050a6c78-6fba-400a-9330-41ade2f242ff;431ccfa1-0c43-11ec-ab8d-bbf9edefb2a4;87.11636504395139;6.588302487655108;0.7583201811042484;-1.617250209552569;-1.4331448703707543;78.80481829926617;3.9105167879783274;0.49347545225280126;-4.758487452169041;0.6329216538977245;0.4324973808543383;3.4002694324642038;15.755823619861173;-5.839887307916479;54.52149245392649;2059.758525827166;-210.6714723467049;99.48101158171171;-0.9720436579454635;-0.10174887452907852;-0.21160882207523535;;;;;;;;;;;;;;;;;0.9964932074752578;1;;;high;high;40.930656791466156;-25.0189970558483;53.98495843218023
9;09/02/2021;7:12:53 PM;2;5;Henry Omana;;Right;Equipe quebec;Chuck Taylor;1488648;Switch;Sussex county miners;;1;Top;1;3;2;Fastball;;StrikeCalled;Strikeout;;;1;0;;86.55774796171643;-3.203030394085489;-1.37927060629824;2122.5657768782125;192.2396661394434;12:30;6.56166477441069;0.6064181750181721;6.651653118269095;-18.872665729968656;17.42934554796911;3.3271541516139433;2.4217730323842592;0.28017050928806053;78.29056093934997;-6.1768951064956905;0.23391159901688446;0.4336475190884327;;;;;;;;;;;;-2.250557142907192;10.612813587108752;-0.5151284221309522;50.0;6.338478589556278;2.941514004660467;-125.90022782723035;-7.557262157469394;-3.5937541500658745;26.78588499818449;-15.227204671287083;Equipe Quebec;Sussex County Miners;;Independent;Frontier;050a6c78-6fba-400a-9330-41ade2f242ff;4d731d11-0c43-11ec-ba47-9d2e1a00ef30;86.7337722400718;6.5618411118538456;0.6075618824350655;-3.2059304456201985;-1.3934039588553244;78.44592288292233;2.42215361524559;0.27917880664481143;-6.170383145689239;0.21857396215973837;0.4334976719383478;3.4547975194140204;16.15813665162773;-3.724934067802969;82.3263737520962;2118.081730316746;-137.89583341431614;99.78874404693072;-0.9752048192115954;-0.06496657720408928;-0.21155354979972482;;;;;;;;;;;;;;;;;0.9909927161890931;1;;;high;high;15.90626362311347;67.09423365420832;53.848346881730905
10;09/02/2021;7:13:07 PM;3;1;Henry Omana;;Right;Equipe quebec;Chuck Taylor;1488648;Switch;Sussex county miners;;1;Top;1;0;0;Fastball;;InPlay;;;Out;1;0;;87.59834566045456;-2.903721584933223;-1.5627995808979391;2049.984700118391;194.67779894588242;12:30;6.579634383963281;0.46811262431568773;6.717952783305442;-18.683034072311504;16.650219384953292;3.902449776484586;2.76996862922535;-0.03467312541955256;79.37433442799988;-5.936144348389051;0.047330926268062144;0.42782221984343693;87.64347513545287;-8.846852517539219;42.87397121587983;246.813903456046;;;;18.992621488422614;;37.11659589216317;0.13739364041827548;-2.6281894502041205;10.113460823844802;-0.3664825183393309;49.99999999999999;6.380283805362384;3.3721820781258303;-127.45388822205952;-6.970467779441956;-4.3015685081716075;27.41815758144588;-15.621306561672233;Equipe Quebec;Sussex County Miners;;Independent;Frontier;050a6c78-6fba-400a-9330-41ade2f242ff;55c11745-0c43-11ec-bed1-e17706bc3481;87.77536396011668;6.579702646688921;0.4693919849588524;-2.905306890059354;-1.5784798728181049;79.5275019371517;2.7703977128976005;-0.035736240379992616;-5.9288714538557885;0.03071391126868497;0.42767598948409163;4.04399014435617;15.406601925879551;-1.5283205715812331;82.47792814793718;2049.255446598419;-54.67527143237131;99.96442639206381;-0.9670218796761004;-0.02667106316901472;-0.2532929896723079;58.92213014688036;63.46555788315631;-13.479030950056268;-0.07190915852112564;2.541305796047899;2.931160135215255;11.460888233160981;15.14489062058504;-0.06313081694195559;-0.048442610982318245;-0.012270548295488432;-0.7306138895907374;0.16968258312920675;0.661370671650697;;;0.9954347408752988;1;0.9808906103228573;45.91467211289839;high;high;15.769864666856689;84.58160581640223;53.78204721669456
