PitchNo;Date;Time;PAofInning;PitchofPA;Pitcher;PitcherId;PitcherThrows;PitcherTeam;Batter;BatterId;BatterSide;BatterTeam;PitcherSet;Inning;Top/Bottom;Outs;Balls;Strikes;TaggedPitchType;AutoPitchType;PitchCall;KorBB;HitType;PlayResult;OutsOnPlay;RunsScored;Notes;RelSpeed;VertRelAngle;HorzRelAngle;SpinRate;SpinAxis;Tilt;RelHeight;RelSide;Extension;VertBreak;InducedVertBreak;HorzBreak;PlateLocHeight;PlateLocSide;ZoneSpeed;VertApprAngle;HorzApprAngle;ZoneTime;ExitSpeed;Angle;Direction;HitSpinRate;PositionAt110X;PositionAt110Y;PositionAt110Z;Distance;LastTrackedDistance;Bearing;HangTime;pfxx;pfxz;x0;y0;z0;vx0;vy0;vz0;ax0;ay0;az0;HomeTeam;AwayTeam;Stadium;Level;League;GameID;PitchUUID;yt_RelSpeed;yt_RelHeight;yt_RelSide;yt_VertRelAngle;yt_HorzRelAngle;yt_ZoneSpeed;yt_PlateLocHeight;yt_PlateLocSide;yt_VertApprAngle;yt_HorzApprAngle;yt_ZoneTime;yt_HorzBreak;yt_InducedVertBreak;yt_OutOfPlane;yt_FSRI;yt_EffectiveSpin;yt_GyroSpin;yt_Efficiency;yt_SpinComponentX;yt_SpinComponentY;yt_SpinComponentZ;yt_HitVelocityX;yt_HitVelocityY;yt_HitVelocityZ;yt_HitLocationX;yt_HitLocationY;yt_HitLocationZ;yt_GroundLocationX;yt_GroundLocationY;yt_HitBreakX;yt_HitBreakY;yt_HitBreakT;yt_HitSpinComponentX;yt_HitSpinComponentY;yt_HitSpinComponentZ;yt_SessionName;Note;yt_PitchSpinConfidence;yt_PitchReleaseConfidence;yt_HitSpinConfidence;yt_EffectiveBattingSpeed;yt_ReleaseAccuracy;yt_ZoneAccuracy;yt_SeamLat;yt_SeamLong;yt_ReleaseDistance
1;09/06/2021;4:03:17 PM;1;1;Miguel Cienfuegos;;Left;Equipe quebec;Demetrius Moorer;1338414;Right;New jersey jackals;;1;Top;0;0;0;Fastball;;BallCalled;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Equipe Quebec;New Jersey Jackals;;Independent;Frontier;42b0b272-fb7d-471a-8717-9e617e379cd2;3c0d3565-98b7-46c8-a00e-91fdccf7d1ae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;09/06/2021;4:03:22 PM;1;2;Miguel Cienfuegos;;Left;Equipe quebec;Demetrius Moorer;1338414;Right;New jersey jackals;;1;Top;0;1;0;Fastball;;BallCalled;;;;0;0;;85.6987939901671;-0.7433472554095693;1.9307551445973905;1871.51738196279;139.54010465300846;10:45;6.415627312106709;-2.182836573944568;6.269131117212556;-24.556438056817846;12.38770235279663;-8.524351497910455;3.7475323992635348;-0.8875408189402219;78.7264567724301;-5.379187269821408;1.3049203844150954;0.44079186441570306;;;;;;;;;;;;5.262753637056909;6.986849184252996;2.0444159488160722;50.00000000000004;6.348381602922146;-3.955630344962815;-124.72117812659255;-2.3481158580953907;8.247122042705717;26.284559620858307;-21.225143007743945;Equipe Quebec;New Jersey Jackals;;Independent;Frontier;42b0b272-fb7d-471a-8717-9e617e379cd2;7dab0abd-0f4d-11ec-9263-9da87d1f44bc;85.87291299938293;6.414171706542329;-2.186369073139473;-0.7266702035521845;1.973277492829686;78.87332544588685;3.7491043582055084;-0.8848151156019366;-5.353949277674766;1.347698439708898;0.44064129269154;-8.928041797381079;10.924401208139404;26.025322746016478;69.56320987726895;1681.745916017374;821.1625813124583;89.8600211905919;-0.6837092859376197;0.4387683433916324;0.5831157287880621;;;;;;;;;;;;;;;;;0.9875335959917426;1;;;high;high;27.39311111045792;-23.914205473037946;54.23086888278744
3;09/06/2021;4:03:37 PM;1;3;Miguel Cienfuegos;;Left;Equipe quebec;Demetrius Moorer;1338414;Right;New jersey jackals;;1;Top;0;2;0;Fastball;;StrikeCalled;;;;0;0;;85.61074861863393;-1.146743749135314;2.196733592167071;1923.557892908272;141.58378532745047;10:45;6.457633883888688;-1.973039054656532;6.290294333247747;-24.608808310689607;12.9601961337687;-8.344384758999965;3.4357987600776747;-0.6005235529341404;78.57554289473713;-5.892415883328359;0.7553009236105083;0.4384267809470161;;;;;;;;;;;;5.21034503559932;7.454781428541345;1.8887508956157477;49.999999999999936;6.556372242826356;-4.851217294559799;-125.32012010767286;-3.5809548699588643;8.248071835112349;26.410048702893405;-20.37299374083794;Equipe Quebec;New Jersey Jackals;;Independent;Frontier;42b0b272-fb7d-471a-8717-9e617e379cd2;8630bfb0-0f4d-11ec-819a-4f3e6422d8a2;85.78507810684171;6.456345240114991;-1.9764918100780535;-1.1320347631283765;2.238394397869552;78.72300018065746;3.437308123833485;-0.597788273275455;-5.868526965360269;0.797643529390018;0.4382890654646121;-8.724696228752274;11.481239028650057;25.994766625850243;72.22199564235706;1728.9593917278505;843.0743674942161;89.88340814186759;-0.7042523595569892;0.43828905311477384;0.5585081198856183;;;;;;;;;;;;;;;;;0.9975666644038501;1;;;high;high;25.000203921878775;-61.51582517073691;54.20970566675225
4;09/06/2021;4:03:52 PM;1;4;Miguel Cienfuegos;;Left;Equipe quebec;Demetrius Moorer;1338414;Right;New jersey jackals;;1;Top;0;2;1;Fastball;;StrikeCalled;;;;0;0;;87.38081944375378;-2.5343433288595594;3.047017709662883;2008.6636029205902;143.0569491482953;10:45;6.402463697376076;-1.8685426135024898;6.361233487294601;-22.355876010514343;13.541618567026568;-8.167068154707923;2.3047074965892564;0.7035145224218927;79.9675407149637;-6.616968582767143;1.9190525926779298;0.4320644556365971;;;;;;;;;;;;5.374506176492344;8.160166392798915;1.6520860036282277;50.000000000000036;6.20841150686021;-6.521791308679195;-126.97581693165938;-6.281046051027175;8.739031306177914;26.979796365040947;-18.905491093648955;Equipe Quebec;New Jersey Jackals;;Independent;Frontier;42b0b272-fb7d-471a-8717-9e617e379cd2;8f28cb78-0f4d-11ec-bbeb-d7b096c0be05;87.55454633903024;6.401536180635415;-1.8718180046741286;-2.523837708735077;3.0866744831830797;80.11449173307973;2.3058937163598228;0.7061123287973615;-6.59797805419494;1.9593782374139164;0.43192096658017565;-8.551275843230561;12.198441169268746;24.581206978980422;69.05523420370515;1826.6236404527067;835.5689952584571;90.93725986754586;-0.7268008534905633;0.41598254383837224;0.5465519578110989;;;;;;;;;;;;;;;;;0.9971855109374264;1;;;high;high;27.85028921666537;-28.743601754104688;54.138766512705395
5;09/06/2021;4:04:08 PM;1;5;Miguel Cienfuegos;;Left;Equipe quebec;Demetrius Moorer;1338414;Right;New jersey jackals;;1;Top;0;2;2;Fastball;;Foul;;;;0;0;;89.02276867350797;-2.63770661828769;2.3998745056424746;1888.8893256513913;139.56846416335404;10:45;6.411669965430021;-1.9656913939507443;6.329794278059327;-22.316699215709175;12.241439623013445;-8.405109491882051;2.2734212640530505;-0.39823931380262345;81.51945107479601;-6.637770565820076;1.0321609937966165;0.4241410035396138;;;;;;;;;;;;5.310909676035141;7.482953855228367;1.7949379779918706;49.99999999999998;6.208646671807103;-5.173388793455583;-129.41508186759526;-6.635978926843154;8.971760395494004;27.993782828495448;-19.533038321472745;Equipe Quebec;New Jersey Jackals;;Independent;Frontier;42b0b272-fb7d-471a-8717-9e617e379cd2;9897ffb0-0f4d-11ec-be98-ad57d227e9c7;89.19559623932216;6.410515491642079;-1.968971719790998;-2.624508131988702;2.4394017642467523;81.66663242864139;2.2747670296299374;-0.39562890622775987;-6.616396469046315;1.072767486784023;0.4240017125163896;-8.783684337609634;10.920959111378865;23.35408678338122;67.82017333816968;1734.137494191287;748.7790300213624;91.80725787590876;-0.6988198298324626;0.39641233599705095;0.5954058324389251;;;;;;;;;;;;;;;;;0.9894361796814377;1;;;high;high;28.96184399564725;-20.646351716370667;54.17020572194067
6;09/06/2021;4:04:27 PM;1;6;Miguel Cienfuegos;;Left;Equipe quebec;Demetrius Moorer;1338414;Right;New jersey jackals;;1;Top;0;2;2;Fastball;;StrikeSwinging;Strikeout;;;1;0;;88.66314955852296;-1.474724777201858;0.9864959501445079;1775.383686414473;136.48441138743877;10:30;6.389229548762614;-1.927265131036361;6.216600406859898;-24.081170081423597;11.007209296875214;-8.448158585036891;3.198847564930541;-1.3666970843503221;80.83781748553561;-5.934526890309297;-0.6010754264149549;0.4263371497537407;;;;;;;;;;;;4.902670952310402;6.443073473838183;1.8577446133978974;49.99999999999999;6.266862876628983;-1.9659514354315988;-129.04998046607625;-4.053105337163582;8.229112431761234;28.028494948623525;-21.359378045107253;Equipe Quebec;New Jersey Jackals;;Independent;Frontier;42b0b272-fb7d-471a-8717-9e617e379cd2;a3fe7a47-0f4d-11ec-a16c-f5f3da9e3852;88.83641654042867;6.387686287434868;-1.9306515252014846;-1.4567952932422172;1.0273673834677453;80.9832272343841;3.2005352101555635;-1.364028784993331;-5.907723673689331;-0.5591624421271735;0.4261961728591949;-8.821117574245779;9.597455679902716;26.535088132140785;70.17661771516823;1588.36643575281;793.145194627414;89.46609388760584;-0.6487965375150715;0.44674579399185144;0.6160204935381978;;;;;;;;;;;;;;;;;0.996713455507625;1;;;high;high;26.84104405634867;-35.30163394328042;54.2833995931401
7;09/06/2021;4:04:55 PM;2;1;Miguel Cienfuegos;;Left;Equipe quebec;Santiago Chirino;453279;Right;New jersey jackals;;1;Top;1;0;0;Fastball;;BallCalled;;;;0;0;;87.76730960834657;-2.1417784207347594;1.2799406994475757;1862.231189246369;137.40235106643507;10:30;6.363627336150455;-2.085535151375623;6.306373226792851;-23.69823588836043;12.02638190513116;-9.091167104980807;2.340190341456947;-1.5258619003985183;78.99220250346801;-7.0143916316003985;-0.6983987056295698;0.43018505444604355;;;;;;;;;;;;5.357069705141868;7.2181656400048055;1.9962211650083186;49.99999999999996;6.195325473462807;-2.5853239663012455;-127.70287609954767;-5.475505613244989;8.802469453339663;27.518706496710564;-20.313520219674416;Equipe Quebec;New Jersey Jackals;;Independent;Frontier;42b0b272-fb7d-471a-8717-9e617e379cd2;b50c892e-0f4d-11ec-9301-1165626a5e86;87.9371537538584;6.3623018608761575;-2.088891758184976;-2.1262129175144633;1.321230639754662;79.1338486607989;2.341855275600076;-1.5230864426945683;-6.9880933548580035;-0.6549168955628227;0.43004391520021895;-9.467087129703957;10.611391312362407;19.500678998081494;6.219728314613112;1755.4090162413677;621.6463527605226;94.26375341462133;-0.6938989241051722;0.3338180330939996;0.6380202221771171;;;;;;;;;;;;;;;;;0.9970260096075495;1;;;high;high;95.59775548315181;8.803476875047307;54.19362677320715
8;09/06/2021;4:05:08 PM;2;2;Miguel Cienfuegos;;Left;Equipe quebec;Santiago Chirino;453279;Right;New jersey jackals;;1;Top;1;1;0;Fastball;;BallCalled;;;;0;0;;85.62787208554944;-1.135409894411648;2.558634476481199;1873.3901170014708;142.59477818544119;10:45;6.519286880355752;-1.9454607106661352;6.32648799210103;-25.233354521428154;12.990362361237523;-7.978701842292209;3.7168368832436527;-0.38929664624234867;77.3463284399527;-5.563711058986141;1.4122644720959228;0.4449774267939854;;;;;;;;;;;;5.227453928546295;7.352641950364046;2.212275652452307;50.000000000000014;6.473527057899426;-6.082385389484566;-123.38711537175934;-2.4073022439698173;8.023095722202575;25.56597426475739;-20.889215518556043;Equipe Quebec;New Jersey Jackals;;Independent;Frontier;42b0b272-fb7d-471a-8717-9e617e379cd2;bc999ccc-0f4d-11ec-8b23-bbe7d1b3a38d;85.8011053339155;6.517971389464181;-1.9487422465637274;-1.1202212878653823;2.5984005400222645;77.49193142335409;3.718445970015911;-0.3866570786983861;-5.537960204620837;1.4535415351192549;0.4448356224619737;-8.370819503066272;11.480042602413807;26.96766230643619;55.04176905104907;1669.6825694161569;849.5590902736814;89.12626122361709;-0.7079827111749127;0.4534875478223815;0.541395903796347;;;;;;;;;;;;;;;;;0.9976107461134535;1;;;high;high;40.46240785405581;-15.418236370476816;54.17351200789897
9;09/06/2021;4:05:23 PM;2;3;Miguel Cienfuegos;;Left;Equipe quebec;Santiago Chirino;453279;Right;New jersey jackals;;1;Top;1;2;0;Fastball;;Foul;;;;0;0;;87.56610886883259;-1.385685588588985;2.509969934701863;1977.3096513041016;139.9675342165048;10:45;6.410468749036565;-1.960102782616912;6.451774547666367;-23.726067214536968;12.932791486129837;-8.787316310617832;3.445925907606722;-0.10525999808223314;78.81226247744534;-5.547314918751634;1.803260140238799;0.4357736763585969;;;;;;;;;;;;5.852869120935765;7.429325294868183;2.32642245329059;49.99999999999997;6.299450546430112;-7.3842352270179195;-125.70953445780756;-2.9636268349855333;9.323944574378066;26.54710769414108;-20.338723040495278;Equipe Quebec;New Jersey Jackals;;Independent;Frontier;42b0b272-fb7d-471a-8717-9e617e379cd2;c5770638-0f4d-11ec-ab9e-275a15e73c6f;87.74088753514364;6.409385018270693;-1.9635729163792028;-1.3733164288108461;2.5520290612845313;78.95943029127184;3.4473302737961116;-0.10244837509705199;-5.524830218278641;1.8470531427001313;0.4356380721304704;-9.198512192644568;11.511238348921651;25.251308283455725;83.45065002156613;1788.3686250755782;843.4993289775841;90.44454033267321;-0.6925158417269691;0.42658939555636527;0.5817587958561884;;;;;;;;;;;;;;;;;0.9973764701441361;1;;;high;high;14.894414980590446;85.30952819109191;54.04822545233363
10;09/06/2021;4:05:42 PM;2;4;Miguel Cienfuegos;;Left;Equipe quebec;Santiago Chirino;453279;Right;New jersey jackals;;1;Top;1;2;1;Fastball;;InPlay;;;Out;1;0;;87.81201918288528;-1.3347773272142676;2.632589023725591;1755.6864547756604;138.199364356547;10:30;6.3980410317496155;-1.9579829366813524;6.314306325828028;-24.55289995365963;11.109248972239197;-7.770969869092313;3.287741647167553;0.21551949243316423;80.0647920278473;-5.821602819412249;1.8821998917901441;0.4298087742657669;79.25163006728974;11.04055129064768;4.82439900619561;1974.9560114967005;;;;145.46785845703747;;9.17534911642187;1.4666666173860026;5.019138958234573;6.474362625445272;1.769264190405145;50.000000000000036;6.288598169864479;-5.644118704789776;-127.73168287922569;-3.702725760460456;8.261859800994838;27.206896080241624;-21.51678810004897;Equipe Quebec;New Jersey Jackals;;Independent;Frontier;42b0b272-fb7d-471a-8717-9e617e379cd2;d121504a-0f4d-11ec-a31b-17feb4ee433f;87.98418488565835;6.396451930572343;-1.9612327163226766;-1.3162216497072488;2.6720093785960586;80.21120530826204;3.289519191555467;0.2181784439828892;-5.793917436413303;1.9228540119155024;0.4296678969698805;-8.13092918876142;9.709273037919884;31.343481166645027;77.0766321005381;1499.4691650935845;913.2508693761403;85.40643239656279;-0.6366781402338452;0.5201674062541164;0.5692686669923415;6.54187437678155;77.50925118920081;15.176980201948094;-0.22965664145302142;0.8059921445778508;3.223888574404386;23.195790961744972;143.60659151214375;11.047672486018522;-3.748107324132728;-0.012422373004007614;0.005268726446160053;-0.013778238094070685;-0.9998911944190021;;;0.9974648409298559;1;0.9971004088302554;42.41283289926704;high;high;20.63103110951585;-49.258275523112964;54.18569367417197
