PitchNo;Date;Time;PAofInning;PitchofPA;Pitcher;PitcherId;PitcherThrows;PitcherTeam;Batter;BatterId;BatterSide;BatterTeam;PitcherSet;Inning;Top/Bottom;Outs;Balls;Strikes;TaggedPitchType;AutoPitchType;PitchCall;KorBB;HitType;PlayResult;OutsOnPlay;RunsScored;Notes;RelSpeed;VertRelAngle;HorzRelAngle;SpinRate;SpinAxis;Tilt;RelHeight;RelSide;Extension;VertBreak;InducedVertBreak;HorzBreak;PlateLocHeight;PlateLocSide;ZoneSpeed;VertApprAngle;HorzApprAngle;ZoneTime;ExitSpeed;Angle;Direction;HitSpinRate;PositionAt110X;PositionAt110Y;PositionAt110Z;Distance;LastTrackedDistance;Bearing;HangTime;pfxx;pfxz;x0;y0;z0;vx0;vy0;vz0;ax0;ay0;az0;HomeTeam;AwayTeam;Stadium;Level;League;GameID;PitchUUID;yt_RelSpeed;yt_RelHeight;yt_RelSide;yt_VertRelAngle;yt_HorzRelAngle;yt_ZoneSpeed;yt_PlateLocHeight;yt_PlateLocSide;yt_VertApprAngle;yt_HorzApprAngle;yt_ZoneTime;yt_HorzBreak;yt_InducedVertBreak;yt_OutOfPlane;yt_FSRI;yt_EffectiveSpin;yt_GyroSpin;yt_Efficiency;yt_SpinComponentX;yt_SpinComponentY;yt_SpinComponentZ;yt_HitVelocityX;yt_HitVelocityY;yt_HitVelocityZ;yt_HitLocationX;yt_HitLocationY;yt_HitLocationZ;yt_GroundLocationX;yt_GroundLocationY;yt_HitBreakX;yt_HitBreakY;yt_HitBreakT;yt_HitSpinComponentX;yt_HitSpinComponentY;yt_HitSpinComponentZ;yt_SessionName;Note;yt_PitchSpinConfidence;yt_PitchReleaseConfidence;yt_HitSpinConfidence;yt_EffectiveBattingSpeed;yt_ReleaseAccuracy;yt_ZoneAccuracy;yt_SeamLat;yt_SeamLong;yt_ReleaseDistance
1;09/17/2021;7:18:48 PM;1;1;Miguel Cienfuegos;;Left;Equipe quebec;Nick Ward;1475983;Left;Washington wild things;;1;Top;0;0;0;Fastball;;StrikeCalled;;;;0;0;;89.73188953319992;-2.6749152910417076;2.4422483237374166;;;;6.431841476748157;-2.4812026286790565;6.463332892865601;;;;2.134378234605615;-0.09287167227055086;81.39513098446376;-7.150724525432225;2.4812744737927246;;;;;;;;;;;;;;;;;;;;;;;;Equipe Quebec;Washington Wild Things;;Independent;Frontier;76fcc933-9b7c-40a6-b2cc-7bef13d391c7;9d7abb6e-180d-11ec-a698-4130b77b7e7c;89.86945881252734;6.427562631525877;-2.4812026286790547;-2.624201424464868;2.4422483237373935;81.5057775651493;2.1382298301944203;-0.09287167227055379;-7.091983133627588;2.4812744737926917;0.4187276976308308;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;high;high;;;54.0366671071344
2;09/17/2021;7:19:04 PM;1;2;Miguel Cienfuegos;;Left;Equipe quebec;Nick Ward;1475983;Left;Washington wild things;;1;Top;0;0;1;Curveball;;BallCalled;;;;0;0;;82.10395117360473;0.014090398164801147;2.007152701430091;2111.147458630466;192.24466883566933;12:30;6.4413034386888155;-2.5229365961724524;6.017862108902439;-36.05018100269429;5.049458150514106;1.7586164581244657;3.239372190630973;0.13539936195719093;73.66124980894266;-7.56613294389384;3.7804029511933384;0.47345168217068423;;;;;;;;;;;;-0.17303862670334585;3.290382071886558;2.9144382642948754;50.00000000000002;6.810648726803168;-6.957808603535741;-116.45588369884538;-2.1905553101919946;-0.23742495913936734;22.047683877280818;-27.65934183632582;Equipe Quebec;Washington Wild Things;;Independent;Frontier;76fcc933-9b7c-40a6-b2cc-7bef13d391c7;a6891885-180d-11ec-86a0-07dd4f407c8e;82.24446027099347;6.436981371632027;-2.52634733860687;0.06595810717599869;2.048895477048696;73.76851606415273;3.243455924674462;0.1380012397393587;-7.503049937957254;3.820259722704283;0.4733265244530515;1.3720319910051797;3.275874919350186;83.64592763450416;31.151898215431657;233.64552506414537;2098.1785816987494;11.067229061096226;-0.10815458947279318;0.993856953535529;-0.023472125703669515;;;;;;;;;;;;;;;;;0.6917256894853823;1;;;high;high;61.96329160611155;52.99404067327616;54.48213789109756
3;09/17/2021;7:19:18 PM;1;3;Miguel Cienfuegos;;Left;Equipe quebec;Nick Ward;1475983;Left;Washington wild things;;1;Top;0;1;1;Fastball;;StrikeCalled;;;;0;0;;89.69488951754276;-2.7504713887454475;3.2910153099180617;;;;6.411476086978206;-2.39875117845341;6.616359503830954;;;;2.2020716435293317;0.4215866994799942;81.51277699753405;-6.98846931625294;3.14585068869227;;;;;;;;;;;;;;;;;;;;;;;;Equipe Quebec;Washington Wild Things;;Independent;Frontier;76fcc933-9b7c-40a6-b2cc-7bef13d391c7;af2f9af0-180d-11ec-a0a6-a5a3d27c0098;89.82932366025021;6.407423049479416;-2.3987511784533977;-2.7007607898384705;3.2910153099180155;81.62332642711958;2.2058894556450213;0.42158669947999555;-6.930267253333526;3.1458506886922937;0.4179925743170086;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;high;high;;;53.88364049616904
4;09/17/2021;7:19:37 PM;1;4;Miguel Cienfuegos;;Left;Equipe quebec;Nick Ward;1475983;Left;Washington wild things;;1;Top;0;1;2;Fastball;;Foul;;;;0;0;;91.85833569629702;-2.859268959113571;2.137364332368821;2014.9910574078547;140.57319506951836;10:45;6.420860105114753;-2.3840494265596566;6.602293620576235;-20.512267805830113;12.701875275275242;-8.49873470856167;2.1378089616856952;-0.8921906437804139;82.75749168571323;-6.746819955943401;1.0476341474713604;0.40889143848036197;;;;;;;;;;;;5.285247665522885;7.743098008722252;2.242131747956476;50.00000000000001;6.21770860736955;-4.741780190572857;-133.594472972919;-7.2509204331518005;9.511644704432431;29.9085489547482;-18.239111843914465;Equipe Quebec;Washington Wild Things;;Independent;Frontier;76fcc933-9b7c-40a6-b2cc-7bef13d391c7;ba49c7dc-180d-11ec-b607-2350b03e0bfd;92.03412921994973;6.420169677080883;-2.387246694436909;-2.8515149975835605;2.176261204957395;82.90551337536677;2.1388372845770602;-0.8896126890679036;-6.730198017053399;1.0881698608562465;0.40876016772718415;-8.876078350066164;11.471930098154784;22.42643037528054;27.62899180618016;1862.5975804706416;768.7126996859985;92.4370147263454;-0.7140172784568524;0.38149682940771645;0.5870600439622249;;;;;;;;;;;;;;;;;0.9527659881173676;1;;;high;high;114.86609262556215;-12.655527321877502;53.89770637942377
5;09/17/2021;7:20:07 PM;1;5;Miguel Cienfuegos;;Left;Equipe quebec;Nick Ward;1475983;Left;Washington wild things;;1;Top;0;1;2;Fastball;;BallCalled;;;;0;0;;91.48940107217264;-1.6387114140871986;2.694483091605445;1977.3499920431561;142.85779543062867;10:45;6.417685059712342;-2.331464068382372;6.646719120817023;-20.8268277581013;11.607663622604793;-6.848163966467474;3.585153010424118;-0.024933919357499158;82.950559705742;-4.839531355411689;1.996782887369218;0.4123119884600507;;;;;;;;;;;;4.829726795060146;6.751179355278363;2.2709229407394727;49.999999999999964;6.032278217221205;-7.495529248450632;-132.35262582296792;-2.5050529794570724;8.535460460899985;29.21833427347214;-20.24285204696713;Equipe Quebec;Washington Wild Things;;Independent;Frontier;76fcc933-9b7c-40a6-b2cc-7bef13d391c7;cc76eb8f-180d-11ec-9c2d-b7b238766194;91.66475544729587;6.416783713256987;-2.334392582228428;-1.6281103857204353;2.730881488526974;83.10291252764317;3.586335887145879;-0.022454292413624007;-4.8206613313738655;2.0350925612701634;0.4121851761106563;-7.178279461363153;10.400444311314873;37.18425072488688;79.99339629155922;1575.3469768318635;1195.0710830824155;79.66960746307178;-0.6350778183538324;0.6043801491346368;0.4810413703278866;;;;;;;;;;;;;;;;;0.9588173291287375;1;;;high;high;18.005943337596953;89.84916755453222;53.853280879182975
6;09/17/2021;7:20:25 PM;1;6;Miguel Cienfuegos;;Left;Equipe quebec;Nick Ward;1475983;Left;Washington wild things;;1;Top;0;2;2;Fastball;;BallCalled;;;;0;0;;92.22572966389225;-0.9625172722683017;1.5780905328701231;1948.4727189238724;136.9582055556373;10:30;6.440373113521085;-2.2835902515777273;6.38827970555778;-20.920392776216126;11.769744046067402;-9.159086025776086;4.008193645009812;-0.9892855505945335;83.3786024696341;-4.60887845327594;0.843692788145052;0.4086469229901267;;;;;;;;;;;;5.46704241994763;6.666507568365318;2.174542685972895;50.0;6.361680448572324;-3.42169499618744;-134.2614150284811;-2.8847933331361073;9.924382104948663;30.559207905968254;-20.07226523316826;Equipe Quebec;Washington Wild Things;;Independent;Frontier;76fcc933-9b7c-40a6-b2cc-7bef13d391c7;d7508382-180d-11ec-b0d3-f7e263f1ac41;92.40531939052357;6.439490107465472;-2.286980848001672;-0.952385100069796;1.6194540956283652;83.53211570405402;4.009358696985231;-0.9864965162328385;-4.590289164082182;0.8869124930665677;0.40851308433411126;-9.55902212344148;10.49881331791563;21.419757040200874;81.04270011443153;1813.8915923038232;711.5779843137985;93.0929940505209;-0.6803757539452613;0.36519781745099206;0.6353891623032683;;;;;;;;;;;;;;;;;0.8354708711681074;1;;;high;high;17.061569897011644;-54.336077119213364;54.11172029444222
7;09/17/2021;7:20:43 PM;1;7;Miguel Cienfuegos;;Left;Equipe quebec;Nick Ward;1475983;Left;Washington wild things;;1;Top;0;3;2;Fastball;;StrikeSwinging;Strikeout;;;1;0;;91.54709882963321;-1.702562258111154;2.2363976256520446;2035.8354149489808;137.00532792127112;10:30;6.475910397929734;-2.233420546891845;6.4645543596570105;-20.579346587503224;12.348151464711897;-9.553795626009034;3.3047302840693487;-0.4984587301643655;83.12384264513291;-5.503116606345977;1.610664131829236;0.4112814109826342;;;;;;;;;;;;5.903994550081692;7.225871100467541;2.080102807310542;49.99999999999999;6.346683823519139;-4.918609921132653;-133.20184520949383;-4.570755440804327;10.55226574234379;29.998799006150975;-19.259181283657036;Equipe Quebec;Washington Wild Things;;Independent;Frontier;76fcc933-9b7c-40a6-b2cc-7bef13d391c7;e21591fd-180d-11ec-9ab2-5f2c2764585c;91.7255314549548;6.475113362906881;-2.236989460466926;-1.6936422017936108;2.279307944327615;83.27424703535411;3.3057730632059346;-0.49565435085406334;-5.486200448306452;1.6546238393186647;0.4111464886032942;-9.966909575986206;11.102321795870477;19.144292234821574;74.47052470432729;1923.2449106636493;667.6487477460437;94.46956745822436;-0.6909665870538843;0.3279482923047467;0.6442166507856713;;;;;;;;;;;;;;;;;0.9791201801816234;1;;;high;high;22.976527766105452;-53.747290988095116;54.035445640342985
8;09/17/2021;7:21:10 PM;2;1;Miguel Cienfuegos;;Left;Equipe quebec;Andrew Sohn;;Right;Wild things washington;;1;Top;1;0;0;Changeup;;InPlay;;FlyBall;Out;1;0;;84.6781954981302;-2.309835214506338;2.0114066089866944;1425.2452371280126;135.51544115872696;10:30;6.422247319430314;-2.349326035335996;6.280423753107976;-29.196013073377397;10.352183290059902;-7.620631642555306;1.6540402664929237;-0.4709931010204262;76.69066063389106;-8.530315273674825;1.6206655221148918;0.44590870418571865;85.05721542178364;50.53150463392467;12.394528462259167;;23.55388563204376;107.4486597014246;96.72188008432826;297.45559022957065;;12.383338928257338;5.200923206689873;4.730243646317727;6.167280736119919;2.2048422208138847;49.99999999999998;6.238102893404873;-4.10816242197522;-123.15964000518191;-5.781469605129616;7.24437402449515;25.121397506062397;-22.728851472093908;Equipe Quebec;Washington Wild Things;;Independent;Frontier;76fcc933-9b7c-40a6-b2cc-7bef13d391c7;f1d04363-180d-11ec-8e35-2dea8ce574d1;84.83885887292755;6.419809254227112;-2.3522951295624033;-2.2811754018746675;2.047295056250834;76.8202286992766;1.6565713781909017;-0.4686280738798095;-8.490897676820618;1.6575149819433226;0.4457649104685041;-7.9704228873634495;8.754370601537497;23.39650828239179;20.81770203023132;1308.0598997837217;565.9534296511379;91.77788255020384;-0.6547794990090057;0.3970919634796191;0.6431032422694013;11.605040430733505;52.8067953378627;65.66197756733979;0.4705954829647967;2.2955558140823284;1.7707990165347742;63.789741293337116;290.53519075070994;;;;;;;;;0.9970004461132539;1;;44.94653826702399;high;high;71.26406817279181;21.37699362817228;54.219576246892025
9;09/17/2021;7:21:44 PM;3;1;Miguel Cienfuegos;;Left;Equipe quebec;Trevor Casanova;1475986;Left;Washington wild things;;1;Top;2;0;0;Fastball;;BallCalled;;;;0;0;;90.81659552358234;-1.927246745445543;3.7749585952245788;;;;6.491280505578689;-2.356747505112639;6.49856375670475;;;;3.22481175241045;1.1468154192907098;82.25675618220282;-5.708721559393742;3.9537103438973658;;;;;;;;;;;;;;;;;;;;;;;;Equipe Quebec;Washington Wild Things;;Independent;Frontier;76fcc933-9b7c-40a6-b2cc-7bef13d391c7;060789a1-180e-11ec-9fc8-af917eb3177a;90.95732968997386;6.487185930470007;-2.3567475051126356;-1.8780491281295812;3.774958595224586;82.3726227049155;3.2285401999627035;1.146815419290711;-5.651185249985171;3.9537103438973795;0.41374507989839443;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;high;high;;;54.001436243295245
10;09/17/2021;7:21:56 PM;3;2;Miguel Cienfuegos;;Left;Equipe quebec;Trevor Casanova;1475986;Left;Washington wild things;;1;Top;2;1;0;Sinker;;StrikeCalled;;;;0;0;;89.5806294008007;-2.4521689379101246;2.9962155297030657;1972.5810861828988;139.933337595503;10:45;6.49114234673983;-2.23422552728909;6.318555789069422;-21.851330567923736;12.482096040952126;-8.39346246368875;2.66465260852787;0.29669344468848935;81.19090478360498;-6.141678627771543;2.4782785181312668;0.4248573682501578;;;;;;;;;;;;5.8326854842373;7.51135729836199;2.4704710633475258;50.00000000000001;6.161953535238702;-8.976833248735247;-129.20539933717822;-5.075749808754783;9.824828097423806;27.81308164969074;-19.521593965999035;Equipe Quebec;Washington Wild Things;;Independent;Frontier;76fcc933-9b7c-40a6-b2cc-7bef13d391c7;0cebe717-180e-11ec-90db-17a54773aa95;89.75591585044766;6.490163639101539;-2.237570016616223;-2.4409591326161326;3.0365722530484307;81.34106589717452;2.6659180997930627;0.299436820832569;-6.121611826489629;2.520392689113052;0.42472821176426756;-8.761803365395732;11.193242678028609;26.472363500904137;77.77572146592901;1765.754930045831;879.3097682758605;89.5149478221302;-0.6850543645582983;0.4457660952115255;0.5761884292134782;;;;;;;;;;;;;;;;;0.9956450454880895;1;;;high;high;20.001850680664155;-53.08991072470974;54.18144421093058
