PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,06/12/2022,5:03:38 PM,1,1,Joey Gonzalez,,Right,Tri-city valleycats,David Glaude,1506179,Left,Equipe quebec,,1,Top,0,0,0,Fastball,,StrikeCalled,,,,0,0,,87.83871480457113,-0.9753337718144407,2.2574763690216084,2183.87278513744,223.28359677227866,1:30,5.527481522282594,1.0656058266414297,4.016047608935489,-22.61870941569636,14.101894466200012,11.600194712028674,2.665584412197596,1.1967873149883455,80.18980132906852,-5.716312673695555,-0.1734114105827305,0.43891080377289826,,,,,,,,,,,,-5.478373459098689,7.829400880201264,-1.2760709468437506,50.0,5.4240367250161015,-5.431751896079736,-127.55693579142104,-2.9706503122353762,-8.931093760551088,28.815860833786715,-19.4102039168289,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,6e127b83-321d-4e1d-8ad8-b5db36ca9cc2,22168197-ea93-11ec-989a-cbf12483d0fb,88.02283994510113,5.526542297150789,1.069746456451747,-0.9652647976799497,2.2091506267914,80.34296283631068,2.6668276573490215,1.1936013744004523,-5.696742451914807,-0.2222698183275545,0.43875084727668734,12.05467581929653,12.612810768790268,1.055891492879516,81.36283525682563,2183.501952137919,40.2438401976692,99.9830194779639,-0.727845458044841,0.018427740146565584,-0.6854935503683358,,,,,,,,,,,,,,,,,0.9975534763725293,1,,,high,high,16.773448268856985,37.97938227168472,55.133952391064504,,,
2,06/12/2022,5:03:53 PM,1,2,Joey Gonzalez,,Right,Tri-city valleycats,David Glaude,1506179,Left,Equipe quebec,,1,Top,0,0,1,Fastball,,BallCalled,,,,0,0,,87.63481627273103,-2.5472487204101495,1.0840078008301586,2201.5990329180154,221.7620945475853,1:30,5.3826288015558035,0.9888626326205591,4.186727978028506,-22.5732184204471,14.49553773571261,11.365436478833667,1.1968127535928195,0.4877921119088293,79.77653429245814,-7.064661737234834,0.01752434229136922,0.4382031843547127,,,,,,,,,,,,-5.736855272119838,8.50800819927075,-1.0902118759470325,50.000000000000036,5.147019615518216,-2.7914660215489406,-127.28503575934702,-6.424271869031082,-9.330535035140427,28.230130163888422,-18.336456546420965,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,6e127b83-321d-4e1d-8ad8-b5db36ca9cc2,2b143b1e-ea93-11ec-ad98-47145835bae7,87.81188174976381,5.381713933491933,0.9926204413138034,-2.537162879970288,1.0392245872320303,79.92353108616743,1.1980585361210812,0.4848429840927004,-7.044937330930683,-0.028305991515985424,0.43805096606211497,11.778558251840991,12.94478259983465,5.9282038147983585,78.82431380990482,2189.825094719423,227.38591927076658,99.46520969429264,-0.7419277069725647,0.10328216712985544,-0.6624772234419781,,,,,,,,,,,,,,,,,0.9974032450954196,1,,,high,high,19.058117571085724,88.99179898452378,54.963272021971484,,,
3,06/12/2022,5:04:09 PM,1,3,Joey Gonzalez,,Right,Tri-city valleycats,David Glaude,1506179,Left,Equipe quebec,,1,Top,0,1,1,Fastball,,Foul,,,,0,0,,88.16080215714116,-0.8421500140421397,0.9281974651834789,2191.2499775388637,224.19692983275024,1:30,5.472977153404709,1.0652514853035047,4.113445668595876,-22.79964212641953,13.901447735564663,11.790133350079005,2.887092290038353,-0.5747725235274923,79.08071055501962,-5.525093264053041,-1.1962702913235057,0.43602461067539766,78.5482495873427,80.05534870443167,158.3501376147382,,,,,90.77919137952892,,157.57228119944466,6.163996143480771,-5.993101052534496,7.659321553431829,-1.15476506007841,49.99999999999998,5.383629850019584,-2.4805465348865194,-128.14129278257724,-2.665987140214134,-9.867862409374668,28.88436355654359,-19.562693532449106,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,6e127b83-321d-4e1d-8ad8-b5db36ca9cc2,343b0ec0-ea93-11ec-867e-477433aa91f8,88.33981990686162,5.4720481977415165,1.0690602464171266,-0.8315443627566858,0.8815068017713562,79.23070017879907,2.8884827811262315,-0.5779272930709913,-5.502932292370469,-1.245224034550174,0.4358725428795063,12.221213167693984,12.320413784437209,4.140534907494166,70.89740287098843,2185.530708051675,158.21500632751213,99.73899511485165,-0.7150766946738675,0.07220308406127801,-0.6953071518302802,5.004594063103309,-12.608093401696772,77.36806532590253,0.5253008032284923,2.2386321654414387,3.0932935773655434,34.63386037124325,-83.91279582582364,,,,,,,,,0.9971907445414503,1,,28.422647817968045,high,high,26.19233741611039,80.43536120407413,55.03655433140412,,,
4,06/12/2022,5:04:35 PM,1,4,Joey Gonzalez,,Right,Tri-city valleycats,David Glaude,1506179,Left,Equipe quebec,,1,Top,0,1,2,Changeup,,BallCalled,,,,0,0,,82.290579756461,0.5765891577549682,2.8366272986641317,1740.051673007337,256.5912503412808,2:30,5.3956170831338195,1.1129877562918056,4.149900309126846,-37.357649572135266,5.585693479138648,14.665644412319418,2.2434190651727826,2.1640339939252633,74.28795375796356,-7.855978193991841,1.6814048776558412,0.4677457959663563,,,,,,,,,,,,-6.899940523953118,2.822168746313,-1.3703910882932002,50.0,5.421793407478863,-6.383154284872701,-119.47313857278357,0.04194382508310538,-9.854125143884762,25.578607188760216,-28.14357948168731,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,6e127b83-321d-4e1d-8ad8-b5db36ca9cc2,441fcf4c-ea93-11ec-8cd5-c7389bd7579e,82.44160288505408,5.390937857161095,1.1176739441722863,0.631505006154997,2.780871299181322,74.39820290310577,2.247706881359928,2.160372710060003,-7.789619944087128,1.6241063164933622,0.46759645347018286,15.206794304542827,3.3749919536988955,6.91516133086596,52.79707511459406,1727.3936967206478,209.50141112987095,99.27255170159329,-0.23020952693238136,0.12039953432405198,-0.9656642925179126,,,,,,,,,,,,,,,,,0.9974456416478791,1,,,high,high,42.4826323968654,44.373699218193394,55.00009969087315,,,
5,06/12/2022,5:04:51 PM,1,5,Joey Gonzalez,,Right,Tri-city valleycats,David Glaude,1506179,Left,Equipe quebec,,1,Top,0,2,2,Changeup,,BallCalled,,,,0,0,,82.79084728840888,0.5601539643737672,2.481754875004112,1784.4696277581304,253.6063292971171,2:30,5.413192685177122,1.0302343564122123,4.076069963125363,-35.35815176352201,6.4498989127470026,14.575761493124938,2.5218248990270387,2.0813347924475285,75.26194344166856,-7.196498660059152,1.391973906072883,0.4653733204408468,,,,,,,,,,,,-6.980201031108422,3.2564341210571195,-1.2600486403327724,49.99999999999999,5.438829452492309,-5.6819406127575425,-120.22216138067942,0.033248679979489035,-10.09800642432887,25.81802643231042,-27.46308316421819,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,6e127b83-321d-4e1d-8ad8-b5db36ca9cc2,4dd14fca-ea93-11ec-8dd0-d13f3384b60a,82.94791520079134,5.408580172246729,1.0351059812235506,0.6123763943879045,2.4257536038852843,75.37847313726635,2.5258694359681244,2.0776800197020586,-7.134346046694965,1.3354030009539861,0.46522087458813277,15.094169793680441,4.219634452443455,9.154120215215052,76.78314181288414,1761.742575722968,283.892495984382,98.72639737423187,-0.2786409239964162,0.1590906853040937,-0.9471269129973539,,,,,,,,,,,,,,,,,0.9938828387279056,1,,,high,high,20.895172368404303,-17.2574861655621,55.07393003687463,,,
6,06/12/2022,5:05:12 PM,1,6,Joey Gonzalez,,Right,Tri-city valleycats,David Glaude,1506179,Left,Equipe quebec,,1,Top,0,3,2,Fastball,,Foul,,,,0,0,,89.20740069761112,-1.600821655953135,1.5781267382090407,2104.366848332923,221.3696073999789,1:30,5.354325321133184,0.8286411500239174,4.316298245177643,-22.74674615781922,14.06934032823882,10.858578945074452,1.9620991575140445,-0.3765527385504009,79.7920015428581,-6.290204544877031,-0.7749803933079643,0.42927237669403323,80.4108652880617,70.42638711088696,-145.20447130444398,,,,,172.41696107675213,,-144.83675942892043,5.999806370695447,-5.244645139214129,7.9143385122276,-0.9684670031253586,50.00000000000002,5.205647922484679,-3.9303345504958407,-129.64699348967974,-4.353942053597249,-8.847124135394475,29.35499366742597,-18.823454186574626,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,6e127b83-321d-4e1d-8ad8-b5db36ca9cc2,5a41b875-ea93-11ec-a3fb-43a137210009,89.38755062846457,5.353510223454248,0.8322099546682552,-1.5918316682145233,1.535154370937372,79.94093935829646,1.9633566516871874,-0.37939411880610335,-6.270029115832062,-0.819533110171393,0.4291233361375836,11.276060150920053,12.60999378641156,1.8729710570922757,94.70760278438254,2103.242580831617,68.7784743898666,99.9465745479598,-0.7500608199948589,0.03268369031965735,-0.6605607789565838,-15.372761444263196,-22.12218863197289,75.76406953222609,0.288781110631001,2.6660120889553927,2.408814619550265,-99.29629677369165,-140.95337496482026,,,,,,,,,0.9972283872798452,1,,28.040691740286157,high,high,4.763157494055958,78.287450582517,54.83370175482235,,,
7,06/12/2022,5:05:36 PM,1,7,Joey Gonzalez,,Right,Tri-city valleycats,David Glaude,1506179,Left,Equipe quebec,,1,Top,0,3,2,Fastball,,StrikeSwinging,Strikeout,,,1,0,,88.86983678485582,-2.2111046015582874,1.3601920674821335,2150.3384026317713,219.73644466839934,1:15,5.486654014116991,0.8780399830722767,4.199681544909894,-21.533265769605432,14.48144551473472,10.583858664159486,1.5518933455718917,-0.4020362143450259,80.30379409986264,-6.73796165596973,-1.2071084733962347,0.4319281321231077,,,,,,,,,,,,-5.238856141213359,8.401428961054926,-1.0024735379711749,49.99999999999994,5.2814456988790335,-3.4264094519780173,-129.1006402391095,-5.72049077668595,-8.766086298112485,29.021466321872623,-18.116085535280398,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,6e127b83-321d-4e1d-8ad8-b5db36ca9cc2,685e834f-ea93-11ec-9fa5-f75b4794a1c7,89.04847310736527,5.485961788172151,0.8814950975405168,-2.203517261437659,1.318174672943292,80.45414630943282,1.553020254214875,-0.40485267083330706,-6.7199761445427555,-1.2507519637086666,0.43177822925034487,10.971144148638393,12.998133952926546,2.802088554703248,71.92809764970589,2147.7673633732375,105.12182771303405,99.88043559770001,-0.7680736503439234,0.04888617883788748,-0.6384927635972006,,,,,,,,,,,,,,,,,0.9971069637965381,1,,,high,high,25.264712115264786,81.5867379394716,54.9503184550901,,,
8,06/12/2022,5:06:08 PM,2,1,Joey Gonzalez,,Right,Tri-city valleycats,Kyle Crowl,,Right,Equipe quebec,,1,Top,1,0,0,Fastball,,StrikeCalled,,,,0,0,,89.35122859939203,-0.936063909913708,1.1373597860078004,2113.2500281772463,226.65268632305802,1:30,5.411600930599447,0.9419634624389793,4.17297686320297,-22.746516892604706,12.896716966707,11.83169722205518,2.5040997452665414,-0.2114674726587782,80.82890141355558,-5.785177706570788,0.15877863236227094,0.42969477468739503,,,,,,,,,,,,-5.965047182035752,7.166287719783683,-1.048547962248206,50.00000000000001,5.315319996938121,-2.985971064657693,-129.87609358180643,-2.9058744235200074,-10.092612715116507,29.59188558154142,-20.048987645385395,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,6e127b83-321d-4e1d-8ad8-b5db36ca9cc2,7b7d06e3-ea93-11ec-9364-b9c408623337,89.53090282623492,5.410470603786211,0.945887508432441,-0.9231724524174978,1.0901529081395074,80.97800884599758,2.50554196576201,-0.21460244290582925,-5.762334744082284,0.10993153474229454,0.42954608792411836,12.267149765783813,11.349061114025158,3.368818377984945,72.89944330153122,2109.5982389228143,124.18112547764083,99.8271955894598,-0.6852329363308565,0.05876310129982655,-0.7259495305412207,,,,,,,,,,,,,,,,,0.9968779815664265,1,,,high,high,24.390501028621912,89.5133512993097,54.97702313679702,,,
9,06/12/2022,5:06:29 PM,2,2,Joey Gonzalez,,Right,Tri-city valleycats,Kyle Crowl,,Right,Equipe quebec,,1,Top,1,0,1,Fastball,,Foul,,,,0,0,,89.90172351591531,-1.4775035436276525,0.6095275658119569,2176.5685438486867,224.57668190792018,1:30,5.412401154158152,0.9369376249013659,4.231963490819658,-21.58796976751478,13.492352495191259,11.594729754017205,2.1645955889338633,-0.33289020905393596,81.82032519804915,-6.080532628687399,-0.6580652084052533,0.4264841434085339,,,,,,,,,,,,-5.997983749157952,7.643697726614241,-0.9967000743771789,49.99999999999998,5.271613646641459,-1.7874972848889046,-130.68748882282054,-4.114470062608725,-10.281643122002393,29.81158806386287,-19.071351171963492,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,6e127b83-321d-4e1d-8ad8-b5db36ca9cc2,87ddc45c-ea93-11ec-8d91-adaa42bcad02,90.08107185350646,5.4115796183224765,0.9407713226827823,-1.4681446983053597,0.5626774951655419,81.97181349512256,2.165746606350487,-0.33599510907940766,-6.0620789373402655,-0.7066110667907952,0.4263384593197169,12.04878388360467,12.101914952410018,-0.060992388122083005,68.43948040073218,2176.567310606618,-2.316995957554608,99.99994334007664,-0.7123113439026827,-0.0010645177998656603,-0.7018628186115915,,,,,,,,,,,,,,,,,0.9970400410443292,1,,,high,high,28.404467639343693,-65.80631724508169,54.91803650918033,,,
10,06/12/2022,5:06:57 PM,2,3,Joey Gonzalez,,Right,Tri-city valleycats,Kyle Crowl,,Right,Equipe quebec,,1,Top,1,0,2,Fastball,,InPlay,,FlyBall,HomeRun,0,1,,89.53126356101961,-1.037942732529239,0.8865690939776467,2171.107486682896,225.99425256550165,1:30,5.491183370537724,0.7648331658503793,4.185692742661945,-23.139874498217313,13.421328289431482,12.057851857731215,2.6836078020642473,-0.5040276217287172,80.16063653100623,-5.866523275071505,-0.5372793275299362,0.42870837836724685,91.10132094371673,31.714908329329738,-13.72858881074917,2184.533667765669,,,,353.95816002770204,,-20.24207162756985,4.906265835802112,-6.081409828967668,7.374037097286398,-0.8494381526148997,49.999999999999986,5.386674612538522,-2.4238653657853595,-130.14651752245635,-3.12479553640305,-10.332175121225601,29.720420762300847,-19.645730531319455,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,6e127b83-321d-4e1d-8ad8-b5db36ca9cc2,988e6033-ea93-11ec-aaaa-fbb838dca5b8,89.70989867387404,5.490247890861557,0.7687184513682042,-1.0271319395025622,0.8386840209642684,80.31038651215727,2.6849944168273336,-0.5072961990534445,-5.844562202187208,-0.587888558580213,0.4285615519595574,12.529739376239066,11.93049507380255,0.7545630231839633,21.761199411174413,2170.919212473115,28.59181081412707,99.99132819489888,-0.6946702794530507,0.013169228603145195,-0.7192077406859706,-18.391944207628846,75.28351593128309,47.89132797258594,0.5182919666326743,1.9508710894455383,2.6749820597629608,-122.46500346872756,332.09742843870515,-46.31231956460094,16.217248282517712,1.0091688410435582,0.9038093847732019,0.012373895101962984,0.42775633568176596,,,0.992470366413464,1,0.9970635085264038,50.26805911684868,high,high,70.41492052994347,-31.07258100853488,54.96430725733805,,,
