PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,06/14/2022,8:29:21 PM,4,2,Robby Rowland,,Right,New york boulders,Kyle Crowl,,Right,Equipe quebec,Windup,5,Top,2,1,0,Slider,,Foul,,,,0,0,,78.28427478244724,0.7853790582943935,2.788971292718118,2097.712104225849,131.2396715534201,10:15,6.2809016702623355,0.6550099906477277,6.152964306772935,-38.59816984609789,6.636171669780438,-7.003365384531631,2.5090865227425683,-0.506729558791314,72.17992614666728,-8.355836895024744,-2.914794294426605,0.48406720282933263,81.45216044803689,46.223081197735375,68.25106692926109,,101.88258897217092,41.47213599899479,83.83533179666514,290.8657245786917,,68.09970192893165,4.761927421161526,4.596829610274362,3.380926144115996,-0.8669348259915901,50.000000000000014,6.3210529341040465,-5.352935490678477,-113.84416506583135,0.49872605269929093,6.019860894022748,21.318662857638916,-27.746496945142326,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,7cbfc7dc-0606-40c9-b9bc-28023884142e,33d63a1c-ec42-11ec-afbc-f10ce37c2bbe,78.42004200832443,6.2761681446368245,0.6563179533205548,0.8432209336498939,2.7723948903941387,72.28678646227036,2.5131860633961747,-0.5072248960205963,-8.292402749372714,-2.9222443316318945,0.48392619482028826,-6.847323175035206,4.613891422874021,-67.52322281609783,54.74640723425227,801.9740685976402,-1938.3584976759553,38.230892932450566,-0.2520219739321015,-0.924034567837562,0.28748050733330943,52.3414724356903,20.88100027649526,58.81163602867738,0.7620774451049153,1.5552343261103403,2.7992450195242498,269.87519988049263,108.49076561694774,,,,,,,,,0.9861031940653677,1,,39.321239811524414,high,high,40.728233489172986,4.79152414051582,54.42703569322706,,,
2,06/14/2022,8:29:57 PM,4,3,Robby Rowland,,Right,New york boulders,Kyle Crowl,,Right,Equipe quebec,Windup,5,Top,2,1,1,Slider,,InPlay,,,HomeRun,0,2,,78.28180909203596,0.5295164569857408,2.986113761939654,2030.4867256356893,124.98778696826027,10:15,6.244675970850219,0.5747483586831521,6.17674816708887,-38.560916636602414,6.669496743919758,-8.484665319273558,2.5976172910194286,-0.3877197889842652,72.41910302585661,-7.894133164353527,-2.6219130956957803,0.48404618425458096,94.80297203828933,25.745056586348866,27.71252009390268,,,,,316.549582257556,,27.710107213444697,3.386968944519211,5.467376339463475,3.4744996775290726,-0.7999596559645573,49.99999999999998,6.265051035499878,-5.7051033296234985,-113.82654542223888,-0.003831468749552752,7.153348777657202,21.430093247893005,-27.62811997039539,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,7cbfc7dc-0606-40c9-b9bc-28023884142e,491e911c-ec42-11ec-8962-83b4b8c710ed,78.41670966542664,6.239863033822305,0.5751712414901801,0.5885641731886849,2.9805363514312324,72.5278308823651,2.6018155329716643,-0.38761520518251297,-7.829438176054555,-2.6200484630485725,0.48390607480587605,-8.429940113396123,4.615290426826027,-62.42224899317753,54.771708331879154,940.0176115847944,-1799.7897746384606,46.29518625838349,-0.2654574381823286,-0.8863834232036145,0.3792845575336769,39.71050891697993,75.59723159644385,41.17933418355322,0.47886293458685353,1.1141873765391297,2.5886321660541998,147.19499406535272,280.24502091836354,,,,,,,,,0.9835658095471496,1,,54.7664415901331,high,high,40.70546250130877,5.068496919849298,54.40325183291113,,,
3,06/14/2022,8:31:03 PM,5,1,Robby Rowland,,Right,New york boulders,Tj White,,Right,Equipe quebec,Windup,5,Top,2,0,0,Fastball,,InPlay,,,Single,0,0,,87.58457437748424,-2.6072969021776498,2.496001141754137,2056.7516722713626,200.33687162774646,12:45,6.259372712733178,0.4681654035689218,6.2920560666057845,-20.80475516647598,15.299270595555075,4.582700753946794,1.3779351795716785,-0.33075492262726525,80.11368171812478,-7.47801774966469,-1.4660330397935462,0.4324633793357614,110.63705960921075,9.134759242446306,13.653258787020095,,,,,208.88033812067638,,13.614791227834825,1.5560168147673827,-1.7687143069144016,9.126856339570349,-0.6573820377607489,50.000000000000036,6.053480401780859,-5.685329187936062,-127.27953045325359,-6.423821854948083,-2.885069995547703,27.501011554119142,-17.286614528777335,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,7cbfc7dc-0606-40c9-b9bc-28023884142e,70c40d59-ec42-11ec-b784-4da36c541a0c,87.7618124374121,6.258950305504437,0.4703448313491334,-2.6029653312120566,2.469198039464765,80.26554975372525,1.3786706693088588,-0.33241266679298614,-7.466046093070539,-1.491764785453353,0.43231174328819744,4.827381812426329,13.944941620198032,-24.527594060782853,92.10804200161402,1871.1533723528614,-853.8222874366542,90.97614445046072,-0.8530518983351127,-0.4151314419468735,-0.3161777105584297,25.78417516938642,106.1471930733407,17.564414947768096,0.2816314774394943,1.5517755174998502,1.3859296627179185,49.16897412374503,203.01085595855847,,,,,,,,,0.9979621662779873,1,,66.27457180041655,high,high,7.102762198547447,64.58146287579606,54.28794393339421,,,
4,06/14/2022,8:31:49 PM,6,1,Robby Rowland,,Right,New york boulders,Josh Mcadams,,Right,Equipe quebec,Windup,5,Top,2,0,0,Changeup,,BallCalled,,,,0,0,,78.32149515985677,2.2918145653463706,3.923786060591914,1894.0140756516782,134.81397516841216,10:30,6.321810553410701,0.5689900703793116,6.059837353868517,-38.04510342650515,7.488272790674266,-6.801014969182081,4.404986254997824,0.7175672836093363,72.21228602191557,-6.061927550254108,-1.4992969250482644,0.485664600308266,,,,,,,,,,,,4.800160715249852,3.3995597545962886,-0.8752574137325697,49.99999999999992,6.482038098165854,-7.606071645306462,-113.66730636311617,3.4946870008636983,6.265569725429508,21.28506347042286,-27.7366609355497,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,7cbfc7dc-0606-40c9-b9bc-28023884142e,8c3b4e0c-ec42-11ec-999b-b77b8a742819,78.4669940135585,6.317466451981111,0.569865618917493,2.3450492767286395,3.912645192038559,72.32998067105717,4.4088242578127295,0.7173117181875346,-6.0020306294046195,-1.5030647298256297,0.485514852692552,-6.695004882772231,5.482999943802117,-61.5163433819027,48.1658060411982,903.2705660973938,-1664.7497118752642,47.69080534877246,-0.33612825955569114,-0.878953189037135,0.33831802288602997,,,,,,,,,,,,,,,,,0.9845397708753783,1,,,high,high,46.65077456292168,7.504166780350419,54.52016264613148,,,
5,06/14/2022,8:34:38 PM,7,3,Robby Rowland,,Right,New york boulders,Garrett Takamatsu,,Right,Equipe quebec,,5,Top,2,1,1,Fastball,,Foul,,,,0,0,,86.6256600710262,-1.3938325702908139,1.5286949436777608,1923.6331970953374,202.1354120734354,12:45,6.278672360206783,0.4968823173325347,6.366373805099537,-22.489256560954885,14.207913447518365,4.711748906439519,2.2563317804392153,-0.6789541597875763,79.55324228725414,-6.613263224627654,-1.7577957901284704,0.4340558329852593,,,,,,,,,,,,-3.2620850607655028,8.7415357845876,-1.1697267252300447,50.000000000000064,6.192711360679121,5.668040447643163,-126.54032530892319,-6.201546400719986,-5.270521792478788,26.67456570488257,-18.050428038991523,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,7cbfc7dc-0606-40c9-b9bc-28023884142e,f0b6914a-ec42-11ec-851a-1fda9cc22384,86.80213554314852,6.2778675307161365,0.4991979178270171,-1.3847259460887267,1.5001440440610763,79.70353949093067,2.257371791315819,-0.6806953794867977,-6.596489428953436,-1.7849443414532122,0.4339178349683389,4.972094732694272,12.789772637890948,-28.569701337586572,89.86690353457504,1689.4039018637181,-919.9343092497821,87.82359882407401,-0.8135064177796236,-0.478227507530475,-0.33091654427144285,,,,,,,,,,,,,,,,,0.9897992811225274,1,,,high,high,9.119786818882499,-18.421787688902846,54.21362619490046,,,
6,06/14/2022,8:34:10 PM,7,2,Robby Rowland,,Right,New york boulders,Garrett Takamatsu,,Right,Equipe quebec,,5,Top,2,1,0,Changeup,,Foul,,,,0,0,,80.82057521727796,-0.21418596708854526,2.673024682437513,1994.9804958990476,152.358604127703,11:00,6.2518268190755055,0.5195958755545609,6.229973502469354,-33.55148394806929,8.734007991827049,-4.931655411381072,2.2034756150825263,-0.8943483879946651,74.39122424217089,-8.00116018804635,-3.193312348653846,0.4702499769410152,,,,,,,,,,,,3.348256901041806,4.883640065205526,-0.7024963236077194,50.00000000000006,6.219910227020939,-4.617343811504368,-117.02029298820482,-1.2989930666234923,4.63350215852743,22.495513712853114,-25.415799710800737,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,7cbfc7dc-0606-40c9-b9bc-28023884142e,dffe3c7d-ec42-11ec-931c-9383f8a1955a,80.96826965081213,6.24828134081358,0.5209335504307232,-0.17129395837423053,2.6562975238750184,74.51274556130036,2.2066094431464784,-0.8949633953125619,-7.952362195244314,-3.202741041511093,0.470102738778541,-4.775606781742704,6.950566691603206,-64.11157302915765,58.737995577466364,871.0485258626921,-1794.7762101749736,43.662007104994274,-0.38678801947007957,-0.8996459934642865,0.20256385274295705,,,,,,,,,,,,,,,,,0.9968132926988801,1,,,high,high,37.13580398028032,4.535793178309544,54.35002649753064,,,
7,06/14/2022,8:33:51 PM,7,1,Robby Rowland,,Right,New york boulders,Garrett Takamatsu,,Right,Equipe quebec,,5,Top,2,0,0,Slider,,BallCalled,,,,,,,77.43870660708298,1.688939207833113,3.2157913096546564,1973.8976503043973,117.87628008634307,10:00,6.317447681915153,0.5209758850174029,6.177864413349305,-39.30622792246824,6.5948901709002,-8.228968071263035,3.466018671402211,-0.47071046954501183,71.21808110861846,-7.458679149013097,-3.0382448908141657,0.4895037005354091,,,,,,,,,,,,5.217832983176505,2.3056127033039755,-0.7641297708714078,50.0,6.425723468355918,-6.108305784514573,-112.53563571597056,2.2084141090425127,6.675939897029741,20.85963847663244,-29.224140709515567,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,7cbfc7dc-0606-40c9-b9bc-28023884142e,d4943ff8-ec42-11ec-8513-7dd16746d830,77.569926271237,6.312071389998558,0.5219132756316178,1.7551817120467461,3.2037634832802833,71.3207205399023,3.4705824401629894,-0.47097976299295397,-7.3875304696715665,-3.042196795957741,0.4893666191680542,-8.152860149471563,4.384910871795216,-65.83410599747913,64.70192537051037,808.0742229652489,-1800.9130973082322,40.93800014608836,-0.19141131150450205,-0.9123639703560674,0.36187524842718866,,,,,,,,,,,,,,,,,0.9959889306190004,1,,,high,high,31.76826716654066,54.32622057247797,54.402135586650694,,,
8,06/14/2022,8:32:08 PM,6,2,Robby Rowland,,Right,New york boulders,Josh Mcadams,,Right,Equipe quebec,Windup,5,Top,2,1,0,Curveball,,InPlay,,LineDrive,Double,0,0,,79.34819106290128,0.034227455946594765,4.105364628276997,1983.9672894463185,147.2631523283969,11:00,6.30741281589629,0.6761128916805695,6.077641944188726,-35.95361201591252,8.296994572357484,-5.781613406084152,2.256236182116054,0.5835677182656361,73.04157912145929,-8.250902876420392,-1.5827012052546625,0.4787746380584925,98.59322783007038,-5.8503043257801775,-42.659469300034935,,,,,22.628859638899968,,-39.54528555946065,0.14407472040331806,4.292704885507156,4.483869158224643,-0.9960843579283992,50.00000000000001,6.290301224594172,-8.107204409711905,-115.23303294863251,-0.9486415711597094,5.762988090990955,21.72415075949229,-26.1544220435496,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,7cbfc7dc-0606-40c9-b9bc-28023884142e,97808747-ec42-11ec-8980-d774a30d84e5,79.4936035157016,6.30330441790186,0.6774352106660085,0.0830859547794444,4.089106733013704,73.1588719915177,2.2598417112773577,0.5830024940144966,-8.195730069878467,-1.5912008410479153,0.47862555525093725,-5.628500308467796,6.404436721376723,-63.59353868595139,58.70496877177923,882.3420294841382,-1776.9633503814266,44.47361779489723,-0.37409569426706585,-0.8956616169197719,0.24050505089810892,-66.46270131667035,72.12724733723115,-10.049582040916256,-0.6110561680521199,2.4752425226729544,2.413615509965155,-14.407521118476364,17.44960239597721,,,,,,,,,0.9972402577867093,1,,56.68114195272114,high,high,37.16552810539869,6.622684695061214,54.50235805581127,,,
9,06/14/2022,8:26:25 PM,2,1,Robby Rowland,,Right,New york boulders,Reece Yeargain,,Right,Equipe quebec,Windup,5,Top,1,0,0,Fastball,,InPlay,,FlyBall,Out,1,0,,86.80467691119844,-1.7030867010185238,2.625723051043297,1892.111570064169,204.24004734072145,12:45,6.36181740697033,0.338008988586741,6.227805802157877,-22.844671088691978,13.973065073695974,5.1907419773109345,2.0849794457940605,-0.032950900838853166,79.53812531811685,-6.869688722803066,-0.795178969817707,0.43671696490337586,88.07852493856939,31.982571029059486,18.136920990737334,,,,,310.0605539833727,,18.07216521704895,3.801948799728708,-2.0550005734493157,8.119066127968157,-0.5402768716654829,50.00000000000003,6.22049104612461,-5.9430514914315955,-126.19348423159073,-4.4420563326296865,-3.294569791129125,27.071371921254226,-19.157590932421268,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,7cbfc7dc-0606-40c9-b9bc-28023884142e,cabe6521-ec41-11ec-a370-0559dcbe5d56,86.97970867986766,6.360922705269564,0.3404103879338089,-1.6928331453017444,2.595919468851796,79.68914312555437,2.086133429838924,-0.03483404750585922,-6.851399329916899,-0.824268907899377,0.4365640118050047,5.4631719425841885,12.531220977052355,-26.90151571301049,90.49764155067798,1687.357773443944,-856.1015932522204,89.17855586003944,-0.8131598351635986,-0.4524583046776605,-0.36613189563998166,23.256086456955817,70.99712747620609,46.651783333417484,0.026950240160261357,1.1524542552030481,2.014783252745382,96.18531825243146,294.76419675590597,,,,,,,,,0.9969105090948167,1,,47.91992120126003,high,high,8.552122604389902,17.210146642331996,54.352194197842124,,,
10,06/14/2022,8:27:08 PM,3,1,Robby Rowland,,Right,New york boulders,David Glaude,1506179,Left,Equipe quebec,Windup,5,Top,2,0,0,Fastball,,,,,,0,0,,86.23810277327397,-2.6342432367486612,1.3098246769287127,1852.246378804432,202.76588236324886,12:45,6.299535992536915,0.3577354716723328,6.310959738346112,-23.140224350370072,13.980184780782505,4.590101754828673,1.306360992718904,-1.3552922045372713,79.3432239628373,-7.492300004629571,-2.4012606490960726,0.43681508536785,,,,,,,,,,,,-3.418277501443885,8.835923459111768,-1.0366649665909644,49.999999999999936,5.955989086580372,7.036551722837076,-125.82907829534923,-7.9008537432113375,-5.465284768337216,26.18772792902279,-18.046806296103576,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,7cbfc7dc-0606-40c9-b9bc-28023884142e,e44e2414-ec41-11ec-97ac-d39dc3b607d6,86.41147281971308,6.298497291951639,0.36004917932015296,-2.6225064425316797,1.2818056537139242,79.49099444718131,1.3075438741719727,-1.3569998945633965,-7.473310652824901,-2.427931484416267,0.4366788046990415,4.845772615535743,12.562338871557104,-28.21501315878359,92.57906956062631,1632.1617189121398,-875.708154074119,88.11795976978235,-0.8125301909794115,-0.4727816796377605,-0.3409870556866625,,,,,,,,,,,,,,,,,0.9917614250302325,1,,,high,high,6.678837395436369,22.91668921774601,54.269040261653885,,,
