PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,06/16/2022,7:20:48 PM,1,1,Josh Loeschorn,,Right,New york boulders,Marc-antoine Lebreux,,Left,Equipe quebec,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,0,0,,91.75414266592925,-0.002993652495839927,1.2615649517817056,2468.106593217321,244.98204249409466,2:15,4.91353158111548,1.3908992723914548,5.597642109369946,-25.00939834084403,8.881470689209138,15.73309049994287,2.2247152210953742,0.45074650832358004,82.85977932064996,-5.291497545266104,-0.021791668225879933,0.4189988924801135,,,,,,,,,,,,-8.002323224341431,4.741805500783939,-1.5109537225288454,50.0,4.896846029796328,-3.49223262262194,-133.35089480775687,-0.8901161460283944,-14.232012548648704,31.97173789967825,-23.740819197963237,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,17255767-5cd4-49c5-97de-f865f84bfccc,f50cb042-edca-11ec-9509-65d25071314e,91.93216209367137,4.911605548601927,1.3968541309428968,0.019027329762498078,1.1910493539658173,83.00392918067254,2.2266414146934976,0.44612361400187084,-5.26124425008624,-0.09350244661419257,0.4188577276526188,16.383907885698708,7.237840115442573,-13.71513961005486,89.5852211487957,2397.732246727578,-585.1753826721806,97.14865043984969,-0.4108438710997177,-0.2370948581719764,-0.8803370614760059,,,,,,,,,,,,,,,,,0.9968685930854612,1,,,high,high,9.3733009660839,-48.789483407298,54.98235789063005,,,
2,06/16/2022,7:20:59 PM,1,2,Josh Loeschorn,,Right,New york boulders,Marc-antoine Lebreux,,Left,Equipe quebec,Windup,1,Top,0,0,1,Changeup,,BallCalled,,,,0,0,,81.78027767235706,-0.8216482685707571,1.9415693624794967,2082.864260354106,261.4647388497605,2:45,4.738069750013799,1.186929162685179,6.810793103506684,-36.681162072738296,4.035421953947875,15.562106833039831,0.9300634253764675,4.258509743130935,74.68460248273611,-7.798598486984712,4.922844365792418,0.45925848623650106,,,,,,,,,,,,-8.066029101004053,2.5089982798946076,-1.3208254293475665,49.99999999999997,4.66955492372591,-4.423992701004213,-119.05673022929689,-2.6229718643916695,-11.43058155982329,25.561267034534126,-28.618482266236462,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,17255767-5cd4-49c5-97de-f865f84bfccc,fb797c30-edca-11ec-9d8f-bbe0abb3bb2b,81.91670498977764,4.733838267822211,1.1924955428934527,-0.7689410390507487,1.8712019105329702,74.79793917813696,0.9350627803200309,4.252796499316602,-7.73122267011102,4.844705694353015,0.4591246560608598,16.199163533644125,1.8594168048944575,-16.194046214715375,17.84260644801688,2000.2217690688315,-580.8927625677671,96.0322670632783,-0.14252921466747087,-0.2788913198160162,-0.9496868192712555,,,,,,,,,,,,,,,,,0.9959049556057576,1,,,high,medium,73.94165419678481,-43.765286616332325,53.769206896493316,,,
3,06/16/2022,7:21:16 PM,1,3,Josh Loeschorn,,Right,New york boulders,Marc-antoine Lebreux,,Left,Equipe quebec,Windup,1,Top,0,1,1,Fastball,,InPlay,,Popup,Out,1,0,,89.41338708239554,0.21334752459931605,0.9644803158647144,2457.8276301103774,248.81322454442545,2:15,4.845307408484954,1.4492531731640554,6.597131034941758,-26.172248023590903,8.026396730800322,15.966369910661047,2.1497655525897703,0.5374206965603081,81.35977911908718,-5.758962449769955,-0.32661632102498017,0.42089713579634075,,,,,,,,,,,,-9.838967576018591,4.669383857476766,-2.078025178909421,50.0,4.9782162979387605,7.215584231929004,-130.16455507560462,-2.516117062654643,-16.748817095877314,29.30574971191521,-24.22538469051436,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,17255767-5cd4-49c5-97de-f865f84bfccc,05b92ba8-edcb-11ec-8e82-ed9de795029c,89.57581260045667,4.843037271635241,1.4548234637168616,0.2411932048238345,0.8945013800880449,81.49151913376821,2.1520262560887278,0.5328737501631731,-5.723011603465801,-0.398329690314913,0.4207819639616767,16.637092017876345,6.469124473457326,-9.656231243855945,65.89695748330604,2423.0048621958026,-412.2670216128043,98.58318917535276,-0.3562888820148356,-0.16773634430755016,-0.9191967968563411,,,,,,,,,,,,,,,,,0.9953743659133053,1,,,high,high,30.692738265024488,7.499794199926606,53.98286896505824,,,
4,06/16/2022,7:21:51 PM,2,1,Josh Loeschorn,,Right,New york boulders,Garrett Takamatsu,,Right,Equipe quebec,Windup,1,Top,1,0,0,Slider,,StrikeCalled,,,,0,0,,78.54240396560522,1.4788818327393871,3.6626401143048635,2564.237951683778,97.15822717533516,9:15,4.973932492518484,1.210530426742231,4.800519836895482,-42.5684684595967,4.242642082159648,-11.65534310828428,1.6904859873608977,0.33870632974870696,72.28165620931446,-8.07324306057112,-2.8576063529149356,0.49623075699644287,,,,,,,,,,,,6.898303057490804,0.8390325931424026,-1.5707470047354002,50.00000000000001,5.084485921552046,-6.900844995836618,-113.82821570998766,1.4026500289880277,9.015855030371286,21.645107699630106,-31.0774616045088,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,17255767-5cd4-49c5-97de-f865f84bfccc,1aaaae11-edcb-11ec-9b43-f99fb11d7683,78.6731772123224,4.965613612797105,1.2114032235692167,1.5711059430144718,3.6522422050722763,72.3763230183409,1.696479962413374,0.3387493218480054,-7.983493756499814,-2.856517620756416,0.4960949606970828,-11.612430315474791,1.6834869525006575,-66.53087668316545,61.100696351514294,1021.2200675606579,-2352.1109341327465,39.825479803466955,-0.04962648097990053,-0.9172748311396995,0.3951507263604446,,,,,,,,,,,,,,,,,0.9938946969711555,1,,,high,high,35.009373283637096,-69.49141101902995,55.779480163104516,,,
5,06/16/2022,7:22:04 PM,2,2,Josh Loeschorn,,Right,New york boulders,Garrett Takamatsu,,Right,Equipe quebec,Windup,1,Top,1,0,1,Sinker,,InPlay,,GroundBall,Out,1,0,,90.1977222794554,0.20170736956614602,1.5618789228997314,2402.234287040069,248.66991575657454,2:15,4.8372346705579,1.3913035348450857,6.126211225681343,-26.473085629664862,8.033501807526914,15.854218427439784,2.188004827152818,1.0151288894048425,81.64966734587775,-5.6126830349389305,0.28795396811644774,0.4219892854996481,,,,,,,,,,,,-8.163455287498524,4.159574759012204,-1.5212570992688133,50.00000000000003,4.8386800359166635,-4.080648288707942,-131.18930796320947,-0.3802310556962466,-14.044536694502908,31.07410696275105,-25.017851838958006,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,17255767-5cd4-49c5-97de-f865f84bfccc,22662b0f-edcb-11ec-bf10-3d594862009f,90.36762554621353,4.834799290706114,1.3972374454543917,0.2300199743020797,1.4911009042651713,81.78461252686662,2.190307328804351,1.0105767920510829,-5.576337261262119,0.21656456774092023,0.4218514711774961,16.527321772337594,6.436673304587205,-10.745773513012868,79.05642151886649,2360.10907626869,-447.9003437652835,98.24641538926315,-0.35736188727858503,-0.18645156560360615,-0.9151657200773267,,,,,,,,,,,,,,,,,0.9963213036020462,1,,,high,high,18.84922063302012,-60.86938601986141,54.45378877431865,,,
6,06/16/2022,7:22:43 PM,3,1,Josh Loeschorn,,Right,New york boulders,David Glaude,1506179,Left,Equipe quebec,Windup,1,Top,2,0,0,Changeup,,InPlay,,GroundBall,Out,1,0,,82.21891128717068,0.4784816221485695,0.4654155134720416,2076.78328598439,264.1268567740932,2:45,4.7419750560009275,1.4265253592241836,7.0807362408913646,-36.477763444366616,3.258081414127986,15.032848169415063,1.101043358169549,0.057046908624101035,76.11803183983393,-7.928982483356577,-0.7871127748246396,0.4482976354504704,,,,,,,,,,,,-9.386098579522397,2.4288071260085156,-1.9121353562581944,50.000000000000036,5.045554193203375,7.3257086007870065,-121.07310453686934,-3.406387328077221,-13.842669213194018,25.057214356108915,-28.592031632200165,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,17255767-5cd4-49c5-97de-f865f84bfccc,394d3eca-edcb-11ec-b9a0-cbdfddf18e9f,82.35700513932527,4.737731407927859,1.4321157494190506,0.5313623658867251,0.3947519923736875,76.22392560033765,1.10480134020385,0.05258393380095434,-7.870110157983161,-0.8573862623211068,0.44818415908281767,15.66789038913595,1.1940749914244604,-21.20748155280413,9.830188025553277,1936.1364025467358,-751.2686920652992,93.22765719529623,-0.09539638363295941,-0.3617463108141299,-0.9273829503512129,,,,,,,,,,,,,,,,,0.996321690605051,1,,,high,high,81.15283077700208,-42.58435145668926,53.499263759108636,,,
7,06/16/2022,7:25:36 PM,1,1,Michael Austin,,Right,Equipe quebec,David Vinsky,,Right,New york boulders,Windup,1,Bottom,0,0,0,Fastball,,StrikeSwinging,,,,0,0,,88.80278983123274,-1.3414482918353257,1.6276372526667944,2387.2208290574918,209.87828639862792,1:00,6.248806283258493,0.49544351170819323,6.149880396534232,-18.89044860758003,15.740642827542015,7.417892760421072,2.9117480501789386,-0.36495865535031274,81.5580931738184,-5.374678365910938,-1.2350121262858482,0.42759911319657895,,,,,,,,,,,,-3.617766235133649,8.746930208455023,-0.6253450765151856,49.999999999999936,6.134407518737558,-3.905597769560644,-129.16882906413872,-3.6474431123272733,-6.063902222754598,28.88943998779493,-17.512922778460343,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,17255767-5cd4-49c5-97de-f865f84bfccc,a07b0d17-edcb-11ec-9715-c3223c8b0bff,88.98719537385124,6.248726331118555,0.49870015649179666,-1.3412841969568166,1.5876876594216074,81.71835977336411,2.912137973936457,-0.3675049819145675,-5.367976899218497,-1.274353942136896,0.4274468197147696,7.78688246787864,14.493147965927038,-27.7610356463682,90.66245768461827,2112.446788648582,-1111.9315859414344,88.4897937775872,-0.7672822597486275,-0.4657849715480409,-0.44082002467563847,,,,,,,,,,,,,,,,,0.9979867959058881,1,,,high,high,8.403788083843626,-86.14761299047002,54.43011960346576,,,
8,06/16/2022,7:25:55 PM,1,2,Michael Austin,,Right,Equipe quebec,David Vinsky,,Right,New york boulders,Windup,1,Bottom,0,0,1,Slider,,InPlay,,FlyBall,Out,1,0,,77.3905519320323,0.8756697033383692,3.239061403051608,2255.275942666107,87.91566252005816,9:00,6.292223420708849,0.47812977445526805,5.823549187910778,-46.05168423873631,0.8755039568570311,-6.9064214575911995,2.133303629845194,-0.12256284216646023,71.86111171379648,-9.299616932080596,-2.4767626773694573,0.4930418551231356,88.40952294723536,36.77558530991048,4.732890807849198,,,,,323.2624275760153,,4.719430305943924,4.2623933457468866,4.628354519020041,0.2206949320194914,-0.7431053984284931,50.000000000000014,6.337006143549135,-6.16346583042942,-112.4352872219304,0.39075857399171454,5.912019617146552,20.7953708710072,-31.892145345056,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,17255767-5cd4-49c5-97de-f865f84bfccc,ac39e757-edcb-11ec-8a44-8199634fa397,77.50527712610169,6.284815963548212,0.4809436119048978,0.963732829995838,3.204764758564259,71.9444698507622,2.1390781473637643,-0.12402265733485111,-9.211907647391515,-2.498823327995756,0.49291927036369854,-6.583761085601203,-1.4697970969967482,-76.50072465548578,77.80624482296116,526.4559510032414,-2192.9691537323934,23.34330540416637,0.008490083518867096,-0.9723728756401948,0.23327860853721877,5.842976103566526,70.57337350906128,52.929219997666834,0.09387544950959248,2.046012121633361,2.2816805648869503,26.59689672171582,322.16641998680257,,,,,,,,,0.9960458163417779,1,,50.337797541761496,high,high,19.974379659335042,-56.14040460170129,54.75645081208922,,,
9,06/16/2022,7:26:28 PM,2,1,Michael Austin,,Right,Equipe quebec,Jake Mackenzie,,Right,New york boulders,Windup,1,Bottom,1,0,0,Fastball,,Foul,,,,0,0,,88.16926770607033,-1.277290015301595,2.659501430966398,2481.2063169998805,206.88070014922084,1:00,6.155419786018955,0.5683435153417586,6.124356540857228,-19.362723230465672,16.56438469044225,7.316272742990083,2.7386358340102865,0.7703807686222561,81.60946985322802,-5.586779883607859,-0.2085625721520708,0.4314024942153312,,,,,,,,,,,,-3.1662949170653416,9.391850903957405,-0.779239843587158,49.99999999999997,6.045566559932131,-6.179472271062751,-128.14834323975433,-3.460925240538093,-5.217253019252294,28.73470045423685,-16.698655231246036,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,17255767-5cd4-49c5-97de-f865f84bfccc,bf8a6742-edcb-11ec-93df-6dd19b23d42b,88.35581362141923,6.15565481926706,0.5714846026663736,-1.281010529188751,2.6209712223743944,81.77177225344265,2.7387605740234497,0.7679582082686572,-5.584183719546237,-0.24587611196643763,0.43124526450825373,7.669585640879409,15.17123713402463,-23.98036618265676,90.38572942832862,2267.0404500167238,-1008.4207383369709,91.36847808600969,-0.8149610304667732,-0.4064235736576272,-0.41310821535754816,,,,,,,,,,,,,,,,,0.9979148222202855,1,,,high,high,8.652843514504156,-39.122569035737186,54.45564345914277,,,
10,06/16/2022,7:26:41 PM,2,2,Michael Austin,,Right,Equipe quebec,Jake Mackenzie,,Right,New york boulders,Windup,1,Bottom,1,0,1,Slider,,BallCalled,,,,0,0,,78.4052182324406,-0.8296333476131529,2.016115191176334,2296.3247301080437,82.28046452589155,8:45,6.215675621120196,0.46771561405793854,6.022292066033036,-44.30958623618888,0.9573863757357373,-5.221242106974037,0.7599121684450996,-1.0602509925189585,73.35952223366493,-10.462919198731953,-3.2656607135073594,0.48424176926741375,,,,,,,,,,,,3.3941050879691916,0.7528507161429893,-0.6252170375713426,50.00000000000002,6.124678994192375,-3.867479762297239,-114.06097800696918,-2.9064868486300997,4.462792418667823,21.35455968208093,-31.184151989634806,New York Boulders,Equipe Quebec,pro03,Independent,Frontier,17255767-5cd4-49c5-97de-f865f84bfccc,c7abff30-edcb-11ec-b39d-49d750144836,78.51549185232682,6.208774475062478,0.4712731693651147,-0.747718320982625,1.972789669837373,73.44231766797485,0.7652007492084821,-1.0622459422412007,-10.382117072762338,-3.2962988325444393,0.48412339822565703,-4.817931517949761,-1.25649632047708,-82.50319444595544,79.08465920581916,299.6035602292232,-2276.6960650916394,13.047090261277056,0.01752538156145211,-0.991452138820331,0.12928850463098632,,,,,,,,,,,,,,,,,0.9972211322921719,1,,,high,high,18.823806714762778,-56.220568065767885,54.55770793396696,,,
