PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,06/19/2022,2:05:50 PM,1,1,Dwayne Marshall,,Right,Sussex county miners,David Glaude,1506179,Left,Equipe quebec,,1,Top,0,0,0,Fastball,,StrikeCalled,,,,0,0,,90.81276421955444,-1.1321091765149123,3.2482024850763205,2106.756175788044,200.49410697342128,12:45,6.119823632478197,1.83271179966862,5.918985957170066,-20.46278720917472,13.173451858517765,4.006900968188294,2.588990410277814,0.07449262991535006,83.88172083977668,-6.036751006962292,-1.3558929628921492,0.4174219068832445,,,,,,,,,,,,-1.2294277806744134,7.516173223501607,-2.081133766982533,50.00000000000006,6.023390454157724,-7.616061726823632,-131.98438895878547,-3.253840179574375,-2.156735545067255,29.531361953703883,-18.988730196912915,Sussex County Miners,Equipe Quebec,sky02,Independent,Frontier,ed25f2a1-4e12-48aa-bed7-24bd08620097,7414c1f0-effa-11ec-8d85-b5fd7018f16b,90.99753240187749,6.11913742221649,1.8351507154197784,-1.1246981293532994,3.2189906310746927,84.03956279362724,2.589734677262229,0.07280965867022536,-6.024672729621537,-1.3819856777199904,0.41727555410733164,4.274910635930963,11.881316346725196,-39.01966560427401,55.17682825059871,1636.801887088508,-1326.3865072611986,77.69299104943899,-0.7277566211509843,-0.6295870981676636,-0.2720117390697013,,,,,,,,,,,,,,,,,0.9970545562892937,1,,,high,high,40.34085457446118,82.7609348649209,54.34101404282993,,,
2,06/19/2022,2:06:12 PM,1,2,Dwayne Marshall,,Right,Sussex county miners,David Glaude,1506179,Left,Equipe quebec,,1,Top,0,0,1,Fastball,,StrikeCalled,,,,0,0,,92.8672206428067,-0.8055244680521385,4.57244360206893,2095.617202527404,201.75447362032162,12:45,6.17639242073118,1.6650280799770916,5.717606702758167,-19.20229598122921,13.349384986586916,4.612390957025565,3.055905475936523,0.6691987345548692,84.87981295010867,-5.481301996319019,0.19180081482664108,0.41063714582384175,,,,,,,,,,,,-1.1351553092099933,7.468772574241207,-2.030873298931859,50.00000000000003,6.101616246348648,-10.926743045724772,-134.71391291549716,-2.537618406761704,-2.0720545613513353,31.095440313027996,-18.540933346670155,Sussex County Miners,Equipe Quebec,sky02,Independent,Frontier,ed25f2a1-4e12-48aa-bed7-24bd08620097,8193579c-effa-11ec-9365-7fd874db9b0a,93.05887633664611,6.175951477002404,1.6675342172953234,-0.801125643460228,4.542971843003439,85.04085031917211,3.0565061436807266,0.6674622203931821,-5.471481162254466,0.16480315814223076,0.4104896357017929,4.884198707994007,12.087717053732952,-34.28275568462631,63.75486675599571,1731.5411382522384,-1180.413802896648,82.62678585401598,-0.7674215715752772,-0.5632773969754679,-0.30623962110979863,,,,,,,,,,,,,,,,,0.9976206173933463,1,,,high,high,32.62061991960385,-85.0226445474076,54.54239329724184,,,
3,06/19/2022,2:06:30 PM,1,3,Dwayne Marshall,,Right,Sussex county miners,David Glaude,1506179,Left,Equipe quebec,,1,Top,0,0,2,Fastball,,BallCalled,,,,0,0,,92.61831947500505,-0.6213040539095295,4.606377840166805,2029.9828176919896,193.87080180881458,12:30,6.283482279014827,1.6387901673341647,5.843939441077138,-19.482631925645947,13.049674908523961,2.617878145680814,3.5316967297271202,1.474310588513677,83.60290670589701,-4.95555355089369,-0.16308892182785784,0.41051492597474665,,,,,,,,,,,,-0.06624923997766369,7.279688621597653,-1.9959801414884137,50.00000000000002,6.2251129466878306,-10.91261504357942,-134.39044945631798,-2.0928768720952293,-0.12048501093947585,30.63870287373497,-18.934752599273992,Sussex County Miners,Equipe Quebec,sky02,Independent,Frontier,ed25f2a1-4e12-48aa-bed7-24bd08620097,8c50fd42-effa-11ec-9ffa-c59a53007dc8,92.8069059248394,6.282889652349425,1.6407006365203167,-0.6149645878644485,4.5835533267128366,83.76307795067667,3.5324648453004674,1.4729522487394915,-4.943151074208245,-0.18412562535530833,0.41037034360064184,2.828284370241241,11.806527890804993,-37.95879058894257,37.373296788490634,1600.5467619825934,-1248.6313718755205,78.84533543994978,-0.7654610901771556,-0.6150945520293444,-0.18901854800156637,,,,,,,,,,,,,,,,,0.9970328077685506,1,,,high,high,56.36403289035842,2.7388959013093546,54.416060558922865,,,
4,06/19/2022,2:06:50 PM,1,4,Dwayne Marshall,,Right,Sussex county miners,David Glaude,1506179,Left,Equipe quebec,,1,Top,0,1,2,Slider,,InPlay,,GroundBall,Single,0,0,,77.6367876457519,0.4839162232852562,4.649846773871752,2019.5611490787362,52.66990962244488,7:45,6.181646138654225,1.7276594043375317,5.7613133051961025,-51.12271597211148,-4.665836414604705,-8.677973627849724,1.4316577710493712,0.026431435864691124,71.83869314291321,-10.485549766487864,-3.270520539514062,0.49056497799291593,84.17036680015592,4.350605052741108,5.997992004652004,1056.4835623735996,,,,69.18692586431844,,6.253635432871189,0.5900457651720825,6.076543641602996,-2.6726852621160218,-2.0887968639492343,50.0,6.191740050702088,-8.921608644580246,-112.63153603146498,-0.45434803520576444,7.761663335414462,21.53680514211733,-35.587911878379764,Sussex County Miners,Equipe Quebec,sky02,Independent,Frontier,ed25f2a1-4e12-48aa-bed7-24bd08620097,97fde3cf-effa-11ec-bbf8-2f9c928c7d56,77.73558875127834,6.172383747877819,1.7288543725419079,0.5959602357554923,4.634897822265312,71.90127325758074,1.4388799151339806,0.02589819327277963,-10.37595600521079,-3.2784578231898376,0.4904603502338706,-8.536071066981368,-7.32689819692512,-61.465354543691,4.074398512085691,964.7242971786649,-1774.2418846654919,47.76900652989603,0.2896741601377207,-0.8785284295426501,0.3798377014381685,8.769922034825559,83.46837365896761,6.385116561413179,-0.03867609631232957,0.9594889108164282,1.375919164776533,7.5365282214001095,68.77522412121051,-0.7624017810170637,-11.909790256042736,-0.12265693848437631,-0.8139406553854144,0.47038255831225606,-0.34094113618978117,,,0.9961370103855434,1,0.9086315171264663,47.99855182300632,high,high,86.33304133912287,33.135384524919516,54.4986866948039,,,
5,06/19/2022,2:07:31 PM,2,1,Dwayne Marshall,,Right,Sussex county miners,Garrett Takamatsu,,Right,Equipe quebec,,1,Top,0,0,0,Fastball,,BallCalled,,,,0,0,,90.65544022882976,0.36477182002136516,2.763665946544541,2016.544273915786,204.96930243090833,12:45,6.022027294326418,1.7594403860473795,4.6845870230610664,-21.7218110515047,13.698681270042542,5.570078343946328,3.854640654994984,-0.6488850956292606,82.19240902192833,-4.607135835678292,-2.3973426994248066,0.42835004719570163,,,,,,,,,,,,-2.0828185283392036,7.042078120939692,-2.0330807539375453,49.99999999999998,6.040011443985175,-6.563657659825771,-131.5497742297097,0.0062156211668384625,-3.6242219196633467,29.733990049697596,-19.920435774410727,Sussex County Miners,Equipe Quebec,sky02,Independent,Frontier,ed25f2a1-4e12-48aa-bed7-24bd08620097,b0375973-effa-11ec-9e34-f124ada481a6,90.85695564689983,6.02128158704989,1.7625385804831806,0.3722579829609226,2.7289556438580496,82.35960293371622,3.8555335844215697,-0.6510023669920971,-4.5929428234584435,-2.4293387411375287,0.4281862993213784,5.8952472029388625,12.260940449800835,-34.43874994934776,62.89707757452454,1663.1070017716274,-1140.4060282727082,82.47312113520604,-0.7476469537870754,-0.5655249145897668,-0.34814595139272225,,,,,,,,,,,,,,,,,0.9981520126040968,1,,,high,high,33.39263018292789,82.7602236194122,55.575412976938935,,,
6,06/19/2022,2:07:51 PM,2,2,Dwayne Marshall,,Right,Sussex county miners,Garrett Takamatsu,,Right,Equipe quebec,,1,Top,0,1,0,Fastball,,FoulTip,,,,0,0,,87.78586659076466,0.045414039704098116,3.393370881225343,1995.3704851614539,201.16748791112354,12:45,6.112190689416589,1.8561116004949503,5.811000109346252,-22.182548515781978,13.128323342104675,3.619193143704646,3.334567641714815,0.24509963745315805,80.92450242347807,-5.612307198873449,-1.4799360723748245,0.4327163453845249,,,,,,,,,,,,-1.1560579499827173,6.665045907113327,-2.122045469887496,50.0,6.1029090309295055,-7.686803994982223,-127.56811378854229,-0.636326688426818,-1.8945385629679476,27.59329469506225,-21.251425425881852,Sussex County Miners,Equipe Quebec,sky02,Independent,Frontier,ed25f2a1-4e12-48aa-bed7-24bd08620097,bc6684b5-effa-11ec-b1cb-c143900c2d68,87.96699578003545,6.110898223993172,1.8588089260802925,0.06019604651783348,3.3609052741281458,81.07717453584684,3.3358119598105946,0.2432794501137697,-5.592292753211637,-1.508451143795428,0.4325613591847269,3.8962673587756744,11.793446725418622,-43.823416456242015,62.001753849657895,1439.6144864742307,-1381.6705480638257,72.14772881426806,-0.6727983875691479,-0.6924381002618814,-0.2605221813782294,,,,,,,,,,,,,,,,,0.9925822368724031,1,,,high,high,34.1984215353079,-84.83597826701097,54.44899989065375,,,
7,06/19/2022,2:08:13 PM,2,3,Dwayne Marshall,,Right,Sussex county miners,Garrett Takamatsu,,Right,Equipe quebec,,1,Top,0,1,1,Fastball,,InPlay,,GroundBall,Single,0,0,,90.60678228545189,-1.4683337246360497,4.1450213249194245,2025.2411345247979,204.2796593808724,12:45,6.030154137518707,2.0047101850708646,5.902261468948085,-20.88575609936911,13.020656209942707,4.924493204955582,2.1512773398819727,0.600057928793445,83.4277580769344,-6.570323508794608,-1.5560025515136398,0.41909496364081844,,,,,,,,,,,,-1.4570132206794602,7.531433655951311,-2.323064679895575,50.0,5.90736199965691,-9.686029688214829,-131.52586505572683,-4.034442321346869,-2.536793489146395,29.47527556126825,-19.061133662391832,Sussex County Miners,Equipe Quebec,sky02,Independent,Frontier,ed25f2a1-4e12-48aa-bed7-24bd08620097,c965e011-effa-11ec-b7fa-85afd7b742b2,90.7888640548138,6.0293997902143,2.007262752106109,-1.4599762383864576,4.113994329610828,83.58275263736154,2.1520962404900126,0.598229887758216,-6.557176339153831,-1.5842144294896447,0.41894893930454885,5.20965333713035,11.696408726239424,-34.655918737669175,52.94351022668972,1665.9264518628127,-1151.6469554316855,82.25817772823902,-0.7498238525127204,-0.5686468321224908,-0.33823803825122606,,,,,,,,,,,,,,,,,0.9972982542034207,1,,,high,high,42.35084079597923,-68.30548054558346,54.357738531051915,,,
8,06/19/2022,2:08:59 PM,3,1,Dwayne Marshall,,Right,Sussex county miners,Tj White,,Right,Equipe quebec,,1,Top,0,0,0,Fastball,,StrikeCalled,,,,0,0,,93.08602671487985,-0.9180799808407041,3.857984287805905,2032.7763359012629,201.64996284869346,12:45,6.192097120885636,1.4883360499059093,5.5888909665603075,-19.134197930252494,13.35812566228611,4.5299702499950385,2.908192261283118,0.3260979865185216,85.85030601893615,-5.876607604630111,0.08668083773369151,0.4102625804538899,,,,,,,,,,,,-1.2973846419411417,7.471645644142508,-1.8059981295521224,50.0,6.105841953253706,-9.266878410942146,-135.12614769654226,-2.822670801105545,-2.3837238531744793,31.168201673675142,-18.44617015175455,Sussex County Miners,Equipe Quebec,sky02,Independent,Frontier,ed25f2a1-4e12-48aa-bed7-24bd08620097,e495f6e3-effa-11ec-8825-01433e2cc4c1,93.27869482277137,6.19164731559433,1.4907689181673753,-0.9135895023776264,3.8295932879704724,86.01180026413266,2.9087907396917596,0.32444512624889327,-5.866871715312426,0.06108273760281051,0.4101153002953291,4.791930398350343,12.10655430180804,-32.98389862052565,56.504478020876824,1705.140738906237,-1106.6502122723584,83.88235876182789,-0.7796488798351565,-0.5444033328839928,-0.3094715420141022,,,,,,,,,,,,,,,,,0.9951320718895931,1,,,high,high,39.145969781210866,-80.6827077751074,54.67110903343969,,,
9,06/19/2022,2:09:22 PM,3,2,Dwayne Marshall,,Right,Sussex county miners,Tj White,,Right,Equipe quebec,,1,Top,0,0,1,Slider,,InPlay,,GroundBall,Error,0,0,,77.92739573499489,0.8293164161414155,4.389672423689998,1999.6694770191252,47.28020793113132,7:30,6.227070357594651,1.5429560738927695,5.690205237243024,-51.752575586542115,-5.522387398751,-8.286873642617941,2.0117362066916598,-0.40076020600074347,71.80978856996451,-9.993323388103867,-3.4011709644300403,0.48936663189954405,101.67597769907081,-2.0346669697172843,-20.42320982412707,2954.537365489604,,,,33.940430129094906,,-18.73601721824234,0.2158847416573056,5.7817130058875,-3.2326738658622984,-1.8890801107458963,49.99999999999993,6.264224867361463,-8.447518954078522,-113.06930864431423,0.1914789877160243,7.439506030616783,21.78389220973318,-36.3336294018107,Sussex County Miners,Equipe Quebec,sky02,Independent,Frontier,ed25f2a1-4e12-48aa-bed7-24bd08620097,f2627070-effa-11ec-b74f-c76e5e973897,78.02617863455856,6.21758269355765,1.5442001827973224,0.9439398515253123,4.3741674763669245,71.8709576149167,2.019133890355996,-0.401413347737419,-9.880784029573624,-3.4109948059179938,0.4892639778404678,-8.139874052674726,-8.218558611555338,-59.519158443962304,12.317382233238334,1014.3327757530536,-1723.3128089105146,50.725021680338045,0.3441253928897671,-0.8617988266138007,0.37266673639532133,-35.457636145337624,95.22462363130654,-3.609921650507912,0.2806320246839496,3.027486534415401,2.2987913251447525,-10.901949954456637,32.14187742709651,1.5705961245064386,-5.061400638643871,-0.046304230088545284,-0.8429381458824529,-0.12116780605634436,0.5241885586234641,,,0.9925808237119781,1,0.9960523826287855,61.09401536370029,high,high,78.91435599008551,34.519998999309415,54.56979476275698,,,
10,06/19/2022,2:10:16 PM,4,1,Dwayne Marshall,,Right,Sussex county miners,Kyle Crowl,,Right,Equipe quebec,,1,Top,0,0,0,Fastball,,Foul,,,,0,0,,91.82612631936463,-0.9478870555143372,2.7423561698071794,2241.7926490132068,199.95164302743595,12:45,6.154785555807657,1.7203214426851223,5.969004746041835,-19.181787361953887,13.627848927381216,4.065945791261134,2.6551414378441986,-0.6472878439493086,84.75724514546465,-6.0805417567899624,-2.7068027533533816,0.4122609792003639,,,,,,,,,,,,-1.411961269038312,7.724633121638649,-1.9279026191357238,50.000000000000036,6.07406715372207,-6.5239363484923425,-133.53471992253654,-2.814155708385276,-2.534555892276945,30.326364399898775,-18.307865843253406,Sussex County Miners,Equipe Quebec,sky02,Independent,Frontier,ed25f2a1-4e12-48aa-bed7-24bd08620097,12db5e70-effb-11ec-ab45-8dbd7980df6b,92.0128760627208,6.154409271627773,1.722730727787312,-0.9440966489082322,2.7132580551387058,84.91764185526807,2.6556118098106007,-0.6489361155584552,-6.072623746973487,-2.7323854123905105,0.41211625755520676,4.332140897977357,12.388757349271147,-39.503383655057284,55.40135735551753,1729.7380959005825,-1426.0576428601607,77.15870139292228,-0.7252770921245623,-0.6361237929332507,-0.26328626949302547,,,,,,,,,,,,,,,,,0.996778471488623,1,,,high,high,40.13877838003424,83.55316849490154,54.290995253958165,,,
