PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,06/24/2022,6:57:16 PM,1,1,John Witkowski,1506176,Right,Equipe quebec,Joe Simone,,Left,New jersey jackals,,1,Top,0,0,0,Fastball,,StrikeCalled,,,,0,0,,41.27250204945502,8.537625885678827,-3.971780888236365,982.0472744855196,174.34232899098808,11:45,7.2675049958020255,0.7292548460053103,3.532677014574134,-163.905500445906,23.302753750992764,-2.678106761302949,1.9186838331840024,-3.2785075774165278,39.07868004761193,-20.346848259461222,-4.482457124158258,0.9772039422454216,,,,,,,,,,,,0.0766233836765036,8.87931692495436,-0.2425052191507678,49.99999999999997,8.12200453907454,4.1495224951747,-59.02870322992784,5.576949689407421,0.026901658856520048,5.877823818669149,-29.056615412086124,Equipe Quebec,New Jersey Jackals,,Independent,Frontier,f5b054d7-474d-4f3b-baed-e10b76b318c8,fea22640-f410-11ec-b1c3-016257f54ce1,41.45897380149359,7.247635841565068,0.7385871860940658,8.751268285640961,-4.079694737957256,39.12796849586777,1.9402556730559661,-3.2853129522828595,-20.047325741652294,-4.585740897147479,0.9766191277536895,-1.5499810483857237,13.635367846341552,-47.005176994775844,0.23032237955331725,669.6897271368348,-718.2844274323571,68.19322699996042,-0.678610355518276,-0.7314153260174323,0.06722801685437477,,,,,,,,,,,,,,,,,0.9937986819436726,1,,,high,high,89.792709858402,22.32771391883589,56.96732298542587,Reece Yeargain,,Equipe quebec
2,06/24/2022,7:08:46 PM,1,2,,,,,,,,,,1,Top,0,0,1,Changeup,,StrikeCalled,,,,0,0,,81.14842533850296,2.5631399815048335,0.5510854250593455,1486.164177167906,46.643641450679844,7:30,5.084774173392118,1.6030719428041078,7.185576742082601,-45.76377581218431,-5.354920930722862,-7.872024911791933,3.5789992086582685,0.4523385269422556,78.09379000182332,-5.248392299816524,0.16878252675088964,0.4333940351519226,,,,,,,,,,,,4.682639965662793,-3.8228118712593524,0.2921288194291641,49.99999999999997,4.68251935298271,-3.3232451582454834,-124.74188931940472,5.0531062916855545,7.341536537833784,26.259688447716638,-38.16753045062224,Equipe Quebec,New Jersey Jackals,,Independent,Frontier,f5b054d7-474d-4f3b-baed-e10b76b318c8,99b9914f-f412-11ec-b439-b940b2a3efe8,81.25693509236619,5.077074348970686,1.6023458375317179,2.660151470424187,0.5601698530590499,78.17779213520122,3.5850646662734875,0.4530799814428722,-5.152783453910362,0.18061785579896653,0.43330430583657764,-7.951968107961019,-7.6558179208576504,-36.54787969302824,30.988656444289603,1193.9241221845132,-885.0023457387547,80.33595080051673,0.5515335273443837,-0.5954943332204727,0.5841209355239431,,,,,,,,,,,,,,,,,0.9608070495369846,1,,,high,high,62.11020920013945,48.80573758850716,53.3144232579174,,,
3,06/24/2022,7:09:15 PM,1,3,John Witkowski,1506176,Right,Equipe quebec,Joe Simone,,Left,New jersey jackals,,1,Top,0,1,1,Changeup,,Foul,,,,0,0,,83.40549944317586,-0.13200815578945593,-3.29906693903379,1665.1745234179978,245.26843633368492,2:15,5.010918486999366,1.8689030034732332,7.0235090781608385,-31.71602325370812,7.5369663655484125,12.239000522677864,2.243052389086914,1.1235154675520609,75.3910623134303,-6.3530565695992465,1.2433478764847008,0.4466156519318088,,,,,,,,,,,,-7.839097225588115,4.248461569389024,-1.6726664184802411,49.99999999999997,4.992331109502246,6.707306935196298,-121.41420791069332,-1.0202640463932022,-11.642235821993228,24.89780863469466,-25.86444657328935,Equipe Quebec,New Jersey Jackals,,Independent,Frontier,f5b054d7-474d-4f3b-baed-e10b76b318c8,abb70930-f412-11ec-b430-6592d925f034,83.5556747522537,5.00775316969932,1.8728811692505434,-0.09337674754572542,-3.3485152095254813,75.5105494643565,2.246216911095397,1.1201959211952752,-6.303691529069248,1.191548077875434,0.4464826526839142,12.719841831706285,5.716347812244438,-5.510348283723557,33.98651953442642,1657.479537458268,-159.8992693775738,99.53788711924713,-0.4164341682500826,-0.09602553193605122,-0.9040805720345174,,,,,,,,,,,,,,,,,0.9974704411728486,1,,,high,high,59.412132419016224,14.676793982583678,53.47649092183916,Reece Yeargain,,Equipe quebec
4,06/24/2022,7:09:36 PM,1,4,John Witkowski,1506176,Right,Equipe quebec,Joe Simone,,Left,New jersey jackals,,1,Top,0,1,2,Changeup,,BallCalled,,,,0,0,,81.8232168295738,1.4837674397241765,-2.910525831805312,1605.5216821398433,247.93859016761803,2:15,4.9339307254730915,1.9514399919508576,7.082834025349811,-33.18954270914713,6.86563588968604,12.196118696144934,3.5010697074109127,1.211027781924086,74.3851279730328,-5.133241103146815,0.8035645618693601,0.45480583650666184,,,,,,,,,,,,-7.7534753772472405,3.433045153401023,-1.7817354704472477,50.0,5.011658574444613,5.774619923774697,-119.12352932009013,2.3274666538733344,-11.078572642191517,24.084173877124393,-27.268734451126907,Equipe Quebec,New Jersey Jackals,,Independent,Frontier,f5b054d7-474d-4f3b-baed-e10b76b318c8,b7e73ac2-f412-11ec-a832-51e3c7dabbbd,81.9748752713067,4.930344322590072,1.955603498911871,1.5269651108088211,-2.9616109211069954,74.5047570159585,3.5044933572552983,1.2076493079869666,-5.079741558058173,0.7510055292473014,0.4546681031119062,12.682380732298558,4.98731131774557,-7.448073361314884,52.71461792403422,1591.975492284553,-208.11992645229182,99.15627487277308,-0.3724311044720959,-0.12962760252163588,-0.9189623262605424,,,,,,,,,,,,,,,,,0.9867890745097935,1,,,high,high,42.55684386836919,35.4832020822263,53.41716597465019,Reece Yeargain,,Equipe quebec
5,06/24/2022,7:09:52 PM,1,5,John Witkowski,1506176,Right,Equipe quebec,Joe Simone,,Left,New jersey jackals,,1,Top,0,2,2,Changeup,,BallCalled,,,,0,0,,82.87218911128713,2.722479445967177,1.5235785835450173,1934.3833322705357,244.65776195566332,2:15,4.944572013194777,1.6898517352514615,7.150630628294493,-26.571410836163736,7.705659390620681,12.719560441265928,3.654234829531674,1.2755388128028662,80.20877384084142,-4.498027654344288,1.1867785273187854,0.42137946710276075,,,,,,,,,,,,-7.5735339261682295,4.170138881561225,-1.2977075726186684,50.00000000000005,5.328137923517879,2.541148698328951,-128.497702617141,0.7587277931136907,-12.570318045164342,28.441969940133916,-25.25258167620323,Equipe Quebec,New Jersey Jackals,,Independent,Frontier,f5b054d7-474d-4f3b-baed-e10b76b318c8,c0fd306b-f412-11ec-a249-536b6603c69f,83.03047904344757,4.941783016260222,1.6945457152338215,2.757116300893636,1.4639676337269316,80.34046789757323,3.6565863260548284,1.2719590154526137,-4.460644846812443,1.130335167427406,0.4212583329185937,13.245705950186307,6.1485147694080045,-12.152484854905202,10.794324318759553,1891.035365776125,-407.21508020948625,97.75908085169812,-0.41843255353787784,-0.21051415891363495,-0.8835145652657096,,,,,,,,,,,,,,,,,0.9884776138464855,1,,,high,high,80.28510811311641,-5.665230693323896,53.34936937170551,Reece Yeargain,,Equipe quebec
6,06/24/2022,7:10:15 PM,1,6,,,,,,,,,,1,Top,0,3,2,Fastball,,InPlay,,GroundBall,Out,1,0,,89.43306134073228,-0.5518268035038977,-4.483184398931512,1955.5238899255387,248.2666258344221,2:15,4.981748628421415,1.86226082412373,7.083038051850191,-26.47447615539246,7.024948720111887,13.118073051954712,2.1236666089602583,0.04710819490016914,79.75600548781937,-6.415145147883934,0.8326983810913015,0.4165721175871308,,,,,,,,,,,,-8.706972259546559,4.122256195756606,-1.5986753838504222,50.0,4.940006034761297,9.863816899476305,-130.0147505888111,-1.9224232999493769,-14.832116781283474,28.48043682662509,-25.15188579872092,Equipe Quebec,New Jersey Jackals,,Independent,Frontier,f5b054d7-474d-4f3b-baed-e10b76b318c8,cf410a7a-f412-11ec-9a01-71a85271ca45,89.5907433279735,4.979295251282754,1.866689274847105,-0.5216685522683158,-4.538620577293946,79.88066546686187,2.1262839186912106,0.04337986319369819,-6.374041924188437,0.7741731157435601,0.4164524595954022,13.618675010474714,5.592008722715996,-12.729140274911071,2.1709068090606154,1907.462206731535,-430.8846875445604,97.5422604938959,-0.36118719198340343,-0.22034232860278039,-0.9060866793927878,,,,,,,,,,,,,,,,,0.995753655673832,1,,,high,high,88.04618387184546,0.1794298298951906,53.416961948149805,,,
7,06/24/2022,7:11:00 PM,2,1,John Witkowski,1506176,Right,Equipe quebec,Santiago Chirino,453279,Right,New jersey jackals,,1,Top,1,0,0,Sinker,,StrikeCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equipe Quebec,New Jersey Jackals,,Independent,Frontier,f5b054d7-474d-4f3b-baed-e10b76b318c8,70c59d7e-15bd-41f2-ac73-f9f42884b139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reece Yeargain,,Equipe quebec
8,06/24/2022,7:11:05 PM,2,2,John Witkowski,1506176,Right,Equipe quebec,Santiago Chirino,453279,Right,New jersey jackals,,1,Top,1,0,1,Changeup,,BallCalled,,,,0,0,,84.39921113919354,1.0663254741665467,-2.9708716453389163,1606.3971317218761,247.8443251282307,2:15,4.975330894106831,1.8415705441917254,6.987593729366567,-31.198176556752827,6.537938845663504,11.538697360677178,3.3827663417894835,0.9047203310390918,76.79120171713866,-5.134248754700461,1.0712558984844465,0.4416082977423386,,,,,,,,,,,,-7.383552177688995,3.401931482833738,-1.6633078079303651,49.999999999999964,5.030021817812211,6.094385532217894,-122.87108259571939,1.5340874031773053,-11.230581933084487,25.495659977339837,-26.999620079813177,Equipe Quebec,New Jersey Jackals,,Independent,Frontier,f5b054d7-474d-4f3b-baed-e10b76b318c8,ece94d1e-f412-11ec-94d9-8551525a1632,84.55211358106146,4.972286857391897,1.8455090559358078,1.1044393249778808,-3.021051313953727,76.91460700500085,3.3858290695628255,0.9014103273120655,-5.085795631303829,1.019100173847895,0.4414770967398295,12.029777499688889,4.7911331238285,-16.93987280770684,29.862404573817468,1536.6972445374863,-468.0526930113405,95.66110485333851,-0.3607613699599156,-0.29136798352574306,-0.8859773880414709,,,,,,,,,,,,,,,,,0.9964388854520394,1,,,high,high,63.12383588356426,7.646206510088498,53.512406270633434,Reece Yeargain,,Equipe quebec
9,06/24/2022,7:11:18 PM,2,3,,,,,,,,,,1,Top,1,1,1,Fastball,,BallCalled,,,,0,0,,88.20823725294335,0.9956597268655103,-4.386470757618363,1974.0279854519008,241.9982657124143,2:00,5.244579972565626,2.1958887563475873,5.999999999999997,-27.000819051316622,8.966578223733112,13.1998255630118,3.919772478212331,-0.776057070669177,80.01086550512984,-4.098190604194855,-1.8981432044412996,0.43164431799096686,,,,,,,,,,,,-8.447534598385786,4.5678213167784225,-1.8579431660968178,50.00000000000001,5.308203351962156,9.405192130066672,-128.00093355157725,1.3851870922800604,-13.938216932035479,27.774417861919982,-24.637260753883275,Equipe Quebec,New Jersey Jackals,,Independent,Frontier,f5b054d7-474d-4f3b-baed-e10b76b318c8,f4ed33b8-f412-11ec-8252-39d22870e9c7,88.38738737959274,5.242186830895432,2.200865420765818,1.0234478793865243,-4.445881161503612,80.15289107880693,3.9220990441595425,-0.779917118151848,-4.061943585245984,-1.9572657764098034,0.4315156271239197,13.75823448457461,7.402268091810644,-13.361756090201903,69.21037378227444,1920.5917360346155,-456.19499210626185,97.29303486013889,-0.45678913353377854,-0.23109854341899222,-0.8590326831472014,,,,,,,,,,,,,,,,,0.9415574294951503,0,,,medium,high,27.71066359595294,44.738963440603534,54.5,,,
10,06/24/2022,7:11:34 PM,2,4,John Witkowski,1506176,Right,Equipe quebec,Santiago Chirino,453279,Right,New jersey jackals,,1,Top,1,2,1,Sinker,,InPlay,,FlyBall,Out,1,0,,86.96312375133532,0.23034837721004456,-3.454574495357833,1997.0350326279688,239.3431819735437,2:00,5.007779597112208,1.7653433653274846,7.100789014749353,-25.446173694602013,9.18837205303728,12.45101661611072,2.9801977173523904,-0.02716004424655952,79.96166416967714,-5.057848232930449,-0.2860068798134425,0.42792992266339963,90.06650033703487,34.07206164970583,-17.307798446589537,2920.9503421502645,,,,352.2224684409268,,-14.285907131008111,5.427721077399035,-8.132626859409024,5.180445586036502,-1.5642550420382835,50.00000000000002,5.012970993255888,7.334296111871482,-126.58246126481228,-0.12501792907024262,-13.115985602978032,27.28815584278572,-23.81922759575276,Equipe Quebec,New Jersey Jackals,,Independent,Frontier,f5b054d7-474d-4f3b-baed-e10b76b318c8,fe9c7b9e-f412-11ec-82c9-8b9f19e60453,87.12710611608554,5.005692395000058,1.769805086200029,0.25524392679474067,-3.5092350843215807,80.09593469885259,2.9822506639341957,-0.03068129901375716,-5.0252691474894275,-0.34119426491240223,0.42779791822329744,12.965529566755324,7.6998288141666675,-12.020510033256476,71.16714693282889,1953.2462691809073,-415.90615945698505,97.8073112022758,-0.4987143255349812,-0.20826182448571243,-0.8413744909183253,-22.195379890909432,71.22701378481023,50.45841953289629,-0.12198393594277158,2.5923966806005962,3.3933132545557845,-86.91464856621906,341.3305013315251,10.280078321511471,27.816505093929067,1.323910930860026,0.9452800366514161,0.2764356185548498,-0.17328877950546825,,,0.9862512451229797,1,0.9969562242320585,49.07093651825134,high,high,25.949567760454013,49.31355771627474,53.39921098525065,Reece Yeargain,,Equipe quebec
