PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,07/02/2022,7:14:20 PM,1,1,John Witkowski,1506176,Right,Equipe quebec,Louis-phillippe Pelletier,,Right,Trois rivieres aigles,,1,Top,0,0,0,Sinker,,BallCalled,,,,0,0,,88.6585898605843,0.8892690853784172,-4.37648787509211,2054.368953667175,239.38519704807302,2:00,5.314792284586747,1.748805224105488,6.738402125268758,-25.682176110089653,9.508349260383074,13.088634905296276,4.060229539559423,-0.060263797774501485,79.70297812888067,-4.055414732793086,-0.11114231752884851,0.42329709933214643,,,,,,,,,,,,-8.572921132029657,5.015780529679525,-1.466069319079889,49.99999999999994,5.3634551543742885,9.504768540264024,-128.8157051423026,1.3254374730145524,-14.319124171441338,28.244088087932173,-23.796323590966264,Equipe Quebec,Trois Rivieres Aigles,,Independent,Frontier,06f67271-d890-4080-855e-14def1ac2362,b4809107-fa5c-11ec-8416-bb538b8ffdff,88.8301939139964,5.312788580552669,1.7534741889723013,0.9125805793286623,-4.432324669519181,79.8420297368761,4.062290468516858,-0.06392035375381315,-4.022334780934944,-0.16896767036608196,0.4231642860599706,13.620823648208564,7.962553257316444,-8.091514919007455,72.6044053629599,2033.9167104858927,-289.16191415504335,99.00445131120318,-0.5041938113969032,-0.14075461646695522,-0.852042685839333,,,,,,,,,,,,,,,,,0.9971192489413411,1,,,high,high,24.656035173336086,86.56847634925279,53.761597874731244,Jeffry Parra,,Equipe quebec
2,07/02/2022,7:14:40 PM,1,2,John Witkowski,1506176,Right,Equipe quebec,Louis-phillippe Pelletier,,Right,Trois rivieres aigles,,1,Top,0,1,0,Sinker,,StrikeCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equipe Quebec,Trois Rivieres Aigles,,Independent,Frontier,06f67271-d890-4080-855e-14def1ac2362,534c1ee6-6369-4a39-9411-347d9ba47ad2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeffry Parra,,Equipe quebec
3,07/02/2022,7:14:50 PM,1,3,John Witkowski,1506176,Right,Equipe quebec,Louis-phillippe Pelletier,,Right,Trois rivieres aigles,,1,Top,0,1,1,Changeup,,InPlay,,GroundBall,Single,0,0,,82.30384798079504,-0.5723030359665916,-4.210126864163789,1731.4936332943632,247.7796426424255,2:15,5.131272667856901,1.8437020699110296,6.951417647958612,-33.17630375259851,7.341817054497795,13.040843212660771,1.7109850020908708,0.1266961556957724,74.48847069614652,-7.448270868635596,-0.18875114942892315,0.45367381767375503,89.27743973566918,-2.8410591332727644,-26.12325565420041,,,,,23.98518045286393,,-24.94166448317171,0.19315407993513017,-8.53392317336479,4.247807797464349,-1.5870870155582786,49.999999999999936,5.084242105221412,8.497451303666402,-119.66763050183441,-1.9757164296094025,-12.316286433282757,24.11431782443197,-26.043549406388582,Equipe Quebec,Trois Rivieres Aigles,,Independent,Frontier,06f67271-d890-4080-855e-14def1ac2362,c658628f-fa5c-11ec-8fae-f5fbd4f0c1d9,82.45131717367094,5.12779529118007,1.848030805695764,-0.5302102114152865,-4.263345872820197,74.60307697999123,1.7143069964929585,0.12323094316428078,-7.395458329101176,-0.2440034149797618,0.4535412124431831,13.551437361523213,5.4812245134305355,-5.607568351400634,27.484492408285327,1723.207572641488,-169.19179569336583,99.52145012297215,-0.3763599967156375,-0.09771436200516616,-0.9213061686161277,-39.26086504556153,80.05913043199084,-4.425082609819556,0.8767426483642693,-0.4523629420381491,1.7532953099877733,-10.114437589433843,21.748265071170472,,,,,,,,,0.9955863274170069,1,,50.386535400972846,high,high,65.26395683254323,-23.336289814450012,53.548582352041386,Jeffry Parra,,Equipe quebec
4,07/02/2022,7:15:38 PM,2,1,John Witkowski,1506176,Right,Equipe quebec,Elliott Curtis,,Left,Trois rivieres aigles,,1,Top,0,0,0,Sinker,,BallCalled,,,,0,0,,86.9312549275665,0.7587079675429249,-1.430551905699618,2146.360394716816,241.73284641989693,2:00,5.297184042442017,2.0155471619323357,6.841476708855977,-25.868913273994178,9.168148797155968,13.875031627045734,3.6714351474302567,2.4898619927586085,79.78415129198345,-4.838726398307597,1.7978614281070382,0.43025789475963105,,,,,,,,,,,,-8.272980684507374,4.940182781031608,-1.9294135986194483,49.99999999999997,5.3357581955049405,2.799327590608399,-126.64131879160657,0.9907404180656113,-13.315300804656463,28.022325434322095,-24.22286218837861,Equipe Quebec,Trois Rivieres Aigles,,Independent,Frontier,06f67271-d890-4080-855e-14def1ac2362,e31b398a-fa5c-11ec-8215-25239f87248b,87.0948218759455,5.2949525991461535,2.0203074366218083,0.7854277877279742,-1.4891365732829938,79.91808812354246,3.6736066341892224,2.4860821267812985,-4.804095684283763,1.7379872899579598,0.43012208781159966,14.428116478318177,7.558063251056605,-2.7711871443078437,20.07775039520112,2143.8503905600446,-103.77112750890569,99.88305765597663,-0.47302955322368373,-0.04834748524261553,-0.8797190247162541,,,,,,,,,,,,,,,,,0.9929926801836675,1,,,high,high,71.93002464431899,-8.12404932191896,53.65852329114402,Jeffry Parra,,Equipe quebec
5,07/02/2022,7:16:02 PM,2,2,John Witkowski,1506176,Right,Equipe quebec,Elliott Curtis,,Left,Trois rivieres aigles,,1,Top,0,1,0,Sinker,,StrikeCalled,,,,0,0,,87.82344570457086,-0.9947436173040958,-3.9530982537172843,2092.636798896672,241.4404865104554,2:00,5.192885695727916,1.8201810120769228,6.926565558019906,-25.390954237626737,9.050779261237707,13.380016412640513,2.078217896459097,0.32675293302547037,80.59350689055897,-6.2412627465085215,0.02953170769835499,0.422390384759893,,,,,,,,,,,,-8.257961610341006,5.485028547390276,-1.3743766515674565,49.999999999999986,5.355889822481025,5.368975402092952,-128.673262226399,-3.7577192097969223,-13.756002437040667,28.299867483351594,-23.03716210390591,Equipe Quebec,Trois Rivieres Aigles,,Independent,Frontier,06f67271-d890-4080-855e-14def1ac2362,f22b4430-fa5c-11ec-b944-ef6884775b5d,87.98329598285801,5.190768052833079,1.8247036197967783,-0.9690272242604923,-4.009291160795702,80.72484945354375,2.080295278789922,0.32313969744930093,-6.207921331615896,-0.028102548216451924,0.4222720758823033,13.91636075572734,7.551103708159147,-6.612641430851703,21.944877448006824,2078.7152860625424,-240.98035518779028,99.33473821919458,-0.47489090971717934,-0.11515632111355657,-0.872477876840199,,,,,,,,,,,,,,,,,0.9966996522629472,1,,,high,high,70.24961029679383,-8.03690569435138,53.57343444198009,Jeffry Parra,,Equipe quebec
6,07/02/2022,7:16:42 PM,2,3,John Witkowski,1506176,Right,Equipe quebec,Elliott Curtis,,Left,Trois rivieres aigles,,1,Top,0,1,1,Sinker,,StrikeCalled,,,,0,0,,86.7348232252297,-0.5202170187193111,-5.084628873901724,2032.3801501494265,245.10260503708287,2:15,5.114973366398463,1.8511488476842806,7.081233324070971,-28.00130701310171,8.223431909405214,13.872686984951532,2.537045724655023,-0.8093212527388863,78.33565879758424,-5.652094500896714,-1.511226523644241,0.4299616479407641,,,,,,,,,,,,-9.307492489510025,4.75804775803078,-1.5515326771790912,50.0,5.074726133918859,10.871150279243533,-125.98035300675373,-1.8197297329829396,-14.883259202563824,26.790191043189218,-24.565635379836323,Equipe Quebec,Trois Rivieres Aigles,,Independent,Frontier,06f67271-d890-4080-855e-14def1ac2362,094c9d6b-fa5d-11ec-a9fc-c59d1d646c90,86.88994035042448,5.112423421889072,1.855656518748919,-0.4888844319063641,-5.1408787172349175,78.4625240100049,2.5396019292526444,-0.8130363565339214,-5.610986437293498,-1.570395169346862,0.4298370336317288,14.416066392314809,6.6260843167214505,-3.632260191925535,27.362852833129704,2028.2975378483231,-128.7562529737315,99.79912162098202,-0.42014888576534626,-0.06335244563585457,-0.905241062602716,,,,,,,,,,,,,,,,,0.6875126872233893,1,,,high,high,65.37343245018313,-48.87593528064888,53.41876667592903,Jeffry Parra,,Equipe quebec
7,07/02/2022,7:17:10 PM,2,4,John Witkowski,1506176,Right,Equipe quebec,Elliott Curtis,,Left,Trois rivieres aigles,,1,Top,0,1,2,Slider,,InPlay,,LineDrive,Out,1,0,,78.76921533069861,1.517009691678445,-1.6352597136739173,2322.171963811537,339.25947390500835,5:15,4.955518399932222,1.9770252952682033,6.899817349409821,-43.8001259444486,-1.3064069105560492,0.41470650365997397,2.3629121233969412,-0.30008367021566246,72.98694463751008,-7.113907318266497,-2.5737704359891076,0.47288878533320394,,,,,,,,,,,,-0.7619978302625617,-1.4113341019276706,-1.874441557685841,50.00000000000006,5.034522664468784,3.2639067982872483,-114.76733165843474,1.993341924847615,-1.014842973857908,21.527989086311557,-34.05369076111179,Equipe Quebec,Trois Rivieres Aigles,,Independent,Frontier,06f67271-d890-4080-855e-14def1ac2362,19dabac5-fa5d-11ec-9bde-8d9816348d17,78.8874678480793,4.949604288748274,1.9824215595767938,1.5913984714013558,-1.7040811753813851,73.07287328004475,2.368156604796256,-0.30424650706065526,-7.03085025965648,-2.639491506591987,0.4727765476494415,1.071401243789318,-3.3391143980696874,-79.14738792438939,63.871991514747904,437.2259972187242,-2280.639396500118,18.828321245472097,0.17608128901942732,-0.9821147753229917,-0.06667794050153693,,,,,,,,,,,,,,,,,0.9952035399769052,1,,,high,high,32.51520763672685,36.555575571845374,53.60018265059018,Jeffry Parra,,Equipe quebec
8,07/02/2022,7:18:04 PM,3,1,John Witkowski,1506176,Right,Equipe quebec,Juan Kelly,,Switch,Trois rivieres aigles,,1,Top,1,0,0,Sinker,,BallCalled,,,,0,0,,88.21260932125227,-0.03206675601176879,-3.038450932384394,2144.2929079595497,237.79280783684956,2:00,5.111473154458868,2.0091431465763336,6.938702115454088,-24.73813410919014,10.04827493061796,13.214876377240941,2.9878812984096594,1.6830884071383858,79.98817137626543,-5.206819246978667,1.0576438419838994,0.42324685009189145,,,,,,,,,,,,-8.339166902372783,5.64110215255729,-1.8248171522550982,49.99999999999996,5.100748495258721,6.475548481930683,-128.4133417302342,-0.7033693476118407,-13.827149203546643,28.32932847103032,-22.820553961195564,Equipe Quebec,Trois Rivieres Aigles,,Independent,Frontier,06f67271-d890-4080-855e-14def1ac2362,3a2b1c9c-fa5d-11ec-b19b-b91457150ed8,88.37819338031967,5.10969044776949,2.0136103972137804,-0.01064143564406285,-3.0936915062537493,80.1240933395083,2.9897810722418083,1.679471268134617,-5.176418467024805,1.0002661732574245,0.4231158659777922,13.742970943149542,8.520810277663216,-4.766910628873537,97.18529400677275,2136.8758384739135,-178.1957521155651,99.65410185063317,-0.5311389153243101,-0.08310233711733502,-0.8431995340331684,,,,,,,,,,,,,,,,,0.9970457738104431,1,,,high,high,2.533235393904146,-32.633375803140076,53.56129788454591,Jeffry Parra,,Equipe quebec
9,07/02/2022,7:18:36 PM,3,2,John Witkowski,1506176,Right,Equipe quebec,Juan Kelly,,Switch,Trois rivieres aigles,,1,Top,1,1,0,Changeup,,BallCalled,,,,0,0,,80.55887643378627,-1.9419888889507992,-4.8019100592543955,1690.592394851814,245.6144637029604,2:15,5.047139202859974,1.823458661675103,7.065663027619258,-34.04931893106595,7.794840793910083,12.93448755928926,0.626658473243228,-0.505521579345597,73.37847484013697,-8.539234273834936,-0.8870489497972183,0.46289386783475883,,,,,,,,,,,,-8.687405124619533,4.909647581003611,-1.5392687772033558,50.00000000000001,4.919069339548627,9.533944784096462,-117.00099161551282,-4.747218323757132,-11.995197437230516,22.881127542072612,-25.395018190944764,Equipe Quebec,Trois Rivieres Aigles,,Independent,Frontier,06f67271-d890-4080-855e-14def1ac2362,4cc86c19-fa5d-11ec-a8bb-5f36f5dc9290,80.69992998938545,5.043314419044568,1.8275090349075518,-1.8962628718433838,-4.85087939496777,73.48816793457365,0.6301722330183885,-0.5087220792669046,-8.48396313804337,-0.9377630621882904,0.46276013375842384,13.398510858757975,5.901085994783318,4.008843724421837,18.48525042349827,1686.4559738752635,118.1900745038613,99.75532712739353,-0.41186433241525816,0.06991044965289876,-0.9085594645995733,,,,,,,,,,,,,,,,,0.8760600968632782,1,,,high,high,73.36327461885155,-23.342090971846414,53.43433697238074,Jeffry Parra,,Equipe quebec
10,07/02/2022,7:19:06 PM,3,3,John Witkowski,1506176,Right,Equipe quebec,Juan Kelly,,Switch,Trois rivieres aigles,,1,Top,1,2,0,Changeup,,BallCalled,,,,0,0,,81.32586123829518,0.9386475469062607,-0.6076706727076912,,,,4.963080736541372,1.6942546995550662,7.085893473774183,,,,1.9626702244880592,1.8489005654284296,75.10527648603475,-7.026506460522931,1.3024903601085696,,,,,,,,,,,,,,,,,,,,,,,,Equipe Quebec,Trois Rivieres Aigles,,Independent,Frontier,06f67271-d890-4080-855e-14def1ac2362,5efb8d4a-fa5d-11ec-8ed1-e5a2aa471bf9,81.45216951505786,4.95844649687856,1.69425469955506,0.997245749904472,-0.6076706727076343,75.20266650892296,1.966931119725341,1.8489005654284258,-6.959507220886038,1.3024903601085376,0.455410924990536,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,53.414106526225815,Jeffry Parra,,Equipe quebec
