PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,07/06/2022,8:00:50 PM,1,1,Ryan Williamson,,Left,Tri-city valleycats,David Glaude,1506179,Left,Equipe quebec,Stretch,1,Top,0,0,0,Fastball,,Foul,,,,0,0,,87.48623420134592,-1.4816502610950069,6.318900575849423,1884.5075777333145,145.54419711919027,10:45,6.1630597033634915,-3.0730230369659632,4.7453343278206495,-22.64265836490362,13.550822422141675,-7.386765497773093,2.5406633726705654,-1.0061125594970048,80.12663139695367,-6.705778707923009,2.9783403932685113,0.4354394016262988,,,,,,,,,,,,5.945079966387047,7.916834501051447,2.5892761841979928,50.00000000000005,6.036369878449174,-13.784455024848075,-126.56687917232395,-3.989608559581288,9.610840109669866,26.650835184083753,-19.375663190103722,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,15d05d32-84d5-4cf9-b565-8da7c8bd7fee,dd5a27c7-fd87-11ec-8513-2b7ea9b2dfb4,87.66427069668333,6.162147949624516,-3.07595280316949,-1.4711911483227982,6.354566952107203,80.27578772372358,2.5419229350111787,-1.003751932487326,-6.685614164954635,3.0149726241595687,0.43529409967310234,-7.7342668202471945,12.206816276838083,24.45194118099373,88.43721934426117,1715.4838080539055,780.0539179051375,91.03087874644098,-0.7506068180059369,0.41392983881942585,0.5150257210061711,,,,,,,,,,,,,,,,,0.9975247675870963,1,,,high,high,10.406502590164964,71.19059919485841,54.40466567217934,,,
2,07/06/2022,8:01:13 PM,1,2,Ryan Williamson,,Left,Tri-city valleycats,David Glaude,1506179,Left,Equipe quebec,Stretch,1,Top,0,0,1,Fastball,,BallCalled,,,,0,0,,89.5736037924524,-1.0042047731088135,6.190923993416199,1905.7043905411415,150.1117389808599,11:00,6.147768952120024,-2.8915048598194404,4.826946717926485,-20.73004523375239,13.749616817647858,-6.3386029191847095,3.129677750320862,-1.1668024076830688,81.81472749190092,-5.95271624995057,2.66644350960579,0.4245278107360797,,,,,,,,,,,,5.356320090851717,7.929299803009661,2.425893959429836,49.999999999999986,6.0609379381363,-13.86377872988182,-129.65488425224638,-2.9246930620247595,9.08199887187662,28.09867396831606,-18.729391566270973,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,15d05d32-84d5-4cf9-b565-8da7c8bd7fee,ea94dd28-fd87-11ec-8cdb-fd5ca98f499e,89.75819051333835,6.147199634497139,-2.8941660653499715,-0.9980137837298494,6.222678528563316,81.96810522029318,3.1306382074730186,-1.1647378093389706,-5.937058475861238,2.698743191641821,0.4243832962043858,-6.645499601096649,12.487841762355883,25.721267322261852,77.60324231920708,1716.8795573613902,827.0633649499541,90.09159898476527,-0.7810931387082726,0.43399352441807737,0.44893555152831793,,,,,,,,,,,,,,,,,0.990689256688376,1,,,high,high,20.15708191271366,-12.428498452709013,54.32305328207351,,,
3,07/06/2022,8:01:28 PM,1,3,Ryan Williamson,,Left,Tri-city valleycats,David Glaude,1506179,Left,Equipe quebec,Stretch,1,Top,0,1,1,Slider,,BallCalled,,,,0,0,,79.66426144623422,-1.9566532532175362,8.258110018560068,2400.5698568324124,26.703831309620682,7:00,5.992033230367052,-3.045595640712838,4.796501506504311,-39.96080501814544,1.8408784319919818,1.7514435023654342,0.2921141049177929,1.8437716574956868,75.65265502522811,-10.574862056366023,6.136912166244222,0.46533788169225077,,,,,,,,,,,,0.6895762459736909,1.9034301081534952,3.2439699483720617,49.99999999999994,6.311994770824872,-12.07822557653489,-118.23456979816186,-7.7249407324790935,0.9747955315594693,22.832055165058343,-29.483331663366428,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,15d05d32-84d5-4cf9-b565-8da7c8bd7fee,f33053d7-fd87-11ec-86a4-dff0e35a6112,79.78649676650365,5.986631157434152,-3.0509031833437628,-1.8924954278064094,8.321401242791294,75.73583496578266,0.29690754552116133,1.8472608932505332,-10.50173761361985,6.189918068827384,0.46524151018209586,1.1874273151887242,-0.09858739884097768,83.22849222032517,4.102823078740472,283.0515659411001,2383.8241228225456,11.791015584715824,0.10533401672232688,0.9930242671496496,0.05298631684729276,,,,,,,,,,,,,,,,,0.9951249749344704,1,,,high,high,93.69254077086642,10.369724739852005,54.353498493495685,,,
4,07/06/2022,8:01:47 PM,1,4,Ryan Williamson,,Left,Tri-city valleycats,David Glaude,1506179,Left,Equipe quebec,Stretch,1,Top,0,2,1,Fastball,,Foul,,,,0,0,,87.57979031040436,-0.7378804961462989,6.798716125938079,1924.7960152979213,147.78951854795474,11:00,6.0710288218027335,-2.990564102903689,4.8762528185990135,-22.44256875437901,13.4164436737831,-6.500239730257888,3.137524002536481,-0.44071989953727986,80.24644141236972,-5.957160392972766,3.6774341944528333,0.43422098609184556,92.35835087553257,23.82050837923255,44.64491086611583,2828.4711695866563,,,,285.835892942954,,55.8725349976073,3.171105256315651,5.6415514550984724,7.707199147018815,2.48440545426708,49.999999999999986,6.004258882501317,-14.897968907777136,-126.63694508776095,-2.3168279624768187,9.127556566964262,26.75151674666636,-19.704448493609533,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,15d05d32-84d5-4cf9-b565-8da7c8bd7fee,fec20ae8-fd87-11ec-861d-e324d867058b,87.75985602700314,6.0701800967591035,-2.9934238142014387,-0.7282231372605694,6.83354199204717,80.39859925121115,3.1387523759530187,-0.43841509206954266,-5.937419248292506,3.713149775245072,0.4340738942103253,-6.836007688245086,12.0897977339294,32.617924242700745,83.60599650906084,1621.2245127191547,1037.5310982641893,84.22838055741822,-0.7126526806349441,0.5390343132560982,0.4489634349435988,59.372624664164654,60.113144153249905,37.30102300134425,0.4784020792691467,2.6076851350579537,3.261162620282749,236.61252101465968,160.36418737855132,29.310790280559733,-51.698629697194825,0.03611375978395914,0.3443688146904244,0.17212874763146094,-0.9229202640030919,,,0.9958273480815062,1,0.7030631793985123,49.64449675072006,high,high,14.754603141845271,-30.903895959843023,54.27374718140098,,,
5,07/06/2022,8:02:12 PM,1,5,Ryan Williamson,,Left,Tri-city valleycats,David Glaude,1506179,Left,Equipe quebec,Stretch,1,Top,0,2,2,Slider,,StrikeSwinging,Strikeout,,,1,0,,79.84285990510007,0.8811535637255058,6.146547168425704,2463.6384633639864,331.5013567190486,5:00,6.027406258289904,-2.964961124720443,4.788919764345998,-45.22786574900621,-1.3271199082795064,4.792228358986718,2.7799885937216793,-0.014135173358112865,74.59706986221427,-8.574558479769731,4.416616421420822,0.4768782024134379,,,,,,,,,,,,-0.8002306745085975,-0.9831981029851783,2.4928299095644024,50.000000000000036,6.0714396723999835,-12.57740861333416,-115.56552079264554,0.5414368234113826,-1.0763922164937543,22.617912526265822,-33.49655173323967,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,15d05d32-84d5-4cf9-b565-8da7c8bd7fee,0dfafb9e-fd88-11ec-af59-a7aebcd30fc4,79.95562068255339,6.0201608540024525,-2.968941567575214,0.969165574712686,6.195809417368541,74.67293718579988,2.7863002328131037,-0.011522510058706558,-8.476838198309322,4.456878292862828,0.47677472845715696,4.331023104446479,-3.6591267947799824,74.12358982566546,0.0308522561429347,673.9608613102492,2369.6605739194824,27.356321608568585,0.24041512654445318,0.9618540257257628,-0.13052739223533963,,,,,,,,,,,,,,,,,0.9950987831413712,1,,,high,high,89.97223296947136,-1.3526933368253256,54.36108023565399,,,
6,07/06/2022,8:02:39 PM,2,1,Ryan Williamson,,Left,Tri-city valleycats,Tristan Pompey,,Right,Equipe quebec,Stretch,1,Top,1,0,0,Fastball,,Foul,,,,0,0,,88.07850937223205,-1.1519952876741393,7.72128220814236,2044.0991384749227,144.60894444572847,10:45,6.0856211092706065,-2.8089855924510467,4.815468823652319,-22.282351211297165,13.933924603418237,-7.565659447015125,2.8216565387251946,0.12952817925310448,80.78521279238713,-6.288111960649759,3.302709778095637,0.4331351377185624,,,,,,,,,,,,6.356110294940467,7.929412659889236,2.2251767110961342,50.0,5.986227224748809,-17.00053305233244,-127.07277222180409,-3.2514804425306383,10.359049360527209,26.83083317537021,-19.250866486240508,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,15d05d32-84d5-4cf9-b565-8da7c8bd7fee,1e1858e8-fd88-11ec-b576-0dee7b1392ae,88.26334858463301,6.084855237169841,-2.812338396389876,-1.1435878459619202,7.760503545249523,80.93613596618714,2.8227829319649764,0.1320184964010219,-6.269697036389762,3.3418711080210466,0.43298818941654854,-7.930857581911699,12.630017853562324,33.5729757830563,90.97437744134012,1703.1069327387215,1130.384033667861,83.31821586742552,-0.6792252741602379,0.5529986351401854,0.4825407096557153,,,,,,,,,,,,,,,,,0.9964627132419036,1,,,high,high,8.123060302794004,-47.656305613668444,54.334531176347674,,,
7,07/06/2022,8:03:27 PM,2,2,Ryan Williamson,,Left,Tri-city valleycats,Tristan Pompey,,Right,Equipe quebec,Stretch,1,Top,1,0,1,Changeup,,StrikeCalled,,,,0,0,,81.9375715255414,0.5986772311713446,6.113714288612816,1678.123883200047,129.78298256084338,10:15,6.063767016428532,-2.8509536221204206,4.985255751291196,-33.4057660567142,7.441373315665466,-4.770321895315749,2.999905249693342,-0.9812019565538953,75.26731977683531,-7.465139262747532,2.3525425324898963,0.461990074276393,,,,,,,,,,,,4.605252332272998,4.253853530501147,2.4073688248528935,49.999999999999964,6.091711285463768,-12.568776780764836,-118.68125434496523,0.3423559762366635,6.559966213090554,22.984572533588377,-26.114634504666014,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,15d05d32-84d5-4cf9-b565-8da7c8bd7fee,3a81e1ca-fd88-11ec-9074-ebba4182ce81,82.09818014989789,6.060644506835076,-2.854546170552037,0.6365816865298219,6.158125251782456,75.39175576601637,3.003127229004168,-0.9783874894736065,-7.414402205025379,2.3967657801776627,0.46184432586038726,-5.203683453244203,5.7371324218406965,62.24025741280326,12.500485476206128,781.6113511287263,1484.986014463817,46.57649884812177,-0.2980343916060431,0.8849084560027048,0.3579281015999227,,,,,,,,,,,,,,,,,0.62440501969963,1,,,high,high,101.25043692858551,-5.416054248953505,54.1647442487088,,,
8,07/06/2022,8:03:43 PM,2,3,Ryan Williamson,,Left,Tri-city valleycats,Tristan Pompey,,Right,Equipe quebec,Stretch,1,Top,1,0,2,Fastball,,BallCalled,,,,0,0,,89.60894322325137,0.6146621908160288,7.213720668169226,1973.4378990515945,147.9954730950889,11:00,6.054811853958595,-2.6426487068268947,4.910429937990757,-21.015786830962853,13.797678697859666,-6.979369961407037,4.709740070921817,0.24895752892171857,81.81962640293186,-3.983284084197241,3.3049209536460964,0.4207406496081187,,,,,,,,,,,,5.050454046980289,7.33390300752653,3.087130719422344,49.99999999999995,6.4725487581703405,-10.276943769591268,-130.65421346975373,-0.7411291268165473,8.690787743766881,28.68399653975718,-19.553918053490406,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,15d05d32-84d5-4cf9-b565-8da7c8bd7fee,44159d94-fd88-11ec-800b-83bc815018a0,89.79711876673868,6.054290045793518,-2.64555267062115,0.620276050969538,7.248725536603046,81.97722044184783,4.710671410606789,0.2512367466388971,-3.9679559758664418,3.3406948374884124,0.42060731643015536,-7.303446687501016,12.51810739462684,30.97497236475932,94.30488444630197,1692.0102472225144,1015.6566667467787,85.73921925973296,-0.7270739165106628,0.5146636067113581,0.4544060869494404,,,,,,,,,,,,,,,,,0.9582288569387915,1,,,high,high,5.125603998328619,-56.83132174617231,54.239570062009236,,,
9,07/06/2022,8:04:02 PM,2,4,Ryan Williamson,,Left,Tri-city valleycats,Tristan Pompey,,Right,Equipe quebec,Stretch,1,Top,1,1,2,Changeup,,Foul,,,,0,0,,82.51657266219821,-1.0251795505232357,7.381033744213573,1720.5891385604045,110.19961379629692,9:45,6.047245577299124,-2.6957461041947237,4.8977844615610175,-34.61657148578084,6.338044411456906,-6.411778367906145,1.7623339329554268,0.7238955476098303,75.9347861254835,-9.154173141969872,3.880215771806756,0.46059895786689176,,,,,,,,,,,,5.573017118443823,3.7510627314935507,2.1480949344665206,50.0,5.95332802734278,-15.260253022471453,-119.1852926143685,-3.11752848575695,8.013655652986953,22.977687172664314,-26.780252218419744,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,15d05d32-84d5-4cf9-b565-8da7c8bd7fee,4f4dd31e-fd88-11ec-9c26-6f7e2d078ef5,82.67126432036662,6.043646079759871,-2.6998629944448416,-0.9820417474181536,7.430830914797284,76.05292838876603,1.7658475013695807,0.7270689794420355,-9.099390032689847,3.9297601601359395,0.4604606005159613,-6.874414225362282,4.6754017611132745,61.91722745126266,7.397075429373599,809.9615166382017,1518.0215167438105,47.074661724058444,-0.16254498120077923,0.8822684525452253,0.441793511416693,,,,,,,,,,,,,,,,,0.9961178491993411,1,,,high,high,96.65736788643623,-6.093260733780013,54.252215538438975,,,
10,07/06/2022,8:04:23 PM,2,5,Ryan Williamson,,Left,Tri-city valleycats,Tristan Pompey,,Right,Equipe quebec,Stretch,1,Top,1,1,2,Slider,,BallCalled,,,,0,0,,79.67964884821004,-0.4137945013693146,6.482329573970086,2463.909184761732,313.9431115502877,4:30,6.033227705986219,-2.7755291716962884,4.771605328877772,-42.2074550309258,-0.22277706593461488,6.290510101120283,1.733353854524504,0.7866470890313345,74.89376372189979,-9.158311362538399,4.873704233848129,0.4784549260416478,,,,,,,,,,,,-1.451267914701396,0.6570327423852951,2.2748085874459956,49.99999999999992,5.97886990107494,-13.266597826745086,-115.2558332026323,-2.028460247838776,-1.9400961353394481,22.656640656368136,-31.29570956939771,Tri-City ValleyCats,Equipe Quebec,bru02,Independent,Frontier,15d05d32-84d5-4cf9-b565-8da7c8bd7fee,5c18d528-fd88-11ec-bf5a-e1a9eaba9c72,79.79398503544357,6.026399129837568,-2.7787345735489266,-0.3321124500119197,6.521425798448824,74.97366329874393,1.739242708731741,0.788668250135618,-9.06804812859416,4.904501315065259,0.4783444367144207,5.938001519949655,-2.506262466183438,76.66382590970487,1.309612773400785,568.3354017591138,2397.4660251733553,23.06641029117612,0.16006792463597497,0.9730334380831485,-0.16608488153597664,,,,,,,,,,,,,,,,,0.9920211013724356,1,,,high,high,88.82134850393929,-6.569438383615011,54.37839467112222,,,
