PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,07/23/2022,7:08:52 PM,1,1,Miguel Cienfuegos,,Left,Equipe quebec,Chase Dawson,1390985,Left,Schaumburg boomers,,1,Top,0,0,0,Fastball,,StrikeCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equipe Quebec,Schaumburg Boomers,,Independent,Frontier,94eeacb1-32c2-4645-9aae-ae495e8b1589,ef09db2d-d149-4bb2-af30-5c80ef045170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeffry Parra,,Equipe quebec
2,07/23/2022,7:09:01 PM,1,2,Miguel Cienfuegos,,Left,Equipe quebec,Chase Dawson,1390985,Left,Schaumburg boomers,,1,Top,0,0,1,Changeup,,InPlay,,GroundBall,Single,0,0,,86.78818504812025,-1.4604393204024433,2.832723013716612,1468.3840868590257,138.17955246812747,10:30,6.356101304466989,-1.8573661835817459,6.6640986020161455,-25.932153892218917,10.062662323699765,-6.972865630729673,2.6462635990857977,0.09384757496702441,80.4350854214551,-7.053769506030088,0.9760634235396389,0.43180881384285646,98.87586855479816,-5.556330878419282,2.6285029607483983,2290.9425475697262,,,,22.25248562857534,,2.1512664761008184,0.15158267913320622,4.680597522448932,6.002859720158154,1.670420007383171,49.99999999999999,6.247560976204387,-6.060376442301811,-126.29347256331725,-3.9256002548318016,7.538566403531783,26.391204210606116,-22.505848807262307,Equipe Quebec,Schaumburg Boomers,,Independent,Frontier,94eeacb1-32c2-4645-9aae-ae495e8b1589,70fe73ba-0adc-11ed-a0b7-2de4cf97c844,86.95212244639394,6.35411842577266,-1.8601066166169045,-1.4366043023014323,2.8665202575950994,80.57286267703955,2.648276831663731,0.09601497442118093,-7.02187117938758,1.0102005656661366,0.4316713893405567,-7.279110147918852,8.640759463115371,27.24324283951089,5.423661800912194,1305.4979031605499,672.1808174771298,88.907113257615,-0.6625696658430946,0.4577690697499799,0.5928312716825993,4.513136349630571,98.30775831715872,-9.573590622670181,-0.10504128470391233,0.8476796908838977,2.6207802081016522,0.835310730012108,22.23680221241981,-0.11770244581137145,-1.638504898629921,-0.02004895890758754,-0.9783517399729393,-0.03982743230819989,0.2030803991715053,,,0.9966316973005347,1,0.9953039542413437,57.24267349472985,high,high,85.11870437917904,23.077916162342643,53.835901397983854,Jeffry Parra,,Equipe quebec
3,07/23/2022,7:09:33 PM,2,1,Miguel Cienfuegos,,Left,Equipe quebec,Alec Craig,1475969,Left,Schaumburg boomers,,1,Top,0,0,0,Fastball,,StrikeCalled,,,,0,0,,92.18020020094573,-1.9619794262842036,3.037091658004362,1968.878441834015,137.99848733425625,10:30,6.262566554806562,-1.9658315470375496,6.536400128016785,-19.90577803877481,12.242590690865942,-9.339157987417133,2.853075084756448,-0.04261623786651259,84.56876717921345,-6.044436082937122,0.8487940982919459,0.40808533939363917,,,,,,,,,,,,6.046244913967249,7.337970899730678,1.7595944669237857,49.99999999999997,6.117944521322566,-6.836190109828579,-134.03825045421388,-5.185272256503522,10.949445779728393,30.20956590205907,-18.885352941539022,Equipe Quebec,Schaumburg Boomers,,Independent,Frontier,94eeacb1-32c2-4645-9aae-ae495e8b1589,844fe0b5-0adc-11ed-a46f-2903487c70a9,92.35844176763412,6.26179392826985,-1.9691889161134135,-1.9532763418201442,3.0772815770140816,84.71877211879917,2.854055083463939,-0.04002588607820193,-6.028542772810618,0.8896535598845433,0.4079527647328998,-9.70389583972032,11.03495094398695,13.264902589463258,7.517878416420149,1916.347997555882,451.7661684791142,97.33196102095563,-0.7233002372233993,0.22945356040279102,0.6512970370353739,,,,,,,,,,,,,,,,,0.997026455552194,1,,,high,high,96.76609057477812,3.324168075162267,53.96359987198321,Jeffry Parra,,Equipe quebec
4,07/23/2022,7:09:49 PM,2,2,Miguel Cienfuegos,,Left,Equipe quebec,Alec Craig,1475969,Left,Schaumburg boomers,,1,Top,0,0,1,Fastball,,HitByPitch,,,,0,0,,93.24758657590799,-1.1820421708533158,0.5221148367063181,2019.651606100193,142.7382732953469,10:45,6.46564726293616,-1.95011448626188,6.289322624699456,-18.683130577915854,12.981151093262604,-8.54586361471774,3.8362259580803073,-1.6832967760335646,85.22388850376457,-4.9322475147601015,-0.07988145117025476,0.40500123031551816,,,,,,,,,,,,4.837274047699157,7.463080205385729,1.91589020185414,50.000000000000064,6.369696378276639,-0.9687552831376959,-135.75568657701783,-3.387939388231112,8.970248889955998,31.472412007782314,-18.33450147111564,Equipe Quebec,Schaumburg Boomers,,Independent,Frontier,94eeacb1-32c2-4645-9aae-ae495e8b1589,8da31a7a-0adc-11ed-b348-dbf755741e68,93.43433515093163,6.465222335423586,-1.953355514941734,-1.1777381070156383,0.5603657569205226,85.38084331115428,3.836920050535343,-1.6808755975772258,-4.92075666598257,-0.04142530748830348,0.40486384024199834,-8.894106219891848,11.769598603639421,14.681874703208615,7.053899462674234,1953.7058997101458,511.8846231924336,96.73479791312207,-0.7698910722317779,0.25345194272434307,0.5856875016824754,,,,,,,,,,,,,,,,,0.9973110956028785,1,,,high,high,96.3485095164068,7.706498526079095,54.21067737530054,Jeffry Parra,,Equipe quebec
5,07/23/2022,7:10:31 PM,3,1,Miguel Cienfuegos,,Left,Equipe quebec,Mike Hart,,Left,Schaumburg boomers,,1,Top,0,0,0,Fastball,,BallCalled,,,,0,0,,91.56601803931412,0.06833247539861773,3.3348194758734344,1565.7422115738545,134.5472251306249,10:30,6.342378158879885,-1.5263799829871718,6.788076810050275,-22.406058783934704,9.810675544261706,-8.196297108403057,4.542074326089722,0.4551239229990854,84.36934269749793,-4.496355976954196,1.1597460952723009,0.4085190189718294,,,,,,,,,,,,5.535397709308294,5.450954556474607,1.313245094412326,50.0,6.338183404794709,-7.536823092460102,-133.24573560873245,-0.46225223121154535,9.91347980738227,29.656086464623538,-22.411801096483245,Equipe Quebec,Schaumburg Boomers,,Independent,Frontier,94eeacb1-32c2-4645-9aae-ae495e8b1589,a6e70973-0adc-11ed-a034-9539ba22fe87,91.7420346081273,6.3408328967903165,-1.5293544679846174,0.08630276539218232,3.3705546777350395,84.51709955589263,4.543627798705242,0.4574104874306902,-4.4713730316160785,1.1958700881666111,0.4083881192005619,-8.519548682868367,8.538733554055995,17.41173211268685,4.472478672075737,1493.9984549876644,468.5267223954858,95.41790749103745,-0.6693536740028253,0.2992361826437135,0.6800171807357057,,,,,,,,,,,,,,,,,0.997160585528714,1,,,high,high,94.02523080486816,9.797660489943631,53.71192318994972,Jeffry Parra,,Equipe quebec
6,07/23/2022,7:10:53 PM,3,2,Miguel Cienfuegos,,Left,Equipe quebec,Mike Hart,,Left,Schaumburg boomers,,1,Top,0,1,0,Changeup,,BallCalled,,,,0,0,,85.9629388295987,-0.3447890508858261,2.223702813415386,1288.4233842034464,132.36413183470512,10:30,6.348158131314591,-1.8865648896338472,6.778150349586556,-27.677782368620317,8.80307020364624,-7.573496479256003,3.7642140014643997,-0.22990687336555507,79.78920138224444,-5.832648284351609,1.243873813752475,0.43471438560880943,,,,,,,,,,,,4.860215403335234,5.005528911596512,1.7449765948976543,50.00000000000004,6.315026110866173,-4.6640238078701435,-125.20998028635503,-1.4774152073439897,7.690717227729569,26.044557759223636,-24.25339088270539,Equipe Quebec,Schaumburg Boomers,,Independent,Frontier,94eeacb1-32c2-4645-9aae-ae495e8b1589,b416bcb8-0adc-11ed-a6c0-872b7fca33ac,86.12445385051333,6.345692044481854,-1.889269992503061,-0.3152319239416646,2.2569200376541305,79.92446845178571,3.766515718733606,-0.2278061306515821,-5.795673473903367,1.2773655748132189,0.4345776906207613,-7.873726297759693,7.29893225810917,17.70501631726342,5.498189969733199,1227.3970280224853,391.830770312685,95.2634858285586,-0.6419234438127298,0.3041164691022199,0.7038802920272761,,,,,,,,,,,,,,,,,0.9966374478047793,1,,,high,high,85.05162902724015,15.988022916479453,53.72184965041344,Jeffry Parra,,Equipe quebec
7,07/23/2022,7:11:14 PM,3,3,Miguel Cienfuegos,,Left,Equipe quebec,Mike Hart,,Left,Schaumburg boomers,,1,Top,0,2,0,Fastball,,Foul,,,,0,0,,92.97627405223488,-1.8549190017224453,1.8728561612832166,1774.6621517241113,139.94019749824258,10:45,6.307619108642953,-1.7835534840931038,6.482635172197369,-20.068322146188187,11.533550395438464,-8.184345168658375,3.1342911288931976,-0.3852810862267969,85.64732098028716,-5.522628799339668,1.0777702386645256,0.404601912225705,,,,,,,,,,,,5.058094221600906,6.900351569089123,1.6558369692846004,49.99999999999996,6.168499338971962,-4.178023337370593,-135.31191585398048,-4.989099968056717,9.337083080913116,30.72109610728524,-19.436217298703806,Equipe Quebec,Schaumburg Boomers,,Independent,Frontier,94eeacb1-32c2-4645-9aae-ae495e8b1589,c0c46768-0adc-11ed-950c-29ec92fe76da,93.1560282592584,6.3066501365703065,-1.7865522755041165,-1.844066461292815,1.9084449747415542,85.80026383876101,3.135365592481907,-0.3829993554445258,-5.505272953851873,1.113744261255358,0.40447043820595246,-8.507658181019453,10.327808826870813,14.222926374927813,76.61268157314231,1720.263635569797,436.026119513771,96.93471142654025,-0.7419122213747427,0.24569528295296375,0.6238590255093357,,,,,,,,,,,,,,,,,0.9974008050339901,1,,,high,high,21.048586584172373,-14.599216575169232,54.01736482780263,Jeffry Parra,,Equipe quebec
8,07/23/2022,7:11:40 PM,3,4,Miguel Cienfuegos,,Left,Equipe quebec,Mike Hart,,Left,Schaumburg boomers,,1,Top,0,2,1,Fastball,,StrikeSwinging,,,,0,0,,93.12001852432732,-1.3531646729755784,2.102794444967145,1762.9731940652312,136.14045080374302,10:30,6.304755055825348,-1.88856564134256,6.6399496295882185,-20.537555725154924,10.766936603684275,-8.660283956877963,3.0599973077883296,-1.192687477114959,84.3332736642624,-6.398942663531302,-0.5064290557404987,0.4026937182919462,,,,,,,,,,,,5.415537932501007,6.366222271298367,1.7504202461514378,50.00000000000001,6.20501206942922,-4.725133236085847,-135.57003632889808,-3.8036033062284433,10.034120605166887,30.865026232115728,-20.378463835203412,Equipe Quebec,Schaumburg Boomers,,Independent,Frontier,94eeacb1-32c2-4645-9aae-ae495e8b1589,cf8f4e35-0adc-11ed-95dc-b3a5bc8d78b0,93.29792429912133,6.30363287459941,-1.891717245438002,-1.3403028351729531,2.1405402599618735,84.47880570161908,3.0613166423941847,-1.1902684075979464,-6.377648772837843,-0.46783690126759603,0.40256435664160145,-9.002077954444818,9.554074779101034,16.060979308659217,8.999551160153183,1694.1604592087092,487.7446272859382,96.09677928807034,-0.6928966724502473,0.276660262860407,0.6658478056293232,,,,,,,,,,,,,,,,,0.994817218957586,1,,,high,high,98.09959604413784,13.152534715902524,53.86005037041178,Jeffry Parra,,Equipe quebec
9,07/23/2022,7:12:07 PM,3,5,Miguel Cienfuegos,,Left,Equipe quebec,Mike Hart,,Left,Schaumburg boomers,,1,Top,0,2,2,Slider,,BallCalled,,,,0,0,,85.90671574888165,-1.7749261715040774,4.201065695953041,1845.2463897679875,170.0787640684269,11:45,6.3352313270799225,-1.8015939183995002,6.730491592466849,-30.740728149097755,5.9503444352725055,0.8557693708431541,2.2489491388481904,2.2836293201965976,78.78644301985084,-7.81611822709899,4.922037734390658,0.43596510184791276,,,,,,,,,,,,0.7021244338822443,3.807024334914265,1.5243680059227327,50.00000000000008,6.205891877720787,-9.192335915126023,-124.83638517048016,-4.690364774936686,1.1072364239328418,25.289971937001265,-26.170447080517707,Equipe Quebec,Schaumburg Boomers,,Independent,Frontier,94eeacb1-32c2-4645-9aae-ae495e8b1589,dfaa828f-0adc-11ed-bcce-3fb907d95249,86.0523770322997,6.331845325719016,-1.8040288905225486,-1.7337426380978287,4.2311300453607,78.90485258390662,2.252079539928188,2.2854389847689145,-7.766664685872388,4.950437203177455,0.4358413998837706,0.5807195540047722,4.431713343143353,80.08682647480224,36.403698644129605,317.6694645164514,1817.696440626328,17.215558110718952,-0.16958108653283901,0.9850697720941628,0.029661409216284327,,,,,,,,,,,,,,,,,0.9952663075896129,1,,,high,high,57.236671220283455,57.044264458754576,53.76950840753315,Jeffry Parra,,Equipe quebec
10,07/23/2022,7:12:48 PM,3,6,Miguel Cienfuegos,,Left,Equipe quebec,Mike Hart,,Left,Schaumburg boomers,,1,Top,0,3,2,Fastball,,StrikeCalled,Strikeout,,,1,0,,95.77444961076331,-3.238849065849805,2.2140150712672813,1911.8791772495438,139.75693665472278,10:45,6.317420620433226,-1.655328515939914,6.8586017571841476,-18.00494300620744,11.75795855561162,-8.283306575041351,2.1655717921150357,0.5370018364397193,87.02719510917166,-6.372131663272803,2.103128913844006,0.39265321378948664,,,,,,,,,,,,5.689305472224227,7.417995350562253,1.9074277924122311,49.999999999999936,6.159534009969429,-8.686877192957049,-138.4100177211722,-7.63352453231899,11.002710016873415,31.77776126235952,-17.82817693999436,Equipe Quebec,Schaumburg Boomers,,Independent,Frontier,94eeacb1-32c2-4645-9aae-ae495e8b1589,f7c9f891-0adc-11ed-82fa-a10a1b3743e5,95.95125172145615,6.316831787751534,-1.6582351015074501,-3.2321804308574635,2.249534270822048,87.17850875198255,2.1664031385208324,0.539345754985583,-6.358608067543398,2.13991466741968,0.3925397478317191,-8.62401491207995,10.693673184284412,16.815778041868757,96.5978756155412,1830.1269698296453,553.0978780492235,95.72398672506553,-0.7306714223992505,0.2892954139732396,0.618407176497094,,,,,,,,,,,,,,,,,0.9966081129232255,1,,,high,high,3.0619119460130624,-73.70952203074532,53.64139824281585,Jeffry Parra,,Equipe quebec
