PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,07/26/2022,7:08:28 PM,1,1,Codie Paiva,,Right,Equipe quebec,Connor Owings,,Right,Lake erie crushers,,1,Top,0,0,0,Fastball,,StrikeSwinging,,,,0,0,,88.14581572401022,-3.5649453287273016,-3.0541282319438983,2064.1798266609753,196.803036490423,12:30,6.3265068919598315,1.040182020539949,7.071815870446361,-18.35079965401737,16.1421487744738,4.047167794874879,1.6233186069252536,-0.5496191829492005,80.31567994906968,-7.270765346021849,-0.5424727782009481,0.4227043157912627,,,,,,,,,,,,-3.1653458198447733,10.130384717534215,-0.8586146280697379,49.99999999999996,6.10653240181664,6.734842567053631,-128.1145816568041,-8.44967528207513,-5.2398899319165455,27.453887747267043,-15.404286056512444,Equipe Quebec,Lake Erie Crushers,,Independent,Frontier,616a88c8-625b-4e39-9b43-954b59f33ecc,dc684440-0d37-11ed-ab0f-df35e8b612ad,88.31942883186231,6.326528265458673,1.041758145933063,-3.5658573259777953,-3.0735005494738705,80.46428262697032,1.6237801791748065,-0.5508795944676066,-7.262832158485186,-0.5627536177962928,0.42256337720459225,4.221232597439024,14.96499029873785,-13.761448517445459,71.6225241072644,2004.9266300269153,-491.0270511927527,97.12945568652765,-0.9298243377833364,-0.2378799777280257,-0.2807842892006136,,,,,,,,,,,,,,,,,0.9939522454228977,1,,,high,high,25.53972830346243,62.230168658084615,53.428184129553635,Jeffry Parra,,Equipe quebec
2,07/26/2022,7:09:12 PM,1,2,Codie Paiva,,Right,Equipe quebec,Connor Owings,,Right,Lake erie crushers,,1,Top,0,0,1,Fastball,,InPlay,,FlyBall,Out,1,0,,89.84008479257427,-2.469763607330821,-2.7185896262198055,2275.9801043133025,194.56462898387193,12:30,6.469631313758348,0.9614872534770031,7.003036708590309,-16.266183329991186,17.149700854593817,3.839390708261619,3.0782504534011905,-0.7516521517257697,81.61088819207161,-5.382173250092968,-0.8605982081610516,0.41509908008345825,,,,,,,,,,,,-2.972323089401907,10.389608516599392,-0.7967655575115824,50.000000000000014,6.313096081049519,6.107523577106988,-130.71997489293966,-6.059516362886642,-5.113081967787109,29.054205688825697,-14.301524170439885,Equipe Quebec,Lake Erie Crushers,,Independent,Frontier,616a88c8-625b-4e39-9b43-954b59f33ecc,f72a995c-0d37-11ed-9c35-57a9aaace0bc,90.02045676148198,6.470265031494147,0.9629178849712383,-2.478324897254881,-2.7364115357685996,81.76773235820318,3.0781839338372357,-0.7528233692625431,-5.382601102802653,-0.8793680514807006,0.41495854912997215,4.014150770133855,16.009371520426843,-10.572125220959363,94.02490937050257,2237.344718600402,-417.5811841796521,98.30247260774902,-0.9514348320587992,-0.18347312588026451,-0.2472030995456353,,,,,,,,,,,,,,,,,0.9968956590308108,1,,,high,high,5.377581566547881,64.18461952164297,53.49696329140969,Jeffry Parra,,Equipe quebec
3,07/26/2022,7:10:13 PM,2,1,Codie Paiva,,Right,Equipe quebec,Kemuel Thomas-rivera,,Right,Lake erie crushers,,1,Top,1,0,0,Fastball,,StrikeSwinging,,,,0,0,,90.91050021784628,-3.154279214456723,-2.0848634038910845,2244.385378124599,196.5813592612923,12:30,6.428644651742513,0.7693157199235092,6.92532774620035,-15.79945884332392,16.774778251805245,4.317667824194051,2.427549278077972,-0.11903069606753129,82.68144181154773,-6.103102159165432,0.11595626231366483,0.4107793931589815,,,,,,,,,,,,-3.0313479475883875,10.329339068056964,-0.6407326309884536,49.99999999999999,6.225853668200851,4.6994248268298815,-132.24859194399605,-7.713360268037664,-5.340842595263624,29.563371548169087,-13.975091554973528,Equipe Quebec,Lake Erie Crushers,,Independent,Frontier,616a88c8-625b-4e39-9b43-954b59f33ecc,1b6271d1-0d38-11ed-a72d-3b52cbb2a112,91.09093607358332,6.429219717925628,0.7709081846336713,-3.161987608308446,-2.104390446149845,82.83768821556261,2.427525579991264,-0.12030649507216588,-6.102891016912313,0.09546329068236638,0.410641070713284,4.493205526466679,15.686492374843953,-9.775655377994084,80.10993582540291,2211.7971947298915,-381.0759700171084,98.54801302341679,-0.9444994024365597,-0.16979079160439647,-0.2812329388306674,,,,,,,,,,,,,,,,,0.9970504755564303,1,,,high,high,17.901057757138,48.58824629474149,53.57467225379965,Jeffry Parra,,Equipe quebec
4,07/26/2022,7:10:29 PM,2,2,Codie Paiva,,Right,Equipe quebec,Kemuel Thomas-rivera,,Right,Lake erie crushers,,1,Top,1,0,1,Fastball,,StrikeSwinging,,,,0,0,,89.62226068885838,-3.1859433670310504,-0.5441764509668043,2115.5884506985385,193.09370523249737,12:30,6.438572387847439,0.5808925224230563,7.099471133173665,-16.772279008340853,16.470389702085356,3.325422885785133,2.7020733894873263,0.1187493122184948,83.06701041430105,-5.710263725919797,0.21705549432014928,0.41497263949628727,,,,,,,,,,,,-2.0353519511301816,10.225373936843233,-0.5496810829313464,50.00000000000006,6.243801022661997,1.1557510780366844,-130.4897066477592,-7.685544788114186,-3.4916411522464927,28.755379519387372,-14.63244631922082,Equipe Quebec,Lake Erie Crushers,,Independent,Frontier,616a88c8-625b-4e39-9b43-954b59f33ecc,2491ab61-0d38-11ed-8caf-af55533305f0,89.7978852307177,6.438897362034801,0.5820735810508475,-3.190709381098281,-0.5589727711837165,83.22402606035068,2.702126951494188,0.11778586237931979,-5.708855301247717,0.20170672619856053,0.41483455671744984,3.4579610607221016,15.336303608882355,-6.100045479221149,81.43917932168839,2103.6096920380414,-224.81271381454425,99.43378596831808,-0.9684859327639422,-0.10626486155202547,-0.22526157514695144,,,,,,,,,,,,,,,,,0.9974322420609042,1,,,high,high,16.70473861048111,44.942302359553054,53.400528866826335,Jeffry Parra,,Equipe quebec
5,07/26/2022,7:11:38 PM,2,3,Codie Paiva,,Right,Equipe quebec,Kemuel Thomas-rivera,,Right,Lake erie crushers,,1,Top,1,0,2,Fastball,,BallCalled,,,,0,0,,90.49450194700404,-1.4320252709564751,-1.910958175769947,2221.6363218486545,194.13019766595235,12:30,6.477440655471515,0.5201668978568617,7.016231277380377,-16.61927031500568,16.96251902427418,3.7719883386854485,4.166251031563927,-0.33918042348885247,81.2190908182598,-4.393401124807335,0.4684747701652165,0.4116551820350711,,,,,,,,,,,,-2.68591903937019,9.89446304942158,-0.4052162628696179,49.99999999999996,6.384878890789499,4.300815544551209,-131.82561497201155,-3.7089743491527707,-4.694855024210069,29.771168515162078,-14.879012439113259,Equipe Quebec,Lake Erie Crushers,,Independent,Frontier,616a88c8-625b-4e39-9b43-954b59f33ecc,4e0bea63-0d38-11ed-8880-89e958c01ee6,90.67784489011999,6.4780814042607595,0.521498201550384,-1.4406961133114844,-1.9275439859057755,81.37824789456093,4.166230037218306,-0.3402996571087384,-4.393132089477363,0.45053829413157437,0.41151470294961723,3.936478062136149,15.774835911089522,-6.67729334179324,51.606713443492694,2206.5665377453524,-258.3254944052307,99.32168087300795,-0.9631655280783208,-0.11627712954849174,-0.2424701933549208,,,,,,,,,,,,,,,,,0.9963366081694317,1,,,high,high,43.55395790085655,17.30818068439777,53.48376872261962,Jeffry Parra,,Equipe quebec
6,07/26/2022,7:11:54 PM,2,4,Codie Paiva,,Right,Equipe quebec,Kemuel Thomas-rivera,,Right,Lake erie crushers,,1,Top,1,1,2,Fastball,,BallCalled,,,,0,0,,90.01643116193566,-2.4727713476152036,0.18091829783470034,2290.5093865415492,193.71465018104394,12:30,6.453781537862371,0.8313728550223871,6.865524346168462,-15.9096508271751,17.352305970342172,3.7009493990223774,3.1980985642903637,1.5439460639407843,82.44018796844175,-5.287487163262359,1.124952073624114,0.4150930099122657,,,,,,,,,,,,-2.0171836405367913,10.444165656975533,-0.8442166366314103,49.99999999999994,6.290948188742664,-0.5128747063495569,-131.0878086453872,-6.0863885378982,-3.4870548829379597,29.40389365396756,-14.119481761586181,Equipe Quebec,Lake Erie Crushers,,Independent,Frontier,616a88c8-625b-4e39-9b43-954b59f33ecc,577adc05-0d38-11ed-b2eb-b9dcabe48219,90.1970731658167,6.45446276115053,0.8327236669044724,-2.48203063054117,0.16399934249884904,82.60006632723014,3.197935310732613,1.5428344457088716,-5.289497800479367,1.1072506680762726,0.41495064297983614,3.8529970285655617,16.2081389103174,-7.03406606419015,79.13117550466421,2273.2699061943335,-280.49453368319087,99.24735168305746,-0.9641766380989473,-0.12245945610670946,-0.23530212951492935,,,,,,,,,,,,,,,,,0.9889836591615622,1,,,high,high,18.781942045802783,42.00646489603592,53.63447565383154,Jeffry Parra,,Equipe quebec
7,07/26/2022,7:12:09 PM,2,5,Codie Paiva,,Right,Equipe quebec,Kemuel Thomas-rivera,,Right,Lake erie crushers,,1,Top,1,2,2,Changeup,,InPlay,,GroundBall,Single,0,0,,83.16078480166891,-2.7857379521495336,-2.2879550660375427,1555.3646741884322,211.87025437749995,1:00,6.260512613268838,1.2032979472129133,7.1728425948235195,-26.25497515645475,12.203067036690339,6.894560394848447,1.74893391768202,0.28134924071872214,75.57613795377792,-7.738909025765771,1.215506798206488,0.4463392796914788,,,,,,,,,,,,-4.555022694898088,7.700407564226616,-1.0725324871722568,50.00000000000002,6.090238605754574,4.678759337616608,-121.06164764165156,-6.49740547566725,-6.7392527877331245,24.3095647479448,-20.781133102395838,Equipe Quebec,Lake Erie Crushers,,Independent,Frontier,616a88c8-625b-4e39-9b43-954b59f33ecc,609c6014-0d38-11ed-a68d-0b7e68f63093,83.31522513411966,6.258605450482494,1.2049079752565748,-2.7626856881319273,-2.3080423209698857,75.70674346278366,1.7510096165811484,0.27995385666657563,-7.706021567750487,1.1933892522178693,0.44619823358045785,7.073947745738946,10.70870234447154,16.67144769407087,64.59806312033358,1489.9858160482702,446.20795341214904,95.79655760316945,-0.813548353832932,0.2868831733271647,-0.5058034409110542,,,,,,,,,,,,,,,,,0.9958849054221425,1,,,high,high,31.861743191700064,-30.851908824379805,53.32715740517648,Jeffry Parra,,Equipe quebec
8,07/26/2022,7:13:03 PM,3,1,Codie Paiva,,Right,Equipe quebec,Austin White,,Left,Lake erie crushers,,1,Top,1,0,0,Fastball,,BallCalled,,,,0,0,,91.67382277788903,-4.497410965154229,-3.3321785556393015,2285.1455655275654,196.3743610300826,12:30,6.339785835817355,0.6811806161927823,7.061000939468063,-15.32947368821898,16.65659808757065,3.9189273461885374,1.0757994477962864,-1.1325674287508933,83.11817326670923,-7.300214997214927,-1.8448837718983992,0.40705395255372323,,,,,,,,,,,,-3.1702479219561863,10.684502285753327,-0.4822605052355724,50.00000000000001,6.063707759394941,7.645166982647755,-133.0529901598559,-10.88058142200597,-5.661897530127472,29.54047218020336,-13.09208546471442,Equipe Quebec,Lake Erie Crushers,,Independent,Frontier,616a88c8-625b-4e39-9b43-954b59f33ecc,80609c94-0d38-11ed-b48f-c510241ea800,91.8519677238787,6.340358452237972,0.6827785285874131,-4.504978996267442,-3.3517721901850015,83.27101541747375,1.075786113839703,-1.1338331485687914,-7.2997814866346795,-1.8652470233585903,0.406921615169215,4.095408124736273,15.638297702320871,-17.892431060978435,80.86385369369053,2174.624494354173,-702.0673501916706,95.16349974195728,-0.9130368930896107,-0.30723090939267417,-0.2682774686234782,,,,,,,,,,,,,,,,,0.9961478952880584,1,,,high,high,17.222531675679075,41.95593853015746,53.438999060531934,Jeffry Parra,,Equipe quebec
9,07/26/2022,7:13:22 PM,3,2,Codie Paiva,,Right,Equipe quebec,Austin White,,Left,Lake erie crushers,,1,Top,1,1,0,Fastball,,Foul,,,,0,0,,91.17780915388637,-2.197557124194386,-2.158362623126363,2217.782689586519,191.71722043260831,12:30,6.42660746569093,0.5229860794464493,6.977703679299948,-15.988962865027272,16.368478598051073,2.7241736696919796,3.3400822615393557,-0.5483748066035175,82.97562510949653,-5.2868334474981085,-0.6020603662862029,0.4089247146103055,,,,,,,,,,,,-2.1795263207391926,9.876901313589258,-0.3911954800758285,50.0,6.285820508217094,4.930381330319924,-132.74331719861905,-5.515368379499533,-3.8671544481039186,29.899099380694413,-14.649368885940353,Equipe Quebec,Lake Erie Crushers,,Independent,Frontier,616a88c8-625b-4e39-9b43-954b59f33ecc,8c05f0b3-0d38-11ed-904c-5982cf710d16,91.35986206896789,6.427141626037787,0.5242503568310347,-2.2048583798005934,-2.174008410316907,83.13413670923832,3.3400905061056263,-0.5493883521699668,-5.286124926496093,-0.6183938216627912,0.40878608988157067,2.8757277031413633,15.266967971439325,-19.36139147336111,32.73300915046431,2092.3588021769588,-735.2514543897331,94.34462682036063,-0.9237865631735062,-0.33152547264529897,-0.19159657274438072,,,,,,,,,,,,,,,,,0.9942344811610502,1,,,high,high,60.54029176458209,-52.34579078491667,53.52229632070005,Jeffry Parra,,Equipe quebec
10,07/26/2022,7:13:50 PM,3,3,Codie Paiva,,Right,Equipe quebec,Austin White,,Left,Lake erie crushers,,1,Top,1,1,1,Fastball,,BallCalled,,,,0,0,,90.47419561942364,-3.109406831088335,-2.9611161864763473,2259.516876522078,192.63747979253407,12:30,6.3967951404521255,0.42115348150109805,7.105076131980238,-15.883788490593293,17.01787594838866,3.2381964630514353,2.7130273636020443,-1.51694684848199,82.13221590331275,-5.533718531029753,-1.161116025171636,0.41153924718380475,,,,,,,,,,,,-2.6951539287501514,10.541400197215582,-0.24659794564550994,49.99999999999997,6.207035148966127,6.723795995369503,-131.5703507683734,-7.552618790370369,-4.6999166954794935,29.26172493706111,-13.791536345429842,Equipe Quebec,Lake Erie Crushers,,Independent,Frontier,616a88c8-625b-4e39-9b43-954b59f33ecc,9c70b278-0d38-11ed-8dc4-4d83130a5026,90.65307394605878,6.3974323156702955,0.42238569430893896,-3.1179834363394194,-2.9765325859916576,82.29022586327301,2.712936562382505,-1.5179738886814158,-5.534529785326712,-1.1776449524575776,0.4114027820041339,3.388676670803693,15.909506968870513,-11.781014625086792,68.81659988662847,2211.9203702189798,-461.3293737650127,97.89350959058291,-0.9552192729796658,-0.20417168756672707,-0.2141729733751517,,,,,,,,,,,,,,,,,0.9971060857569477,1,,,high,high,28.06506010203437,-64.52883381368746,53.39492386801976,Jeffry Parra,,Equipe quebec
