PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,08/27/2022,7:08:32 PM,1,1,Henry Omana,,Right,Equipe quebec,Martin Figueroa,1509002,Switch,Sussex county miners,,1,Top,0,0,0,Fastball,,BallCalled,,,,0,0,,87.40877287933063,-1.5177300165841812,-1.419359748933993,2271.217904181028,200.83209355170163,12:45,6.354630471368053,0.8706081451949037,6.669425048005571,-18.69864563651348,17.383670075627,5.885035756407734,3.4457979561963383,0.9703888240142026,78.99072369035876,-5.427874128533852,1.604774711990152,0.4291473125774727,,,,,,,,,,,,-3.701678177054965,10.057872379148346,-0.7780975989801321,49.99999999999999,6.2456680582157516,2.9935360303748704,-127.27922070711627,-3.869279532601582,-6.02882839755131,27.87040870309169,-15.793050558526701,Equipe Quebec,Sussex County Miners,,Independent,Frontier,17e5b92d-9de1-4b3e-9509-64be5b82a20c,2c43c90f-265d-11ed-81c6-25f0a88d0a3e,87.59134773926824,6.355016928238415,0.8726343550482311,-1.5231902754134554,-1.4440503343393851,79.14620873068712,3.4460302556436666,0.968743694174854,-5.423592659930109,1.5786522027697498,0.42899594771111166,6.1266575666341945,16.056047284014372,-2.2665067209083487,51.210004472850535,2269.441094389604,-89.82141931731846,99.92176841384735,-0.9338954475678672,-0.03954768899627308,-0.3553523227827097,,,,,,,,,,,,,,,,,0.9898637962778657,1,,,high,high,43.910995974434535,29.381057677146014,53.83057495199443,Jeffry Parra,,Equipe quebec
2,08/27/2022,7:08:52 PM,1,2,Henry Omana,,Right,Equipe quebec,Martin Figueroa,1509002,Switch,Sussex county miners,,1,Top,0,1,0,Fastball,,BallCalled,,,,0,0,,85.83839023608363,-1.0735727069857612,-0.995317163392484,2143.596408975705,201.77918163118005,12:45,6.428267409901454,0.6767865924220424,6.7111215916900075,-20.53483331617102,16.844131819974603,5.950318968010753,3.9243038308298432,0.973344700882502,77.46350158084675,-4.819349027842703,1.6260573601021193,0.4364953377997864,,,,,,,,,,,,-3.604427037887334,9.642348427156794,-0.6133322147297657,50.00000000000005,6.349263265192922,2.0153995641423195,-125.04265643355326,-2.8727912354734864,-5.665823628886149,26.904275393154293,-17.01717583539148,Equipe Quebec,Sussex County Miners,,Independent,Frontier,17e5b92d-9de1-4b3e-9509-64be5b82a20c,37dee0b3-265d-11ed-86ab-89d2eddbb46e,86.01841205295733,6.428288673911889,0.6788557196817218,-1.0746749337162256,-1.020577720644721,77.61848497909168,3.9248453533047782,0.9716310492849718,-4.810210087369092,1.5990860207397437,0.43633981829261487,6.197205374949033,15.413636683059384,-3.5738571870706863,61.91730482855968,2139.4277022612546,-133.62137318058905,99.80552744457889,-0.9268147893402356,-0.06233513576580333,-0.37030889418061974,,,,,,,,,,,,,,,,,0.9639972864267711,1,,,high,high,34.274425654296266,40.53218946819947,53.78887840830999,Jeffry Parra,,Equipe quebec
3,08/27/2022,7:09:08 PM,1,3,Henry Omana,,Right,Equipe quebec,Martin Figueroa,1509002,Switch,Sussex county miners,,1,Top,0,2,0,Fastball,,BallCalled,,,,0,0,,89.32776679545526,-1.4766292024173586,-2.4710035555872194,2404.2112277356123,199.12164367701232,12:45,6.414877524286988,0.7486010020387412,6.655216124757824,-17.23581536756265,18.004565461336703,5.557389400374906,3.721907845163413,0.33124275391637686,79.83395578710001,-4.858277367233583,0.5067438703442332,0.42034585493001075,,,,,,,,,,,,-3.8187203620189396,10.332700225611228,-0.5849555443951503,50.0,6.308993540043102,5.455439337570302,-129.98999090234122,-3.8072810403059325,-6.485620501140427,29.13148107896498,-14.625246305748147,Equipe Quebec,Sussex County Miners,,Independent,Frontier,17e5b92d-9de1-4b3e-9509-64be5b82a20c,41c4ecd7-265d-11ed-a34b-9be50426652d,89.51249022230324,6.4156734049447355,0.7505041477475017,-1.4872376718343336,-2.49459814023534,79.99502976656187,3.721818080234972,0.3296129141347475,-4.859028048438603,0.48099440044681907,0.42019850005501047,5.790574558524002,16.7421294423019,-5.08129374896787,57.689473112669,2394.7627616826207,-212.9388241448896,99.60700349686452,-0.941112106914679,-0.0885690997897237,-0.3262874756729897,,,,,,,,,,,,,,,,,0.9949999666664948,1,,,high,high,38.07947419859788,52.283182356000395,53.84478387524217,Jeffry Parra,,Equipe quebec
4,08/27/2022,7:09:30 PM,1,4,Henry Omana,,Right,Equipe quebec,Martin Figueroa,1509002,Switch,Sussex county miners,,1,Top,0,3,0,Fastball,,StrikeCalled,,,,0,0,,88.53650325170855,-1.9191720255781952,-2.8946767258275177,2365.201656279778,201.28244998173275,12:45,6.295730571458514,0.9914239268183587,6.731401490441196,-17.13138658099185,17.50243802711065,6.081016774625867,2.9588587329444067,0.10568885404407384,79.36570985479904,-5.856092204303808,0.39160039346720427,0.4235666411818678,,,,,,,,,,,,-4.247324657086247,10.317506074963132,-0.8032691457773812,50.000000000000014,6.162519382933168,6.347263626051993,-128.78637938802166,-4.785147254012473,-7.085790206366277,28.412357612800527,-14.961406474735758,Equipe Quebec,Sussex County Miners,,Independent,Frontier,17e5b92d-9de1-4b3e-9509-64be5b82a20c,4ebc4bc7-265d-11ed-9997-979ae70dde65,88.71841066337683,6.296320595540774,0.9935131075570703,-1.9271855195955563,-2.9205902291427916,79.52052743781796,2.958956697288424,0.10396019226472944,-5.8538901154918275,0.3639353599313931,0.4234210050605602,6.315528142414317,16.291318354672104,-5.820314361580759,45.81179040318597,2353.008607592374,-239.8528037459688,99.48448164430164,-0.9269988370963669,-0.10140902916634724,-0.36109467570918613,,,,,,,,,,,,,,,,,0.9621576011797289,1,,,high,high,48.76938863713278,32.64384278015622,53.7685985095588,Jeffry Parra,,Equipe quebec
5,08/27/2022,7:09:50 PM,1,5,Henry Omana,,Right,Equipe quebec,Martin Figueroa,1509002,Switch,Sussex county miners,,1,Top,0,3,1,Fastball,,StrikeCalled,,,,0,0,,89.29690574961408,-2.5745917108349325,-1.6710755454548152,2284.0235226407144,201.4298514924052,12:45,6.238823218001382,0.869428519040134,6.874969628026477,-17.634675504781548,17.046605816662193,5.923709083185645,2.210769895704311,1.1086937587319443,80.4430054111111,-6.387399345906002,1.342117507309299,0.4184854343202131,,,,,,,,,,,,-3.810693141272694,10.20705846301472,-0.7658514391710965,49.99999999999998,6.0695247564932275,3.6352572823654667,-129.980329078436,-6.295122338595204,-6.479500722447729,28.79651792328386,-14.818508157365892,Equipe Quebec,Sussex County Miners,,Independent,Frontier,17e5b92d-9de1-4b3e-9509-64be5b82a20c,5ac69f40-265d-11ed-94e0-c160cc4b313d,89.47628919300467,6.23927889875925,0.8714283868126932,-2.5808339923889942,-1.6957823489592014,80.59653023617066,2.210934375227625,1.1070367471998028,-6.3842394247801035,1.3157971335039336,0.4183437476763548,6.164749918816812,15.820280501419187,-3.356015793044877,35.64270795841948,2280.106562600965,-133.706825405849,99.82850614273794,-0.9292692089083231,-0.05854003869945327,-0.36473524815126634,,,,,,,,,,,,,,,,,0.9926948114576982,1,,,high,high,57.92156283742245,38.912599899089415,53.62503037197352,Jeffry Parra,,Equipe quebec
6,08/27/2022,7:10:22 PM,1,6,Henry Omana,,Right,Equipe quebec,Martin Figueroa,1509002,Switch,Sussex county miners,,1,Top,0,3,2,Fastball,,InPlay,,FlyBall,Out,1,0,,89.89958538340194,-2.6765241133411255,-0.8178518209330462,2343.7589089073012,202.52792387069505,12:45,6.373239771791518,0.6778127550593926,6.592343993133483,-16.625653275933153,17.10647012439771,6.4861492461097745,2.7512356074360875,1.1353024591725156,81.68376798471533,-5.775378990639743,1.3452022960250065,0.41801644032606716,80.55063751372586,34.57661281884961,-20.013663113372374,,-38.28093113562164,103.12405302046822,54.08613977772381,280.61332920419494,,-20.15160237437233,3.7774739661273866,-3.836426798748603,10.273069381330362,-0.6247717934408495,50.000000000000064,6.183518190838928,1.6833477210231402,-130.82322007599765,-6.5884611811839555,-6.604816331900096,29.29980045648602,-14.487869192649075,Equipe Quebec,Sussex County Miners,,Independent,Frontier,17e5b92d-9de1-4b3e-9509-64be5b82a20c,6dee978a-265d-11ed-93e0-b9d4a6d9e12a,90.08267481144136,6.373774272376026,0.6799454229273504,-2.683676772807572,-0.8435468691204122,81.84156055948836,2.751258730913951,1.1335985954856083,-5.7744636073990385,1.3182835702822444,0.4178725069519055,6.718487139515072,15.920216491343142,3.3623880866518543,59.204377182778714,2339.724232421637,137.46395637157107,99.82785445762656,-0.9221028206849853,0.05865106511132538,-0.3824741045431719,-22.69860311126557,62.31765731480474,45.71310761105032,-1.0652241083905158,0.6590095575993034,2.5636566396586464,-96.67278836655927,263.43540482724853,,,,,,,,,0.9755906023313532,1,,41.06740987221422,high,high,36.71606053549926,46.23862793042756,53.90765600686652,Jeffry Parra,,Equipe quebec
7,08/27/2022,7:11:01 PM,2,1,Henry Omana,,Right,Equipe quebec,Willie Escala,,Switch,Sussex county miners,,1,Top,1,0,0,Fastball,,StrikeCalled,,,,0,0,,88.77948344116032,-2.3666603515287545,-2.4115255786410423,2408.2912988124135,199.04609582121057,12:45,6.34215074081502,0.9401831961375492,6.6878396010415155,-17.522048288526502,18.166663532547933,5.6034588605864295,2.884421773504684,0.31241813769719184,79.39207136602892,-5.537845029949563,0.20818264651666923,0.422729171520256,,,,,,,,,,,,-3.823010773175047,10.682630153177998,-0.7818934882454307,49.999999999999964,6.177775203812331,5.285420458435909,-129.14314155522308,-5.796295474521044,-6.413392884037706,28.56616231913202,-14.25312069719684,Equipe Quebec,Sussex County Miners,,Independent,Frontier,17e5b92d-9de1-4b3e-9509-64be5b82a20c,84f03538-265d-11ed-baa5-91fcf006a753,88.96127900684039,6.342880156889415,0.9420481238337102,-2.376388954970903,-2.4346902521845952,79.54903451321069,2.8843821675963555,0.3108605044012718,-5.537807520866597,0.18327784067464395,0.42258363629564516,5.834132297804478,16.902332343090045,-2.9628008574193476,87.50496891024918,2405.072143649567,-124.47876837621894,99.86633032455691,-0.9439928211996633,-0.05168758797476137,-0.32589253868852547,,,,,,,,,,,,,,,,,0.9901933159156745,1,,,high,high,11.245527980775492,55.623717244956524,53.81216039895848,Jeffry Parra,,Equipe quebec
8,08/27/2022,7:11:16 PM,2,2,Henry Omana,,Right,Equipe quebec,Willie Escala,,Switch,Sussex county miners,,1,Top,1,0,1,Changeup,,BallCalled,,,,0,0,,81.02442314782789,-4.198287336768697,-2.707739613405777,1402.6196151959857,219.56822052858206,1:15,6.214875856175444,0.9163692389029107,6.740011681085235,-30.584650050725646,10.725246660360764,6.31247261613074,-0.18042000082557222,-1.0331261307657396,74.73220980101068,-9.955905810860948,-1.501955226930603,0.4625924890239326,,,,,,,,,,,,-4.276175383228657,7.154476410033068,-0.7410385420686311,49.99999999999999,5.926476045364559,5.408193169100822,-117.66393523974381,-9.405692295892047,-5.986360900798762,22.622581668698285,-22.1582588364701,Equipe Quebec,Sussex County Miners,,Independent,Frontier,17e5b92d-9de1-4b3e-9509-64be5b82a20c,8dfb90a8-265d-11ed-82f9-4f25f9250fba,81.17436645226967,6.212106587736939,0.9191687353700206,-4.165579726148399,-2.7417272358758535,74.8624999527265,-0.17715994184708306,-1.0357684234269995,-9.911203166750493,-1.5384498976035506,0.4624470145545171,6.620613192453281,9.103795735488644,-29.427617311735375,54.078927826736745,1221.6495447346385,-689.1401706345272,87.09770856612037,-0.6714072104935864,-0.4913236369778236,-0.5548093739692084,,,,,,,,,,,,,,,,,0.9958712990730382,1,,,high,medium,41.32896495593711,30.299130349162844,53.759988318914765,Jeffry Parra,,Equipe quebec
9,08/27/2022,7:11:32 PM,2,3,Henry Omana,,Right,Equipe quebec,Willie Escala,,Switch,Sussex county miners,,1,Top,1,1,1,Fastball,,InPlay,,FlyBall,Out,1,0,,89.20522093909307,-2.201084618421456,-1.8015734123760512,2402.40342960516,204.11070728203342,12:45,6.34406547346327,0.7598504108593229,6.191705646142375,-17.23175416652001,17.58724106073451,6.9933229456666774,2.8704340877967813,0.5382905255235048,80.44107677880599,-5.733678708546921,0.29910186874898215,0.42837229595800047,96.67707318307781,23.578077087408197,6.452920970580399,1896.4657606598025,,,,371.5813288655005,,6.139613693448597,4.38658129202753,-4.132570427849616,10.37666432829203,-0.8324165431832466,49.99999999999997,6.36256340039603,2.1020729085705754,-128.60603857004705,-5.895100347539918,-6.873201412724315,28.399387293300165,-14.915806764547433,Equipe Quebec,Sussex County Miners,,Independent,Frontier,17e5b92d-9de1-4b3e-9509-64be5b82a20c,9b96ae02-265d-11ed-bd73-3116bacf3316,89.39366503461228,6.344695250776524,0.7624392590918565,-2.2092812347132837,-1.832152760963092,80.60081485607677,2.8704799875506133,0.5362735160170311,-5.732318204890479,0.26730277209998227,0.4282340597752382,7.272416744562717,16.35161545643333,-5.796292822318114,50.573519286225135,2390.1205300481647,-242.62335093909363,99.48872452454775,-0.9080911465339785,-0.10099192664696174,-0.40641247561896904,9.958150272470355,88.044709169112,38.67067247570914,-0.5579167726551069,1.2719184721695147,2.8596699060472455,39.74118814040572,369.4500262912971,5.331548920134706,58.82410263227514,1.174212606618171,0.9993551325312767,-0.002636861705302028,0.03581013884002054,,,0.9839114487583118,1,0.9971487937630791,55.24459900517736,high,high,44.48383264239757,41.84991238503563,54.308294353857626,Jeffry Parra,,Equipe quebec
10,08/27/2022,7:12:12 PM,3,1,Henry Omana,,Right,Equipe quebec,Yanio Perez,,Right,Sussex county miners,,1,Top,2,0,0,Fastball,,BallCalled,,,,0,0,,89.36522139337747,-2.3275950869436284,-0.19048275819290517,2243.3668135528737,196.0602313601545,12:30,6.389440743798313,0.3171929882534104,6.435097693079861,-16.936827965703092,17.38569133782588,4.419675270663211,2.9612175075320657,1.6222099717489091,80.32266073368169,-5.74056944521237,2.635880781409572,0.42165873489727806,,,,,,,,,,,,-2.4911533809783273,10.2682253492462,-0.30568852987151157,50.000000000000036,6.216514582830852,0.3033490605622084,-130.05893267445438,-5.780977701807214,-4.239214956710117,28.934897927373523,-14.7005311700847,Equipe Quebec,Sussex County Miners,,Independent,Frontier,17e5b92d-9de1-4b3e-9509-64be5b82a20c,afac5278-265d-11ed-91a7-e9507f5b3b75,89.55075605577802,6.390008456276611,0.3188203152407255,-2.335169060673641,-0.21010195753708402,80.48169885557276,2.961320960668997,1.6208742867646964,-5.73840004649903,2.614873689449193,0.4215105459450331,4.597726322149887,16.178082312561173,-5.239813882563299,44.27522479548232,2233.992185288157,-204.8745377586488,99.58211790385407,-0.956955677610894,-0.09132458255196532,-0.2754916545196682,,,,,,,,,,,,,,,,,0.9927318586778292,1,,,high,high,50.152297684066106,19.73066295588633,54.06490230692014,Jeffry Parra,,Equipe quebec
